base_policy,lookahead,n,E_T,true_regret,gamma_ratio_of_means,gamma_mean_of_paired_ratios,gamma_paired_ci95,rank,percentile,evaluations
local_greedy,0,5,2.3206266651737506,0.35300873036958935,1.0,1.0,"[1.0, 1.0]",37591.2,15.972602274079236,1.0
local_greedy,1,5,2.3542991077437883,0.3866811729396273,1.0953869966184233,1.5818660233705961,"[0.5891417868978317, 3.090697584419565]",40073.2,17.02721076873396,337.0
local_greedy,2,5,2.112445514288234,0.14482757948407307,0.4102662824583489,0.6906669172666504,"[0.13368949262215146, 1.5702507048459213]",6743.8,2.8654588099325258,337.0
local_greedy,3,5,2.155728291862564,0.1881103570584033,0.5328773508277189,0.7853194028251095,"[0.35272103588528264, 1.4811106573949477]",4018.0,1.7072590376803713,337.0
local_greedy,4,5,2.172014324259716,0.204396389455555,0.5790122789358728,0.8368570230022057,"[0.41838238925431936, 1.4688339969023454]",12682.2,5.388700987473868,337.0
local_greedy,5,5,2.128933518602862,0.16131558379870087,0.4569733548227218,0.7009458745120253,"[0.29121402501424704, 1.3912662676197982]",3169.2,1.346601628227136,337.0
local_greedy,6,5,2.23519473441152,0.2675767996073591,0.7579891843672375,0.8067363392060685,"[0.6600932394960335, 0.9533794389161032]",16859.0,7.1634345734826725,337.0
measured_first_order,0,5,2.197388708989049,0.22977077418488814,1.0,1.0,"[1.0, 1.0]",24148.0,10.26055033397352,55.0
measured_first_order,1,5,2.3542991077437883,0.3866811729396273,1.6828997260917051,1.6899159559210122,"[1.0523257405276691, 2.8656484289800295]",40073.2,17.02721076873396,337.0
measured_first_order,2,5,2.0785216634303834,0.11090372862622226,0.48267117095136775,0.7589891643123203,"[0.2543663662829755, 1.5080119093758875]",676.6,0.28748916498121935,2857.0
measured_first_order,3,5,2.0085471636661367,0.04092922886197585,0.17813070007346363,0.30467976481406556,"[0.06152143568352183, 0.7321900703294582]",36.8,0.015636419259989463,4873.0
measured_first_order,4,5,2.0027306761536163,0.03511274134945541,0.15281639483532172,0.16623404913850792,"[0.035865231960339305, 0.2991215626161655]",22.6,0.009602800958580484,6385.0
measured_first_order,5,5,2.01566225040981,0.048044315605649326,0.20909672161782342,0.2197951382051703,"[0.035865231960339305, 0.41979869207105913]",86.2,0.036626612505736185,7393.0
measured_first_order,6,5,1.9894587034454538,0.021840768641292963,0.09505459830029774,0.12171245771741102,"[0.028371309848095334, 0.2454343155505851]",10.8,0.004588949130649082,7897.0
