dim,surrogate,n,r2,spearman,decision_regret,top3
8,first_order,210,0.66738410534328,0.8724811577523569,0.12987160540769632,0.3492063492063492
8,full,210,0.9401836551430351,0.9776254303374241,0.03249496588409339,0.6825396825396826
8,lowrank_q1,210,0.8355489832148346,0.9224265573998193,0.06881167476743476,0.49206349206349204
8,lowrank_q2,210,0.8917500936718104,0.9483263387999826,0.04273152915371982,0.584126984126984
8,lowrank_q4,210,0.9254960633421566,0.9674175124595291,0.03777655293680392,0.6444444444444445
8,lowrank_q8,210,0.9388432150003695,0.9766402098029293,0.0344665858603257,0.6761904761904762
16,first_order,210,0.8604182405558694,0.9428891225911851,0.0347062216471275,0.5761904761904761
16,full,210,0.9894738337935054,0.994816538185522,0.010788946081530578,0.8666666666666667
16,lowrank_q1,210,0.9376930807497482,0.9689733744737563,0.01892959102723113,0.6730158730158731
16,lowrank_q2,210,0.9639239371895986,0.9802593103357043,0.01891902523033118,0.7301587301587302
16,lowrank_q4,210,0.982072661085251,0.9901119125336084,0.012798345263186111,0.8238095238095238
16,lowrank_q8,210,0.988636371797702,0.9942770165917605,0.010745312886956376,0.8603174603174603
32,first_order,210,0.9203621873676423,0.9669999239365167,0.027907261879674017,0.7063492063492064
32,full,210,0.9987337764947961,0.9991292715433279,0.0005038624194943092,0.9444444444444445
32,lowrank_q1,210,0.9704678095347149,0.9856322694367002,0.010216296055616537,0.8095238095238095
32,lowrank_q2,210,0.9840285554609726,0.9907677781856543,0.005058862882474093,0.8285714285714286
32,lowrank_q4,210,0.9939711976126858,0.9962068794459931,0.002134700469956809,0.8904761904761904
32,lowrank_q8,210,0.9981601271399232,0.9987613888530616,0.0004847432488127491,0.9333333333333333
