m,base_policy,lookahead,n,E_T,true_regret,gamma_ratio_of_means,gamma_mean_of_ratios,gamma_ci_lo,gamma_ci_hi,profile_rank,percentile,evaluations
8,local_greedy,0,5,2.3206266651737506,0.35300873036958935,1.0,1.0,1.0,1.0,37591.2,15.972602274079236,1.0
8,local_greedy,1,5,2.3542991077437883,0.3866811729396273,1.0953869966184233,1.5818660233705961,0.5891417868978317,3.090697584419565,40073.2,17.02721076873396,337.0
8,local_greedy,2,5,2.112445514288234,0.14482757948407307,0.4102662824583489,0.6906669172666504,0.13368949262215146,1.5702507048459213,6743.8,2.8654588099325258,337.0
8,local_greedy,3,5,2.155728291862564,0.1881103570584033,0.5328773508277189,0.7853194028251095,0.35272103588528264,1.4811106573949477,4018.0,1.7072590376803713,337.0
8,local_greedy,6,5,2.23519473441152,0.2675767996073591,0.7579891843672375,0.8067363392060685,0.6600932394960335,0.9533794389161032,16859.0,7.1634345734826725,337.0
8,measured_first_order,0,5,2.197388708989049,0.22977077418488814,1.0,1.0,1.0,1.0,24148.0,10.26055033397352,55.0
8,measured_first_order,1,5,2.3542991077437883,0.3866811729396273,1.6828997260917051,1.6899159559210122,1.0523257405276691,2.8656484289800295,40073.2,17.02721076873396,337.0
8,measured_first_order,2,5,2.0785216634303834,0.11090372862622226,0.48267117095136775,0.7589891643123203,0.2543663662829755,1.5080119093758875,676.6,0.28748916498121935,2857.0
8,measured_first_order,3,5,2.0085471636661367,0.04092922886197585,0.17813070007346363,0.30467976481406556,0.06152143568352183,0.7321900703294582,36.8,0.015636419259989463,4873.0
8,measured_first_order,6,5,1.9894587034454538,0.021840768641292963,0.09505459830029774,0.12171245771741102,0.028371309848095334,0.2454343155505851,10.8,0.004588949130649082,7897.0
10,local_greedy,0,5,3.2372999512597382,0.742501182470653,1.0,1.0,1.0,1.0,1155731.8,38.024998354938475,1.0
10,local_greedy,1,5,2.8189993475747914,0.3242005787857061,0.4366330807810127,1.0918735405135243,0.1957750448845578,2.4998929385203725,378261.2,12.445258932684082,721.0
10,local_greedy,2,5,2.800560318731919,0.305761549942834,0.41179941145065996,0.7523568029308042,0.2766302756801457,1.3906052675310552,132994.2,4.375672830163849,721.0
10,local_greedy,3,5,2.9127007074130686,0.41790193862398367,0.5628299974330357,0.8651432066909116,0.4371267838997229,1.4596422818979526,260039.2,8.555609659801277,721.0
10,local_greedy,6,5,2.899327990304512,0.40452922151542675,0.5448196327032996,0.5233323740929544,0.2634491476233597,0.7760632470334333,333908.8,10.986010396788839,721.0
10,measured_first_order,0,5,2.789008719237027,0.2942099504479419,1.0,1.0,1.0,1.0,374159.6,12.310311245640587,67.0
10,measured_first_order,1,5,2.8189993475747914,0.3242005787857061,1.1019361455725842,1.3762852172322397,0.9968205792059475,2.092875299045901,378261.2,12.445258932684082,721.0
10,measured_first_order,2,5,2.6394856352030387,0.14468686641395362,0.491781009424271,0.8626444034483438,0.30906965142872067,1.5852985352789115,7881.6,0.2593143383562545,7321.0
10,measured_first_order,3,5,2.625001317816216,0.1302025490271311,0.4425497806205892,0.813424410705655,0.2641384215691314,1.5522602947645243,5533.2,0.18204908863591499,12601.0
10,measured_first_order,6,5,2.5653050696627275,0.07050630087364204,0.23964621443392536,0.2796314416666888,0.05063624608407139,0.6247038515781147,4268.6,0.14044219253800092,20521.0
