problem_size_m,policy,seed_count,mean_terminal_error,mean_true_terminal_regret,mean_terminal_over_initial,rank_budget,mean_forward_evaluations,mean_memory_proxy_bytes,mean_wall_seconds,pareto_error_forward_evaluations,pareto_error_memory_proxy,pareto_error_wall_seconds
8,uniform,5,2.6031463074251513,0.6355283726209902,0.9493281798886871,54,6.0,334912.0,0.01989121437072754,False,False,False
8,threshold_static,5,2.370631162946351,0.40301322814218976,0.8689667215749726,54,1.0,335385.6,0.003480860000854591,True,False,True
8,threshold_adaptive,5,2.3169776135270954,0.34935967872293416,0.8597556597182192,54,12.0,335897.6,0.043832719999045366,True,False,True
8,measured_first_order,5,2.1973887089890494,0.22977077418488814,0.8097479776927541,54,60.0,337164.8,0.20873961448669434,True,False,True
8,full_pairwise,5,2.3542991077437883,0.3866811729396273,0.8402466088505489,54,228.0,338624.0,0.7763523101806641,False,False,False
8,rollout_first_order_h6,5,1.9894587034454538,0.021840768641292963,0.7133839683396044,54,7897.0,334489.6,27.21334915999905,True,True,True
10,uniform,5,3.354483324036013,0.8596845552469276,1.0170739364844779,62,6.0,386048.0,0.02665252685546875,False,False,False
10,threshold_static,5,3.154221822579307,0.6594230537902217,0.9399009404951212,62,1.0,389632.0,0.005202079999435227,True,False,True
10,threshold_adaptive,5,3.112779705853575,0.6179809370644895,0.9285474975653412,62,12.0,390156.8,0.053851499999291265,True,False,True
10,measured_first_order,5,2.789008719237027,0.2942099504479419,0.8487116966172567,62,72.0,385830.4,0.31131587028503416,True,False,True
10,full_pairwise,5,2.8189998127439644,0.32420104395487886,0.8551367972083792,62,342.0,384524.8,1.4697946071624757,False,False,False
10,rollout_first_order_h6,5,2.5653050696627275,0.07050630087364204,0.7670972981368991,62,20521.0,383347.2,87.24591354000003,True,True,True
