scientific_instance_hash,tree_hash,bound_family,bound,ratio_to_homogeneous
ba604c2567db55d217dd89356235eadbcf4edcb661557bc43d2f37e0fe579e8a,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,homogeneous,3.7500000000000003e-05,1.0
ba604c2567db55d217dd89356235eadbcf4edcb661557bc43d2f37e0fe579e8a,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,nodewise,3.7500000000000003e-05,1.0
ba604c2567db55d217dd89356235eadbcf4edcb661557bc43d2f37e0fe579e8a,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,path_sum,3.7500000000000003e-05,1.0
ba604c2567db55d217dd89356235eadbcf4edcb661557bc43d2f37e0fe579e8a,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,mixed_mask,5e-05,1.3333333333333333
ba604c2567db55d217dd89356235eadbcf4edcb661557bc43d2f37e0fe579e8a,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,optimized_order,3.7500000000000003e-05,1.0
94d083714180e13cbbb16122c8c4da587c836d519dbe6f37771439efa320355a,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,homogeneous,3.7500000000000003e-05,1.0
94d083714180e13cbbb16122c8c4da587c836d519dbe6f37771439efa320355a,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,nodewise,1.2525000000000001e-05,0.334
94d083714180e13cbbb16122c8c4da587c836d519dbe6f37771439efa320355a,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,path_sum,1.2525000000000001e-05,0.334
94d083714180e13cbbb16122c8c4da587c836d519dbe6f37771439efa320355a,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,mixed_mask,1.25375e-05,0.3343333333333333
94d083714180e13cbbb16122c8c4da587c836d519dbe6f37771439efa320355a,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,optimized_order,1.2525000000000001e-05,0.334
7fe09ce6dd3df06631f2ecc48ce0595f733b6feb8219f970c99b54d7f55cbef3,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,homogeneous,3.7500000000000003e-05,1.0
7fe09ce6dd3df06631f2ecc48ce0595f733b6feb8219f970c99b54d7f55cbef3,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,nodewise,1.2525000000000001e-05,0.334
