experiment_id,resolved_config_hash,mathematical_object_hash,input_artifact_hash,seed,precision,backend,device,implementation_version,run_id,status,failure_reason,run_path,epsilon_requested,closure_residual_upper,operator_norm_upper,tree_family,internal_nodes,tree_height,observed_error,projected_observed_error,theoretical_bound,tightness_ratio,runtime_seconds,ram_peak_bytes,vram_peak_bytes,convergence_status,failure_count
V2_APPROX_CLOSURE_BOUND,f0e9b649fb1ea2b823fa658dbae332b7e05531b0e5cee5003239a1a7241efbcf,c92748d041b6187434fd1307c049bd41f15bbb18f9bf698c52ba54af536710da,af1af079aca662fd9be0462c398a67414ad961d76424f15e0ff32d24ec31274f,0,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_bb21b4dfabb7407e,complete,,artifacts\runs_v2\v2_approx_closure_bound_bb21b4dfabb7407e,0.0,0.0,1.0,single,1,1,0.0,0.0,0.0,0.0,0.0006469999789260328,9229,0,exact_zero_residual,0
V2_APPROX_CLOSURE_BOUND,b440d00ac56c6a82bc54fd55d02a5375e06fdfd765d001f01b3297acb634737b,c92748d041b6187434fd1307c049bd41f15bbb18f9bf698c52ba54af536710da,af1af079aca662fd9be0462c398a67414ad961d76424f15e0ff32d24ec31274f,0,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_80544bd41a1dd8c9,complete,,artifacts\runs_v2\v2_approx_closure_bound_80544bd41a1dd8c9,0.0,0.0,1.0,associator_left,2,2,0.0,0.0,0.0,0.0,0.0010430999682284892,9517,0,exact_zero_residual,0
V2_APPROX_CLOSURE_BOUND,d1ec9b69dcca859645a949590643846ef0fb3d19eef7fe0a01df0b894f9bac52,c92748d041b6187434fd1307c049bd41f15bbb18f9bf698c52ba54af536710da,af1af079aca662fd9be0462c398a67414ad961d76424f15e0ff32d24ec31274f,0,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_3ad4c68eb3511ed2,complete,,artifacts\runs_v2\v2_approx_closure_bound_3ad4c68eb3511ed2,0.0,0.0,1.0,balanced,4,2,0.0,0.0,0.0,0.0,0.002806900010909885,10005,0,exact_zero_residual,0
V2_APPROX_CLOSURE_BOUND,dbcf79ea61d37961179b8f178553d87b84b9c8a8c51fc5e0719dfda8c148ca3a,941458f9147acb7de942d5d24fcb585b5d6ec111d89c492e0a4f74e5b6e6382c,af1af079aca662fd9be0462c398a67414ad961d76424f15e0ff32d24ec31274f,0,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_f823a377cf33291a,complete,,artifacts\runs_v2\v2_approx_closure_bound_f823a377cf33291a,0.01,0.01,1.0000499987500626,single,1,1,0.00026722951933468546,0.0,0.009999999999999998,0.02672295193346855,0.0011205000337213278,9269,0,complete,0
V2_APPROX_CLOSURE_BOUND,a3aa63cb0fa9b826306d211bf0aa874ad3c9463b623da5368db235a58373d4a0,941458f9147acb7de942d5d24fcb585b5d6ec111d89c492e0a4f74e5b6e6382c,af1af079aca662fd9be0462c398a67414ad961d76424f15e0ff32d24ec31274f,0,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_2ef532263d7bfc17,complete,,artifacts\runs_v2\v2_approx_closure_bound_2ef532263d7bfc17,0.01,0.01,1.0000499987500626,associator_left,2,2,0.0006098987867800333,0.0,0.02000099997500125,0.03049341470638121,0.0012547000078484416,9445,0,complete,0
V2_APPROX_CLOSURE_BOUND,fe7c714bee2613ee3e323aaaf8e8c77bb8ce609b1e1fa7a7a5e8194d72f9dec4,941458f9147acb7de942d5d24fcb585b5d6ec111d89c492e0a4f74e5b6e6382c,af1af079aca662fd9be0462c398a67414ad961d76424f15e0ff32d24ec31274f,0,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_c6a73acfece68025,complete,,artifacts\runs_v2\v2_approx_closure_bound_c6a73acfece68025,0.01,0.01,1.0000499987500626,balanced,4,2,3.7465158250961587e-06,0.0,0.04000600014999751,9.364884794903427e-05,0.0021912999800406396,9989,0,complete,0
V2_APPROX_CLOSURE_BOUND,8a25afe352d3ebf31febe5f366adb5a80e6a59e0604df070e6b9246657514329,2c57b0aa91b1abd4a6f979a92e20aa6569190ca4d683fa3bd6e573cddfa69387,af1af079aca662fd9be0462c398a67414ad961d76424f15e0ff32d24ec31274f,0,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_d9a44c07db24d9e3,complete,,artifacts\runs_v2\v2_approx_closure_bound_d9a44c07db24d9e3,0.05,0.05,1.0012492197250393,single,1,1,0.0013361475966734272,0.0,0.04999999999999999,0.02672295193346855,0.0005049000028520823,9269,0,complete,0
V2_APPROX_CLOSURE_BOUND,936b85efbac3382db1f6609d4617d8adb97de6164467ddc582f6d8c1a3fa32a0,2c57b0aa91b1abd4a6f979a92e20aa6569190ca4d683fa3bd6e573cddfa69387,af1af079aca662fd9be0462c398a67414ad961d76424f15e0ff32d24ec31274f,0,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_46ffd9b8e1f0311f,complete,,artifacts\runs_v2\v2_approx_closure_bound_46ffd9b8e1f0311f,0.05,0.05,1.0012492197250393,associator_left,2,2,0.0030494939339001663,0.0,0.10012492197250392,0.03045689198876591,0.0011009000008925796,9445,0,complete,0
V2_APPROX_CLOSURE_BOUND,a5dd26d64121373379f72977d362a1888d03b17ef2da559e0cd975a4ebe7cab9,2c57b0aa91b1abd4a6f979a92e20aa6569190ca4d683fa3bd6e573cddfa69387,af1af079aca662fd9be0462c398a67414ad961d76424f15e0ff32d24ec31274f,0,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_7a7ca5386b477d52,complete,,artifacts\runs_v2\v2_approx_closure_bound_7a7ca5386b477d52,0.05,0.05,1.0012492197250393,balanced,4,2,1.8732579125480792e-05,0.0,0.20075046855487036,9.331275418847e-05,0.002099699981044978,9845,0,complete,0
V2_APPROX_CLOSURE_BOUND,da3d1bbb937610d53bc5ae4588880853022b2049176e3002b96d99b0122d9387,5a198ae207c30619c7ea144594f6eb4e3bea1e2c466ca85385942434bc75c088,af1af079aca662fd9be0462c398a67414ad961d76424f15e0ff32d24ec31274f,0,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_89cfd14465d5daf6,complete,,artifacts\runs_v2\v2_approx_closure_bound_89cfd14465d5daf6,0.1,0.1,1.0049875621120892,single,1,1,0.0026722951933468545,0.0,0.09999999999999998,0.02672295193346855,0.0005027999868616462,9125,0,complete,0
V2_APPROX_CLOSURE_BOUND,e1aec574c0b5d1521285d6de07eb184b8f09cbef6fd53dae1312f32ec5872e1a,5a198ae207c30619c7ea144594f6eb4e3bea1e2c466ca85385942434bc75c088,af1af079aca662fd9be0462c398a67414ad961d76424f15e0ff32d24ec31274f,0,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_94b8e5742702899a,complete,,artifacts\runs_v2\v2_approx_closure_bound_94b8e5742702899a,0.1,0.1,1.0049875621120892,associator_left,2,2,0.006098987867800333,0.0,0.20099751242241778,0.03034359875550428,0.0012984999921172857,9301,0,complete,0
V2_APPROX_CLOSURE_BOUND,17d6e761bf61f83dcda6864e1c729b1a9ceef1f948d77ccc5493d692d207c509,5a198ae207c30619c7ea144594f6eb4e3bea1e2c466ca85385942434bc75c088,af1af079aca662fd9be0462c398a67414ad961d76424f15e0ff32d24ec31274f,0,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_9b8fc19f22ec0fb2,complete,,artifacts\runs_v2\v2_approx_closure_bound_9b8fc19f22ec0fb2,0.1,0.1,1.0049875621120892,balanced,4,2,3.7465158250961585e-05,0.0,0.40601497509328405,9.227531137824108e-05,0.0021498000132851303,9845,0,complete,0
V2_APPROX_CLOSURE_BOUND,f0e9b649fb1ea2b823fa658dbae332b7e05531b0e5cee5003239a1a7241efbcf,2ad1cb47c66890a6462ba80949f48472805907e7cd060ba20e2ad73e1a5f32e2,3ac0a455dff31f643cda7695f806247c589144060c77030024e5887e9293f1bd,1,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_991ecfefd8843b2b,complete,,artifacts\runs_v2\v2_approx_closure_bound_991ecfefd8843b2b,0.0,0.0,0.9999999999999999,single,1,1,0.0,0.0,0.0,0.0,0.0006078000296838582,9125,0,exact_zero_residual,0
V2_APPROX_CLOSURE_BOUND,b440d00ac56c6a82bc54fd55d02a5375e06fdfd765d001f01b3297acb634737b,2ad1cb47c66890a6462ba80949f48472805907e7cd060ba20e2ad73e1a5f32e2,3ac0a455dff31f643cda7695f806247c589144060c77030024e5887e9293f1bd,1,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_785c509ded92d955,complete,,artifacts\runs_v2\v2_approx_closure_bound_785c509ded92d955,0.0,0.0,0.9999999999999999,associator_left,2,2,0.0,0.0,0.0,0.0,0.001111100020352751,9301,0,exact_zero_residual,0
V2_APPROX_CLOSURE_BOUND,d1ec9b69dcca859645a949590643846ef0fb3d19eef7fe0a01df0b894f9bac52,2ad1cb47c66890a6462ba80949f48472805907e7cd060ba20e2ad73e1a5f32e2,3ac0a455dff31f643cda7695f806247c589144060c77030024e5887e9293f1bd,1,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_ce7c1a2a7b89cec7,complete,,artifacts\runs_v2\v2_approx_closure_bound_ce7c1a2a7b89cec7,0.0,0.0,0.9999999999999999,balanced,4,2,0.0,0.0,0.0,0.0,0.0027001999551430345,9845,0,exact_zero_residual,0
V2_APPROX_CLOSURE_BOUND,dbcf79ea61d37961179b8f178553d87b84b9c8a8c51fc5e0719dfda8c148ca3a,33eaac2054ea2eed30de4e2cfd9f48fd648c1da5beb4f9bd1cd57f706e2a8404,3ac0a455dff31f643cda7695f806247c589144060c77030024e5887e9293f1bd,1,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_8979fc6ccee9b3a2,complete,,artifacts\runs_v2\v2_approx_closure_bound_8979fc6ccee9b3a2,0.01,0.01,1.0000499987500624,single,1,1,0.0004306087418689227,0.0,0.009999999999999998,0.04306087418689228,0.0006203000084497035,9269,0,complete,0
V2_APPROX_CLOSURE_BOUND,a3aa63cb0fa9b826306d211bf0aa874ad3c9463b623da5368db235a58373d4a0,33eaac2054ea2eed30de4e2cfd9f48fd648c1da5beb4f9bd1cd57f706e2a8404,3ac0a455dff31f643cda7695f806247c589144060c77030024e5887e9293f1bd,1,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_2c998599cfbbee7a,complete,,artifacts\runs_v2\v2_approx_closure_bound_2c998599cfbbee7a,0.01,0.01,1.0000499987500624,associator_left,2,2,0.00102626329454857,0.0,0.020000999975001245,0.05131059926160047,0.0012314000050537288,9301,0,complete,0
V2_APPROX_CLOSURE_BOUND,fe7c714bee2613ee3e323aaaf8e8c77bb8ce609b1e1fa7a7a5e8194d72f9dec4,33eaac2054ea2eed30de4e2cfd9f48fd648c1da5beb4f9bd1cd57f706e2a8404,3ac0a455dff31f643cda7695f806247c589144060c77030024e5887e9293f1bd,1,float64,numpy,cpu,research_v2.1,v2_approx_closure_bound_59a829558616ee9f,complete,,artifacts\runs_v2\v2_approx_closure_bound_59a829558616ee9f,0.01,0.01,1.0000499987500624,balanced,4,2,1.7089057553716623e-06,0.0,0.04000600014999748,4.271623628866506e-05,0.002342499967198819,9845,0,complete,0
