run_path,experiment_id,status,epistemic_status,precision,seed,runtime_seconds,closure_leakage
C:/Documents/metamaths/seion-math-core/artifacts/runs/canonical_matrix/ALG_CP_RANK_ONE/20260729T115718917281Z-39cc0da820d9,ALG_CP_RANK_ONE,COMPLETE,FINITE_DIMENSION_EXHAUSTIVE,float64,42,0.08473810000577942,{}
C:/Documents/metamaths/seion-math-core/artifacts/runs/canonical_matrix/ALG_CP_RANK_ONE/20260729T115748783204Z-39cc0da820d9,ALG_CP_RANK_ONE,COMPLETE,FINITE_DIMENSION_EXHAUSTIVE,float64,42,0.06791430001612753,{}
C:/Documents/metamaths/seion-math-core/artifacts/runs/canonical_matrix/ALG_CP_RANK_ONE/20260729T115842021682Z-39cc0da820d9,ALG_CP_RANK_ONE,COMPLETE,FINITE_DIMENSION_EXHAUSTIVE,float64,42,0.07793840003432706,{}
C:/Documents/metamaths/seion-math-core/artifacts/runs/canonical_matrix/ALG_CP_RANK_ONE/20260729T115850671983Z-39cc0da820d9,ALG_CP_RANK_ONE,COMPLETE,FINITE_DIMENSION_EXHAUSTIVE,float64,42,0.0712125000427477,{}
C:/Documents/metamaths/seion-math-core/artifacts/runs/canonical_matrix/ALG_CP_RANK_ONE/20260729T115945901550Z-39cc0da820d9,ALG_CP_RANK_ONE,COMPLETE,FINITE_DIMENSION_EXHAUSTIVE,float64,42,0.0772829000488855,{}
C:/Documents/metamaths/seion-math-core/artifacts/runs/canonical_matrix/ALG_CP_RANK_ONE/20260729T124628790482Z-39cc0da820d9,ALG_CP_RANK_ONE,COMPLETE,FINITE_DIMENSION_EXHAUSTIVE,float64,42,0.06680069997673854,{}
C:/Documents/metamaths/seion-math-core/artifacts/runs/canonical_matrix/ALG_DENSE_FLOAT64/20260729T115716918525Z-b2b1c5060a4f,ALG_DENSE_FLOAT64,COMPLETE,NUMERICALLY_TESTED,float64,42,1.8607230999623425,{}
C:/Documents/metamaths/seion-math-core/artifacts/runs/canonical_matrix/ALG_DENSE_FLOAT64/20260729T115743109359Z-b2b1c5060a4f,ALG_DENSE_FLOAT64,COMPLETE,NUMERICALLY_TESTED,float64,42,5.563336500024889,{}
C:/Documents/metamaths/seion-math-core/artifacts/runs/canonical_matrix/ALG_DENSE_FLOAT64/20260729T115841810059Z-b2b1c5060a4f,ALG_DENSE_FLOAT64,COMPLETE,NUMERICALLY_TESTED,float64,42,0.07052370003657416,{}
C:/Documents/metamaths/seion-math-core/artifacts/runs/canonical_matrix/ALG_DENSE_FLOAT64/20260729T115850469905Z-b2b1c5060a4f,ALG_DENSE_FLOAT64,COMPLETE,NUMERICALLY_TESTED,float64,42,0.0752453000168316,{}
