block,arity,internal_nodes,shape_index,tree_hash,dimension,projector_rank,field,eta,error_type,scientific_instance_hash,depth,strahler_number,path_length_sum,certified_lower_bound,construction_value_upper,certified_upper_bound,absolute_gap,relative_gap,status,lower_method,upper_theorem,global_optimum_certified,precision,device
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,2,1,real,0.001,ambient,ff259b751ae89cadfc434d35be0ad3e41416234305967fd679b1a9f163d56f24,1,2,2,0.9999999999999999,1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,NEAR_OPTIMAL_WITH_CERTIFIED_GAP,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_HOMOGENEOUS_AMBIENT_K,False,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,2,1,real,0.001,projected,fa62f1608ead4d12613dda6c83d3a687dfd094cc3e1d08e18ec155073afa5200,1,2,2,0.0,1.3684555315672042e-45,0.0,0.0,0.0,EXACT_OPTIMAL_CONSTANT,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_PROJECTED_ROOT_K_MINUS_ONE,True,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,2,1,real,0.001,normal,81d981cbd6ecdcc0fead6f5969cdd14941e2e19349fa85707915c62bc9adb3ab,1,2,2,0.9999999999999999,1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,NEAR_OPTIMAL_WITH_CERTIFIED_GAP,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_HOMOGENEOUS_AMBIENT_K,False,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,3,1,real,0.001,ambient,c3f7efc6ddf4ef3d3a529807a6524360466ba0a7ff591f6287bfcbcbddd45f87,1,2,2,0.9999999999999999,1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,NEAR_OPTIMAL_WITH_CERTIFIED_GAP,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_HOMOGENEOUS_AMBIENT_K,False,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,3,1,real,0.001,projected,05ef205b4216901f3adc6e3f18c7265047ff1a67cd6b7d7639303b8de3a543f8,1,2,2,0.0,1.3684555315672042e-45,0.0,0.0,0.0,EXACT_OPTIMAL_CONSTANT,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_PROJECTED_ROOT_K_MINUS_ONE,True,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,3,1,real,0.001,normal,3f761f399a26262e27411e8e622207faf5e43501cf6547d45f62d3067731451d,1,2,2,0.9999999999999999,1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,NEAR_OPTIMAL_WITH_CERTIFIED_GAP,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_HOMOGENEOUS_AMBIENT_K,False,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,3,2,real,0.001,ambient,e2eac90b7fbdc8eea2f776ed8375f5b0b3deceecd559e31dad07333494397732,1,2,2,0.9999999999999999,1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,NEAR_OPTIMAL_WITH_CERTIFIED_GAP,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_HOMOGENEOUS_AMBIENT_K,False,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,3,2,real,0.001,projected,f8b03c580e072f7543096ec0ae5f050af6bad3ead8ecad53c004906e740625eb,1,2,2,0.0,1.3684555315672042e-45,0.0,0.0,0.0,EXACT_OPTIMAL_CONSTANT,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_PROJECTED_ROOT_K_MINUS_ONE,True,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,3,2,real,0.001,normal,50b59895a5eeaf7984b0d6a56ba426d4ecccce04b3a474f24cf985dbaff19ac0,1,2,2,0.9999999999999999,1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,NEAR_OPTIMAL_WITH_CERTIFIED_GAP,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_HOMOGENEOUS_AMBIENT_K,False,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,2,1,real,0.01,ambient,a4854073a9b33bc3f2ae95188037d8a1aa13931f6492b871371d4b56ab811ae3,1,2,2,0.9999999999999999,1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,NEAR_OPTIMAL_WITH_CERTIFIED_GAP,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_HOMOGENEOUS_AMBIENT_K,False,interval160,cpu
