block,arity,internal_nodes,topology,eta,dimension,projector_rank,scientific_instance_hash,tree_hash,depth,imbalance,strahler_number,path_length_sum,ambient_lower,ambient_upper,projected_lower,projected_upper,normal_lower,normal_upper,ambient_relative_gap,projected_relative_gap,optimizer_seeds_required,restarts_per_seed_required,optimizer_trajectories_required,optimizer_trajectories_executed_full_core,lower_method,optimizer_status,precision,device,status
B,2,2,left_comb,1e-08,2,1,c17856b0c38e6a14b1634dcfa13d17fecba317a99711612bd2236f7f6a312e5c,771118e22e38c17b89fe5c2b9baa6acbc7633d8cd36ec18b1b27af704494ecb8,2,1,2,5,1.9999999999999998,2.0,9.999999999999999e-09,1.0,1.9999999999999998,2.0,1.1102230246251565e-16,0.99999999,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,left_comb,1e-07,2,1,e27531aa0f748d7903cbef3bd840923e800cff4540d1c3a88af77f53bc5d28dd,771118e22e38c17b89fe5c2b9baa6acbc7633d8cd36ec18b1b27af704494ecb8,2,1,2,5,1.9999999999999925,2.0,1e-07,1.0,1.9999999999999898,2.0,3.774758283725532e-15,0.9999999,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,left_comb,1e-06,2,1,354018c1c5cb8b8a4e70ecbcc87d1dce7087554f36022fc0e5d732b891c34e18,771118e22e38c17b89fe5c2b9baa6acbc7633d8cd36ec18b1b27af704494ecb8,2,1,2,5,1.99999999999925,2.0,1e-06,1.0,1.999999999999,2.0,3.750333377183779e-13,0.999999,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,left_comb,1e-05,2,1,3496c6bb7be6996a0b97c2dc9c9867655eb536248cc505f450d258e0cf9ac035,771118e22e38c17b89fe5c2b9baa6acbc7633d8cd36ec18b1b27af704494ecb8,2,1,2,5,1.999999999925,2.0,9.999999999999999e-06,1.0,1.9999999999,2.0,3.750000310276391e-11,0.99999,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,left_comb,0.0001,2,1,7f2a917093189ee06b9d09cb45a56267d9c7d448479e16b574800b83731f7dc1,771118e22e38c17b89fe5c2b9baa6acbc7633d8cd36ec18b1b27af704494ecb8,2,1,2,5,1.9999999924999998,2.0,9.999999999999999e-05,1.0,1.9999999899999998,2.0,3.750000088231786e-09,0.9999,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,left_comb,0.001,2,1,5ad4bc081d1ff901f77bef2df75ebeaeb6a0d08effc55e14d7615ebd2853fb7e,771118e22e38c17b89fe5c2b9baa6acbc7633d8cd36ec18b1b27af704494ecb8,2,1,2,5,1.9999992499998593,2.0,0.0009999999999999998,1.0,1.9999989999997498,2.0,3.750000703295342e-07,0.999,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,left_comb,0.01,2,1,c2b70f5d733a858c43af04f6e4f2b5a2ba7c4765367e7f3a55798aeecddb6aa5,771118e22e38c17b89fe5c2b9baa6acbc7633d8cd36ec18b1b27af704494ecb8,2,1,2,5,1.999924998593697,2.0,0.009999999999999998,1.0,1.9998999974998748,2.0,3.75007031514496e-05,0.99,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,left_comb,0.05,2,1,fd3ed4dcc2f53d82b535289b9ec14d74fc7922cbe3a3409c5186f74ba2b3b709,771118e22e38c17b89fe5c2b9baa6acbc7633d8cd36ec18b1b27af704494ecb8,2,1,2,5,1.9981241202688085,2.0,0.049999999999999996,1.0,1.9974984355438177,2.0,0.0009379398655957605,0.95,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,left_comb,0.1,2,1,ef7b7e1baaee16cfba7bb8737586256ffdda9be83083207b87d6c35d9ccd581b,771118e22e38c17b89fe5c2b9baa6acbc7633d8cd36ec18b1b27af704494ecb8,2,1,2,5,1.9924858845171274,2.0,0.09999999999999999,1.0,1.9899748742132397,2.0,0.0037570577414363093,0.9,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,left_comb,0.25,2,1,bfd5c47e8163dc2e89ae338232beee63aa1846fb701146d66210913e10928a24,771118e22e38c17b89fe5c2b9baa6acbc7633d8cd36ec18b1b27af704494ecb8,2,1,2,5,1.9525624189766635,2.0,0.24999999999999997,1.0,1.9364916731037083,2.0,0.023718790511668253,0.75,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
