block,arity,internal_nodes,topology,M_anchor,eta_anchor,pattern,scientific_instance_hash,tree_hash,homogeneous_ambient_bound,homogeneous_projected_bound,nodewise_bound,nodewise_projected_bound,path_sum_bound,path_sum_projected_bound,mixed_mask_bound,optimized_order_bound,best_certified_bound,nodewise_over_homogeneous,projected_nodewise_over_homogeneous,seed_count_required,status
D,2,3,comb,0.5,0.0001,uniform,ba604c2567db55d217dd89356235eadbcf4edcb661557bc43d2f37e0fe579e8a,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,3.7500000000000003e-05,2.5e-05,3.7500000000000003e-05,2.5e-05,3.7500000000000003e-05,2.5e-05,5e-05,3.7500000000000003e-05,3.7500000000000003e-05,1.0,1.0,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.5,0.0001,root,94d083714180e13cbbb16122c8c4da587c836d519dbe6f37771439efa320355a,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,3.7500000000000003e-05,2.5e-05,1.2525000000000001e-05,2.5000000000000002e-08,1.2525000000000001e-05,2.5000000000000002e-08,1.25375e-05,1.2525000000000001e-05,1.2525000000000001e-05,0.334,0.001,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.5,0.0001,leaves,7fe09ce6dd3df06631f2ecc48ce0595f733b6feb8219f970c99b54d7f55cbef3,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,3.7500000000000003e-05,2.5e-05,1.2525000000000001e-05,1.2512500000000001e-05,1.2525000000000001e-05,1.2512500000000001e-05,2.5025000000000002e-05,1.2525000000000001e-05,1.2525000000000001e-05,0.334,0.5005000000000001,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.5,0.0001,deepest_path,c8f13b5d084d9f71e822770af344f0a7c811a38f00b7857eeae7742d0eec945b,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,3.7500000000000003e-05,2.5e-05,3.7500000000000003e-05,2.5e-05,3.7500000000000003e-05,2.5e-05,5e-05,3.7500000000000003e-05,3.7500000000000003e-05,1.0,1.0,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.5,0.0001,alternating,edb00bb6ded2fbf8bb9e8800a8a98b47cdb69b0012ab8e8240227926770f6f11,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,3.7500000000000003e-05,2.5e-05,1.884375e-05,9.468750000000001e-06,1.884375e-05,9.468750000000001e-06,2.821875e-05,1.884375e-05,1.884375e-05,0.5025,0.37875000000000003,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.5,0.0001,random_log_uniform,d337bf4b23003ad5dffac0eab7c0da9756b1293fdf440303d0db39ebfa6161e5,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,2.67317636759218e-06,1.7821175783947867e-06,4.5717283064134757e-07,2.4633643292432565e-07,4.5717283064134757e-07,2.4633643292432565e-07,6.242463536158588e-07,4.5717283064134757e-07,4.5717283064134757e-07,0.17102232242653656,0.13822681281568927,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.5,0.0001,one_dominant,21110fb02f8e8cdbc11fd084b6f626537454acbff087e0dacb6afea2cbe8f57d,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,3.7500000000000003e-05,2.5e-05,1.2525000000000001e-05,1.2512500000000001e-05,1.2525000000000001e-05,1.2512500000000001e-05,1.2537500000000002e-05,1.2525000000000001e-05,1.2525000000000001e-05,0.334,0.5005000000000001,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.5,0.0001,two_branches,daed1be59b01ffef12d779f62cfa05d81c87cb5b915487fd013f5e1292f69fd0,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,3.7500000000000003e-05,2.5e-05,2.50125e-05,2.5e-05,2.50125e-05,2.5e-05,3.7512500000000004e-05,2.50125e-05,2.50125e-05,0.6669999999999999,1.0,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.5,0.01,uniform,cf6430525c8b7f8ecb60c2301edc41d4093aac75cc584c250e43a4bfdead0f2a,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.00375,0.0025,0.00375,0.0025,0.00375,0.0025,0.005,0.00375,0.00375,1.0,1.0,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.5,0.01,root,9835a54d45fd6754be7b397fb377591bb1902c38d8281839444f6d226f6826ac,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.00375,0.0025,0.0012525,2.5e-06,0.0012525,2.5e-06,0.00125375,0.0012525,0.0012525,0.334,0.001,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.5,0.01,leaves,3ada47147c006bad4ddaca1887fdc1a680ef54258b2882ad3339a344c1e790a0,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.00375,0.0025,0.0012525,0.00125125,0.0012525,0.00125125,0.0025025,0.0012525,0.0012525,0.334,0.5005,10,COMPLETE_CERTIFICATE_INSTANCE
