block,type_count,arity_kind,internal_nodes,dimension_profile,rank_profile,control,scientific_instance_hash,tree_hash,validation,invalid_rejected_before_evaluation,seed_count_required,status
E,2,binary,3,"(2, 9)","(1, 4)",valid,288e5fb0715d4968ecf2393dbd10b6045217f0b3b417c7daa655c27f4e44e423,f2c2d920f41ed73393e06578a53b2b9da69b7f60c0ba38d04b0d97db94436948,ACCEPTED,False,10,COMPLETE_TYPE_VALIDATION
E,2,binary,3,"(2, 9)","(1, 4)",invalid_edge,851018de987c55298fc5a2b2316abb44b7b1bebe12cd1ef29701b108a00942be,5710374a0a18c0db1febbc4bfe6ed452eec42be5d8d71ba64c0bd038702ef89a,REJECTED,True,0,VERIFIED_NEGATIVE_CONTROL
E,2,binary,6,"(2, 9)","(1, 4)",valid,1d9f96b8b6462f65bee44f5a764ebcc2a46e6faa25e3f0eac7982509bb849727,f0cc62058880e61c2c9a23f16f918a1b77cc06d22725ec984d121c4bc4b74106,ACCEPTED,False,10,COMPLETE_TYPE_VALIDATION
E,2,binary,6,"(2, 9)","(1, 4)",invalid_edge,66680abb5f73b16c6084938c4797c208e92f34a24e4f7158c8e40c1bb4e22bf5,23456b7c9ffe593ee78f6c4d55921b975e3bda8d3ed48717040a86286529fe07,REJECTED,True,0,VERIFIED_NEGATIVE_CONTROL
E,2,binary,10,"(3, 10)","(1, 4)",valid,8ac73a20312807b670116c2827b2175999db057f7eb6435ab88dce30e063af8d,09e62d5f905e1e96441e30d04bd6bdddfcacc812e3f43ee89640b04cf85df000,ACCEPTED,False,10,COMPLETE_TYPE_VALIDATION
E,2,binary,10,"(3, 10)","(1, 4)",invalid_edge,587625b9d08e6aff98924b91ee3703dc0459464df9778414efee0d3e7162601a,5c9814c2351c562fae18f0ae0ceaa2c8557b54e8f4fb310b328808fa5ace3448,REJECTED,True,0,VERIFIED_NEGATIVE_CONTROL
E,2,binary,16,"(3, 10)","(1, 4)",valid,f2784ed26b35d5fd1c8c63bcda8a9708f60e0f7428b175dd9e5dd8d1601785e6,4f5b9fdbb6dd278a07fa59a78e3138a1a7c8258af7f4ae3ab3c9b1605eb28cda,ACCEPTED,False,10,COMPLETE_TYPE_VALIDATION
E,2,binary,16,"(3, 10)","(1, 4)",invalid_edge,d3c436c6430bfc24d593d11bbbd1612d5d94081e9f833c25c7d171bd482d6166,a130f129b923bc40e434edca8bd07bc29e3c6f72c33741632c7fe9ba45ad90cd,REJECTED,True,0,VERIFIED_NEGATIVE_CONTROL
E,2,ternary,3,"(2, 9)","(1, 4)",valid,6049ab90d40d04bbf2b574e38457ab3120f0d2ca9c1e9fa9c121d838cb179f47,9a3c0747819d764a9e6d7278048c5d7362aa978199453f2f4beaae7f929a54f0,ACCEPTED,False,10,COMPLETE_TYPE_VALIDATION
E,2,ternary,3,"(2, 9)","(1, 4)",invalid_edge,c037d903db54de02eeda4916f17791e773993ed242be083adc69f0364d566e10,3cc968a7d8fea5227f4fc0f32441ef34ef7a506e71f9c34eedf8824cde3e13f0,REJECTED,True,0,VERIFIED_NEGATIVE_CONTROL
