block,internal_nodes,topology,eta,scientific_instance_hash,tree_hash,leakage_masks_executed,full_mask_projected_error,full_mask_ambient_error,sum_main_effects,sum_shapley,shapley_efficiency_residual,maximum_abs_pair_interaction,constructive_alignment,status
F,1,comb,0.1,5191796560cdc62a11a778ccddfe1cac22d60bbc7c153144449bd76dd9cbcb83,d753d020b326b296e24952e6449780937680175dff21ff3dab522f77b2d923ea,2,0.0,0.1,0.0,0.0,0.0,0.0,False,COMPLETE_ALL_LEAKAGE_MASKS
F,1,balanced,0.1,d0cf7d4bd81ce10d234e93dceb504e5c80b27eb2b65bf4fcb2de909c0b37503b,d753d020b326b296e24952e6449780937680175dff21ff3dab522f77b2d923ea,2,0.0,0.1,0.0,0.0,0.0,0.0,False,COMPLETE_ALL_LEAKAGE_MASKS
F,1,two_branch,0.1,d23149fb4a0c6ca6a4667d5d4e52fe183fa210bba0ed7d801335ba6cb234104a,d753d020b326b296e24952e6449780937680175dff21ff3dab522f77b2d923ea,2,0.0,0.1,0.0,0.0,0.0,0.0,False,COMPLETE_ALL_LEAKAGE_MASKS
F,2,comb,0.1,9cf7d8991672d6b8ce47982ca3a01979f9b5dab4f57e3eeb687944cdca608abb,e5568d69ce97d8e31cac256c37711124b90f1898ab444ad4714384d02c31f5da,4,0.010000000000000009,0.19924858845171275,0.0,0.010000000000000009,0.0,0.010000000000000009,False,COMPLETE_ALL_LEAKAGE_MASKS
F,2,balanced,0.1,2f36da1da4fd67c5d3b54771cca9788d9f9ef4a50c7ccf870aa7000362ac8dcf,e5568d69ce97d8e31cac256c37711124b90f1898ab444ad4714384d02c31f5da,4,0.010000000000000009,0.19924858845171275,0.0,0.010000000000000009,0.0,0.010000000000000009,False,COMPLETE_ALL_LEAKAGE_MASKS
F,2,two_branch,0.1,46c3031b7e3274198657ef4b9ab692c198e23024a4384b0390277f451f0e6ed1,a24dc0857504ae86635ee7d90963f7984987f7d6225182502c6f1cce8f466647,4,0.0,0.099498743710662,0.0,0.0,0.0,0.0,False,COMPLETE_ALL_LEAKAGE_MASKS
F,3,comb,0.1,aa6563beb2d87dfcbd79c30686e1cf101eeca431b623140e542c35dd760a16b6,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,8,0.02984962311319861,0.29750126050153136,0.0,0.02984962311319861,0.0,0.010000000000000009,False,COMPLETE_ALL_LEAKAGE_MASKS
F,3,balanced,0.1,2d585e2cb25b3bce896b9727c8ef5e9f8ddb901f7e428851252b13b9014cc227,f77fcc8e56b0d33238e712f1f870fcdb828dd685b804622ef1bf7414de093c28,8,0.009949874371066203,0.19824984237068136,0.0,0.009949874371066201,1.734723475976807e-18,0.010000000000000009,False,COMPLETE_ALL_LEAKAGE_MASKS
F,3,two_branch,0.1,a4b9e287879295e46370451fa6e807dfa607bac7db969fb00fbc9b9a4ebd104c,f77fcc8e56b0d33238e712f1f870fcdb828dd685b804622ef1bf7414de093c28,8,0.009949874371066203,0.19824984237068136,0.0,0.009949874371066201,1.734723475976807e-18,0.010000000000000009,False,COMPLETE_ALL_LEAKAGE_MASKS
F,4,comb,0.1,46333b4e7e331c1ccb66c0a9cd2a45ce0f67e510c506f7e24127752f39656d78,da2fc02433f7988217c90dcd14662d3166942b3408905a7affb0b4eb34db7263,16,0.05929999999999991,0.3945172366323175,0.0,0.05929999999999991,0.0,0.010000000000000009,False,COMPLETE_ALL_LEAKAGE_MASKS
