tree_hash,internal_nodes,topology,mask,enabled_nodes,projected_error,ambient_error
d753d020b326b296e24952e6449780937680175dff21ff3dab522f77b2d923ea,1,comb,0,0,0.0,0.0
d753d020b326b296e24952e6449780937680175dff21ff3dab522f77b2d923ea,1,comb,1,1,0.0,0.1
d753d020b326b296e24952e6449780937680175dff21ff3dab522f77b2d923ea,1,balanced,0,0,0.0,0.0
d753d020b326b296e24952e6449780937680175dff21ff3dab522f77b2d923ea,1,balanced,1,1,0.0,0.1
d753d020b326b296e24952e6449780937680175dff21ff3dab522f77b2d923ea,1,two_branch,0,0,0.0,0.0
d753d020b326b296e24952e6449780937680175dff21ff3dab522f77b2d923ea,1,two_branch,1,1,0.0,0.1
e5568d69ce97d8e31cac256c37711124b90f1898ab444ad4714384d02c31f5da,2,comb,0,0,0.0,0.0
e5568d69ce97d8e31cac256c37711124b90f1898ab444ad4714384d02c31f5da,2,comb,1,1,0.0,0.1
e5568d69ce97d8e31cac256c37711124b90f1898ab444ad4714384d02c31f5da,2,comb,2,1,0.0,0.1
e5568d69ce97d8e31cac256c37711124b90f1898ab444ad4714384d02c31f5da,2,comb,3,2,0.010000000000000009,0.19924858845171275
e5568d69ce97d8e31cac256c37711124b90f1898ab444ad4714384d02c31f5da,2,balanced,0,0,0.0,0.0
e5568d69ce97d8e31cac256c37711124b90f1898ab444ad4714384d02c31f5da,2,balanced,1,1,0.0,0.1
e5568d69ce97d8e31cac256c37711124b90f1898ab444ad4714384d02c31f5da,2,balanced,2,1,0.0,0.1
e5568d69ce97d8e31cac256c37711124b90f1898ab444ad4714384d02c31f5da,2,balanced,3,2,0.010000000000000009,0.19924858845171275
a24dc0857504ae86635ee7d90963f7984987f7d6225182502c6f1cce8f466647,2,two_branch,0,0,0.0,0.0
a24dc0857504ae86635ee7d90963f7984987f7d6225182502c6f1cce8f466647,2,two_branch,1,1,0.0,0.1
a24dc0857504ae86635ee7d90963f7984987f7d6225182502c6f1cce8f466647,2,two_branch,2,1,0.0,0.0
a24dc0857504ae86635ee7d90963f7984987f7d6225182502c6f1cce8f466647,2,two_branch,3,2,0.0,0.099498743710662
038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,3,comb,0,0,0.0,0.0
038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,3,comb,1,1,0.0,0.1
038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,3,comb,2,1,0.0,0.1
038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,3,comb,3,2,0.010000000000000009,0.19924858845171275
038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,3,comb,4,1,0.0,0.1
038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,3,comb,5,2,0.010000000000000009,0.19924858845171275
038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,3,comb,6,2,0.010000000000000009,0.19924858845171275
038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,3,comb,7,3,0.02984962311319861,0.29750126050153136
f77fcc8e56b0d33238e712f1f870fcdb828dd685b804622ef1bf7414de093c28,3,balanced,0,0,0.0,0.0
