block,expression,eta,scientific_instance_hash,triangle_upper,syntactic_cancellation_upper,observed_constant,observed_over_triangle,gradient_adversarial_constant,derivative_free_constant,certified_small_case_constant,optimizer_seeds_required,optimizer_status,status
G,five_input_ternary_associator,0.0001,6455432a2ede2b4e7880153e5305b503d41c84733f51e8d9c56945f9167a4c34,2.0,2.0,0.00010000000050247593,5.0000000251237964e-05,,,,20,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_REGISTERED_FOREST_EVALUATION
G,five_input_ternary_associator,0.01,9bb007d4e5a2076ccbb514122403961b9ef8850072c0ca4c769d2b305852bc02,2.0,2.0,0.009999999999998899,0.004999999999999449,,,,20,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_REGISTERED_FOREST_EVALUATION
G,five_input_ternary_associator,0.1,f433d3e9d43b74d1f98be846a2f6bea18020983e6c9d4cd5ad52db28d1e3211d,2.0,2.0,0.10000000000000009,0.050000000000000044,,,,20,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_REGISTERED_FOREST_EVALUATION
G,five_input_ternary_associator,0.5,7605778e45f6d3751b82d21e36d5fc1257bc5303fa265db6f9b61941ef2ea465,2.0,2.0,0.5,0.25,,,,20,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_REGISTERED_FOREST_EVALUATION
G,all_ternary_insertions,0.0001,add553a4161750e68a4970c7391f89e4539cf4d45c4c580d8ef6046f1e2aac48,2.0,2.0,0.00010000000050247593,5.0000000251237964e-05,,,,20,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_REGISTERED_FOREST_EVALUATION
G,all_ternary_insertions,0.01,823102e929418d7145de704966ce35cc80656ba55c09b1411baba4a6f2bc7519,2.0,2.0,0.009999999999998899,0.004999999999999449,,,,20,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_REGISTERED_FOREST_EVALUATION
G,all_ternary_insertions,0.1,d3fe56e1d150821449a8425901d9920cdf18f9dc2f805edfe2f2b81b6f9b6042,2.0,2.0,0.10000000000000009,0.050000000000000044,,,,20,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_REGISTERED_FOREST_EVALUATION
G,all_ternary_insertions,0.5,53c289909688600657df451412972ab4d3a5f4a6d571f16295988d4c36cefbe3,2.0,2.0,0.5,0.25,,,,20,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_REGISTERED_FOREST_EVALUATION
G,anchored_associator,0.0001,a87e551974a8965421899a6e473ad76590283dced65c6b0e1c1a45d47d41ec93,2.0,2.0,0.00010000000050247593,5.0000000251237964e-05,,,,20,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_REGISTERED_FOREST_EVALUATION
G,anchored_associator,0.01,2bda9a28c100420ef3ea859cc30fb27f40f83bbb9ab93058d99a8e01e72e5f85,2.0,2.0,0.009999999999998899,0.004999999999999449,,,,20,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_REGISTERED_FOREST_EVALUATION
G,anchored_associator,0.1,7737552e1decaa47aff8497dbf3dbab621efe18ed7d751ac7dac8c70372a2d69,2.0,2.0,0.10000000000000009,0.050000000000000044,,,,20,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_REGISTERED_FOREST_EVALUATION
G,anchored_associator,0.5,e74a42b59a6092f58d5f1aba44c024c88b62592b0272437ef96bc03c0b7b8572,2.0,2.0,0.5,0.25,,,,20,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_REGISTERED_FOREST_EVALUATION
G,jacobiator_variants,0.0001,7700cba39fdf11f8d4b19de4e7b1d279e650ae7850ad8073401ecda21576e5a1,3.0,3.0,0.0,0.0,,,,20,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_REGISTERED_FOREST_EVALUATION
G,jacobiator_variants,0.01,9bf8e292bbcf4d3916a71dba03f1a1617f7c6e29956e9582d3935c3de26f0b7d,3.0,3.0,0.0,0.0,,,,20,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_REGISTERED_FOREST_EVALUATION
G,jacobiator_variants,0.1,c04d71cf333e536375824361bf384210558774242e472317f36e0330a928f525,3.0,3.0,0.0,0.0,,,,20,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_REGISTERED_FOREST_EVALUATION
G,jacobiator_variants,0.5,42d07c2d4d659ae879d9b5ecfc8e07078b770a98977f0702a5e539fe0752da91,3.0,3.0,0.0,0.0,,,,20,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_REGISTERED_FOREST_EVALUATION
G,named_gji_variants,0.0001,b95acb807844e7c850d5cd6f3ed6100d0c72e0ccf7bba8205b3bd52be36e969b,6.0,6.0,2.220446049250313e-12,3.7007434154171886e-13,,,,20,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_REGISTERED_FOREST_EVALUATION
G,named_gji_variants,0.01,9b66daf6b159cac9164aa0ac9e8f9c2ad7f3e3f6246f29454b4560d655439185,6.0,6.0,2.220446049250313e-14,3.700743415417189e-15,,,,20,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_REGISTERED_FOREST_EVALUATION
G,named_gji_variants,0.1,d65e36f602d459e5ec6cd7a9e7bd2f480d46b81ad453fffbb44314e4b6573af4,6.0,6.0,2.220446049250313e-15,3.7007434154171886e-16,,,,20,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_REGISTERED_FOREST_EVALUATION
G,named_gji_variants,0.5,0c3e9b56235656185f9759db911e2aaa6c28a4a56f0dfb5662104297de25c97e,6.0,6.0,0.0,0.0,,,,20,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_REGISTERED_FOREST_EVALUATION
G,filippov_fundamental_identity,0.0001,d31c0958e5409fcafc1d792718f88c239f54b277ad33b1df091cfc15c5c5ee0b,4.0,4.0,9.99999993922529e-05,2.4999999848063226e-05,,,,20,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_REGISTERED_FOREST_EVALUATION
G,filippov_fundamental_identity,0.01,4100f461449fe21d87e93b4768317a1aaac743d34807ca85f3532cb9ad5b44f2,4.0,4.0,0.009999999999998899,0.0024999999999997247,,,,20,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_REGISTERED_FOREST_EVALUATION
G,filippov_fundamental_identity,0.1,6b21b6094da2fe919bae7026cf4202a5947c04903802ee595bcd52c3e5f1758d,4.0,4.0,0.10000000000000009,0.025000000000000022,,,,20,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_REGISTERED_FOREST_EVALUATION
G,filippov_fundamental_identity,0.5,70203534b0cb2d95709c5db0aa7e7a007bf68f3b1cae247a1bf1bb12df06d1d0,4.0,4.0,0.5,0.125,,,,20,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_REGISTERED_FOREST_EVALUATION
G,custom_signed_forests,0.0001,a395dbcbd0321e23a03d430368af079082981775fc5556524449320796cd9773,2.5,2.5,0.00014999999908837935,5.999999963535174e-05,,,,20,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_REGISTERED_FOREST_EVALUATION
G,custom_signed_forests,0.01,ba457f5fab3b88cd329535d2a82bba964da532796f2fa03469df4337f776d40d,2.5,2.5,0.014999999999987246,0.005999999999994898,,,,20,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_REGISTERED_FOREST_EVALUATION
G,custom_signed_forests,0.1,ec5300e5b1206eb722b80f3f7f0c0e9951be4d11501ca0e3aa6e278429e0f2e2,2.5,2.5,0.14999999999999902,0.05999999999999961,,,,20,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_REGISTERED_FOREST_EVALUATION
G,custom_signed_forests,0.5,a9c872ea7b88d0512ee047e97441076ad586c62dda544d97c1283a869822df67,2.5,2.5,0.75,0.3,,,,20,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_REGISTERED_FOREST_EVALUATION
