block,precision,case,scientific_instance_hash,field,eta,projected_error,residual,backward_error,condition_estimate,optimizer_stability,bound_violation_margin,cpu_gpu_parity,seed_count_required,status
I,float32,small_exact,f1138dda7f447fbd27bd4effb09817b397c1339aa209834ae559fb8259686720,real,0.1,0.05930000069946617,6.994662626880199e-10,6.994662626880199e-10,10.0,,0.24069999930053387,1.120220038952624e-08,10,COMPLETE_PRECISION_INSTANCE
I,float32,ill_conditioned,3d46f0b28a1850e8f36ee0e1d089359a6d9e9f788fa302e878ef26c149b235a8,real,1e-08,6.661338147750939e-16,0.0,0.0,100000000.0,,2.999999933386619e-08,0.0,10,COMPLETE_PRECISION_INSTANCE
I,float32,near_bound,84501c7335b343f6c35793ad302988b9ad7175b44707648491b678399ba42725,real,0.001,5.999993847871643e-06,8.47877323906232e-13,8.47877323906232e-13,1000.0,,0.0029940000061521284,1.3642420526593924e-12,10,COMPLETE_PRECISION_INSTANCE
I,float32,optimizer_stability,464dbab32a63eac9b38c663e03857b173236fa89c49644f75a6f5d7ba8411d01,real,0.5,1.0624999596164795,4.0383520527598193e-08,3.8008019320092415e-08,2.0,,0.4375000403835205,1.922112502494855e-08,10,COMPLETE_PRECISION_INSTANCE
I,float64,small_exact,8b968826b7cf2f3cbbaaabccfd8511863fe2e9d615e123055a858edc2698749a,real,0.1,0.05929999999999991,0.0,0.0,10.0,,0.24070000000000014,0.0,10,COMPLETE_PRECISION_INSTANCE
I,float64,ill_conditioned,cb6d55416674a8b9b6668eb9173059725f6ddf68c3a3f0372393b2ac50b3704e,real,1e-08,6.661338147750939e-16,0.0,0.0,100000000.0,,2.999999933386619e-08,0.0,10,COMPLETE_PRECISION_INSTANCE
I,float64,near_bound,9fee9a56283b685c1a21abc02fd57e554b4d15f77626f879dce0c23be33ccf09,real,0.001,5.999992999994319e-06,0.0,0.0,1000.0,,0.0029940000070000057,0.0,10,COMPLETE_PRECISION_INSTANCE
I,float64,optimizer_stability,ba3864b10c4301e500ca77074e3985a37894d819931873da1b453a72e48f934d,real,0.5,1.0625,0.0,0.0,2.0,,0.4375,0.0,10,COMPLETE_PRECISION_INSTANCE
I,complex64,small_exact,244cf4e82570d63a19bc9f55466067d9635dbef7555755f0c536f55712c86498,complex,0.1,0.05930000069946617,6.994662626880199e-10,6.994662626880199e-10,10.0,,0.24069999930053387,1.120220038952624e-08,10,COMPLETE_PRECISION_INSTANCE
I,complex64,ill_conditioned,7f448a45dc254282b9cfa4902869f3dee1f524a1ae309afe3f8d85a511fdf3d3,complex,1e-08,6.661338147750939e-16,0.0,0.0,100000000.0,,2.999999933386619e-08,0.0,10,COMPLETE_PRECISION_INSTANCE
I,complex64,near_bound,639a06826de2c8745583e94eea492f003da6eec23dc3fcaceed5e5046c8c9661,complex,0.001,5.999993847871643e-06,8.47877323906232e-13,8.47877323906232e-13,1000.0,,0.0029940000061521284,1.3642420526593924e-12,10,COMPLETE_PRECISION_INSTANCE
I,complex64,optimizer_stability,2eaf4fd87cff428f47d98e0ad74733c027a337bc518412ac5ba238b3d3ca08bb,complex,0.5,1.0624999596164795,4.0383520527598193e-08,3.8008019320092415e-08,2.0,,0.4375000403835205,1.922112502494855e-08,10,COMPLETE_PRECISION_INSTANCE
