backend,internal_nodes,arity,dimension,calls_per_repeat,repeats,median_seconds_per_tree,minimum_seconds_per_tree,maximum_seconds_per_tree,throughput_internal_nodes_per_second,peak_traced_ram_bytes,peak_vram_bytes,max_abs_difference_to_numpy,scientific_instance_hash,status
reference_python,1,2,2,30,5,0.00013353999820537866,0.00012453333280670146,0.00014666999923065304,7488.393091499401,36846,0,0.0,dac81f92569bcf4c5b67438f76ddf4a4ec253276fc34ba004859757cff28a4de,COMPLETE
numpy_cpu,1,2,2,30,5,0.00023243000032380223,0.00020332666657244165,0.0002597499988041818,4302.370600210312,39042,0,0.0,75eea041a4167c01984af988a2651dc118d03c0b0d5551c334f98407b3789f5a,COMPLETE
torch_cuda,1,2,2,30,5,0.00037257333363716804,0.00027045666744622093,0.0005039199992703894,2684.0353555036063,36222,33608704,0.0,48b892ee0832d2a52a6a791d94c73eecb4d8598a13528a7d21c020b6af4e7df3,COMPLETE
reference_python,2,2,2,30,5,0.00024519333383068445,0.00023560333453739684,0.0002553833338121573,8156.828608485245,45600,0,0.0,19171ba9998a6617252502db7bf965f4f663deeea564355ebff9c8731d880483,COMPLETE
numpy_cpu,2,2,2,30,5,0.0004784999997355044,0.00044744666665792466,0.0005000999992868552,4179.728319969739,50818,0,0.0,a37ce93bf6144be3e131ffbf78763739303e58d7b65b16c61965425b73e33a9f,COMPLETE
torch_cuda,2,2,2,30,5,0.0005345433329542478,0.0005009299997861187,0.000787679998514553,3741.51144856049,39720,33629696,0.0,4777d341440cac7a8743f20d16cf5c69399363ac27bab14137b3768936a4edfe,COMPLETE
reference_python,4,2,2,30,5,0.0005151266658989091,0.0004787266661878675,0.0005358100015049179,7765.080444864757,66832,0,0.0,202f31d58ed641611192b7e29961ae5c345ba4ef8bb9c2163a80e4b4bba8629c,COMPLETE
numpy_cpu,4,2,2,30,5,0.0008879299993471552,0.0008816133330886562,0.0009711366670671851,4504.859620624345,78658,0,0.0,289206c6e156852e3d2a424c785c5d973d12780ce8e8c8fc817c975b87eaefdb,COMPLETE
torch_cuda,4,2,2,30,5,0.0009720266660830627,0.0008081300009507685,0.0010424600002200653,4115.113442431206,45477,33669632,0.0,55b29237e44a97ab0bd44bb19c400b65ea64748d7205e20114d0a6ace5794770,COMPLETE
reference_python,8,2,2,15,5,0.001124626665841788,0.001001266665601482,0.001223746663890779,7113.471735095277,61696,0,0.0,7ec3e1d3b10583ee2ee116ff54b308b145d63ed96bf3159cf13abe49afb218ba,COMPLETE
numpy_cpu,8,2,2,15,5,0.0021564599980289736,0.001988919998984784,0.002368373334563027,3709.783630260743,74426,0,0.0,a3c7d247e944145e44af6e1727487cff3950f749a8a464a7b5886992a625622e,COMPLETE
torch_cuda,8,2,2,15,5,0.0021077200033081073,0.0020481266702214876,0.0023210200015455484,3795.5705631885853,35308,33707008,0.0,983722a95df012a4ea3c767ce63039b62470e3564c058b4bb3944ce2f2730d7a,COMPLETE
reference_python,12,2,2,15,5,0.0016923533364509543,0.0016406466679958005,0.0018254533332462111,7090.717843334822,88392,0,0.0,f0247f9ea2382ce54454536244c91716a8ac6b3ef587e021d7798ca98fbecee1,COMPLETE
numpy_cpu,12,2,2,15,5,0.003369166663226982,0.0031695133346753817,0.0035637733332502344,3561.711603933069,109914,0,0.0,dfe48320e126f2f1cee17a558482cbf0490a384d6dabb67eb9212ecc726a7dff,COMPLETE
torch_cuda,12,2,2,15,5,0.003133153333328664,0.0025344800010013084,0.0033584066666662695,3830.007255741675,43436,33757184,0.0,1a59378881ca139b819e98cc4bbea8879e53e300a636e854d96e51ccb23ba521,COMPLETE
