phase,ratio,requested_restart,requested_seed,restart,seed,step,trajectory_id
adam,0.06842075673391124,0,0,0,0,1,be3cdd5b180c3c3e7e575c25ec383c1b69ed079c18facac780f61d751cffd979
adam,0.08607736173144032,0,0,0,0,2,be3cdd5b180c3c3e7e575c25ec383c1b69ed079c18facac780f61d751cffd979
adam,0.10451518799720061,0,0,0,0,3,be3cdd5b180c3c3e7e575c25ec383c1b69ed079c18facac780f61d751cffd979
adam,0.12376635792621382,0,0,0,0,4,be3cdd5b180c3c3e7e575c25ec383c1b69ed079c18facac780f61d751cffd979
adam,0.14385864314028773,0,0,0,0,5,be3cdd5b180c3c3e7e575c25ec383c1b69ed079c18facac780f61d751cffd979
adam,0.16480238337196473,0,0,0,0,6,be3cdd5b180c3c3e7e575c25ec383c1b69ed079c18facac780f61d751cffd979
adam,0.18659511036994703,0,0,0,0,7,be3cdd5b180c3c3e7e575c25ec383c1b69ed079c18facac780f61d751cffd979
adam,0.20920649528878826,0,0,0,0,8,be3cdd5b180c3c3e7e575c25ec383c1b69ed079c18facac780f61d751cffd979
adam,0.23261049731533975,0,0,0,0,9,be3cdd5b180c3c3e7e575c25ec383c1b69ed079c18facac780f61d751cffd979
adam,0.2568105061234987,0,0,0,0,10,be3cdd5b180c3c3e7e575c25ec383c1b69ed079c18facac780f61d751cffd979
final,0.9779867858028513,0,0,0,0,13,be3cdd5b180c3c3e7e575c25ec383c1b69ed079c18facac780f61d751cffd979
adam,0.2084171092653353,1,0,0,1,1,749ec1dea5425e9f50d810853f42883ec889e83e8b52a1f156b0031775793936
adam,0.25260744399013824,1,0,0,1,2,749ec1dea5425e9f50d810853f42883ec889e83e8b52a1f156b0031775793936
adam,0.3008383729630193,1,0,0,1,3,749ec1dea5425e9f50d810853f42883ec889e83e8b52a1f156b0031775793936
adam,0.35334177181378656,1,0,0,1,4,749ec1dea5425e9f50d810853f42883ec889e83e8b52a1f156b0031775793936
adam,0.409936433062863,1,0,0,1,5,749ec1dea5425e9f50d810853f42883ec889e83e8b52a1f156b0031775793936
adam,0.4697538020896619,1,0,0,1,6,749ec1dea5425e9f50d810853f42883ec889e83e8b52a1f156b0031775793936
adam,0.5315088675607316,1,0,0,1,7,749ec1dea5425e9f50d810853f42883ec889e83e8b52a1f156b0031775793936
adam,0.5935655285324398,1,0,0,1,8,749ec1dea5425e9f50d810853f42883ec889e83e8b52a1f156b0031775793936
adam,0.653602831948187,1,0,0,1,9,749ec1dea5425e9f50d810853f42883ec889e83e8b52a1f156b0031775793936
adam,0.7095315611958808,1,0,0,1,10,749ec1dea5425e9f50d810853f42883ec889e83e8b52a1f156b0031775793936
final,0.9999079954226294,1,0,0,1,13,749ec1dea5425e9f50d810853f42883ec889e83e8b52a1f156b0031775793936
adam,0.15926538421418002,2,0,0,2,1,4614f7bbed1c5dc6a8e6f61634060a1940ac79e541541e32b7c83a1f69797a08
adam,0.19919886851127444,2,0,0,2,2,4614f7bbed1c5dc6a8e6f61634060a1940ac79e541541e32b7c83a1f69797a08
adam,0.24285610744634312,2,0,0,2,3,4614f7bbed1c5dc6a8e6f61634060a1940ac79e541541e32b7c83a1f69797a08
adam,0.29031070325480357,2,0,0,2,4,4614f7bbed1c5dc6a8e6f61634060a1940ac79e541541e32b7c83a1f69797a08
adam,0.3417512967063274,2,0,0,2,5,4614f7bbed1c5dc6a8e6f61634060a1940ac79e541541e32b7c83a1f69797a08
adam,0.3971948853154217,2,0,0,2,6,4614f7bbed1c5dc6a8e6f61634060a1940ac79e541541e32b7c83a1f69797a08
adam,0.45641060653078824,2,0,0,2,7,4614f7bbed1c5dc6a8e6f61634060a1940ac79e541541e32b7c83a1f69797a08
