phase,ratio,restart,seed,step,success
adam,0.06807779339896683,0,0,1,
adam,0.08564589358182353,0,0,2,
adam,0.12314597126839102,0,0,4,
adam,0.1639763010030149,0,0,6,
adam,0.20815783446692895,0,0,8,
adam,0.25552322717190523,0,0,10,
adam,0.3059931711078602,0,0,12,
adam,0.3594041103312431,0,0,14,
adam,0.4150845351665522,0,0,16,
adam,0.4720979025919347,0,0,18,
adam,0.5298545591453685,0,0,20,
adam,0.5876580561249527,0,0,22,
adam,0.6437726940703234,0,0,24,
adam,0.6963442403690281,0,0,26,
adam,0.7448176137192596,0,0,28,
adam,0.7895318471822057,0,0,30,
final,0.9949874371044052,0,0,35,
adam,0.21960668468295863,1,0,1,
adam,0.26575555639576975,1,0,2,
adam,0.36822160003273763,1,0,4,
adam,0.484239033674001,1,0,6,
adam,0.6096888754383402,1,0,8,
adam,0.7323831180424849,1,0,10,
adam,0.8370036009532861,1,0,12,
adam,0.9117732283055622,1,0,14,
adam,0.9566172302125733,1,0,16,
adam,0.9801719017660743,1,0,18,
adam,0.9887893172326429,1,0,20,
adam,0.9889442348690265,1,0,22,
adam,0.9850323876482119,1,0,24,
adam,0.9805107834967373,1,0,26,
adam,0.9773979431198166,1,0,28,
adam,0.9764484517259241,1,0,30,
final,0.9949874371066142,1,0,35,
adam,0.2073724057151316,0,1,1,
adam,0.2513412335745533,0,1,2,
adam,0.35157062374499415,0,1,4,
adam,0.46739913153267987,0,1,6,
adam,0.5905902438707723,0,1,8,
adam,0.7059749894861727,0,1,10,
adam,0.8000395495729389,0,1,12,
adam,0.8660750515662532,0,1,14,
adam,0.9099749221441787,0,1,16,
adam,0.941055653239517,0,1,18,
adam,0.9644270368037762,0,1,20,
adam,0.9809287549218286,0,1,22,
adam,0.9900602090684524,0,1,24,
adam,0.9928738728073192,0,1,26,
adam,0.9918775787599567,0,1,28,
adam,0.9897051984001259,0,1,30,
final,0.994987437106618,0,1,35,
adam,0.3302724056296452,1,1,1,
adam,0.35794504687658324,1,1,2,
adam,0.41670278476430844,1,1,4,
adam,0.4796544627820992,1,1,6,
adam,0.5457120815480987,1,1,8,
adam,0.6129124753487919,1,1,10,
adam,0.6785515464919384,1,1,12,
adam,0.7394179555104458,1,1,14,
adam,0.792969996813972,1,1,16,
adam,0.8382483578485056,1,1,18,
adam,0.8756644622018519,1,1,20,
adam,0.9059891326899017,1,1,22,
adam,0.9298607224582006,1,1,24,
adam,0.9479969158725687,1,1,26,
adam,0.9613443886009707,1,1,28,
adam,0.9709897955939423,1,1,30,
final,0.994987437106421,1,1,35,
differential_evolution,0.9949874371066195,0,0,5,False
