citation_key,key,doi,arxiv,openalex,title,year,authors,venue,families,origin,level_reached,threat_final,threat_L1,threat_L2,access,theorem_location,claims,verdict,cite_in_paper,bib_class,evidence_file,adjudication_note
bachmayr2021approximation,adjudicated:bachmayr2021approximation,,2112.01474,,Approximation by tree tensor networks in high dimensions: Sobolev and compositional functions,2021,"Bachmayr, M.; Nouy, A.; Schneider, R.",,,adjudicated_only,L2,3,,,FULL_TEXT,,R1a;R9,"Lemma 4.9: nodewise accumulation of nested nonexpansive approximations in a tree of compositions (L-infinity, depth-growing non-sharp constants). [title from memory: VERIFY against arXiv:2112.01474]",yes,closest_prior_art,level2_A.csv,
zniyed2026error,errortransportationinsvdbasedtensortrainapproximations,,,https://openalex.org/W7139529380,Error transportation in SVD-based tensor-train approximations,2026,"Zniyed, Y.; Boyer, R.",HAL (Le Centre pour la Communication Scientifique Directe),A,harvest,L2,3,3,3,ABSTRACT_ONLY,"Abstract and HAL metadata only (hal-05554951v2; full text behind HAL bot-challenge, not retrieved): global error decomposition, a priori bounds, chain-case Pythagorean identity, transport-normalized variant",R1a;R3;R9,Truncation error transport through dimension trees with tree/data-dependent constants; exact Pythagorean identity only for chains; opposite of R3. MANUAL: download PDF (HAL bot check). [authors from L2 agent; VERIFY on HAL PDF],yes,closest_prior_art,level2_A.csv,
feshchenko2019optimal,adjudicated:feshchenko2019optimal,,1908.00531,,On the optimal error bound for the first step in the method of cyclic alternating projections,2019,"Feshchenko, I.",,,adjudicated_only,L3,3,,,FULL_TEXT,,R5;R7,Best constants for ||P_n...P_1 - P_0|| under a global Friedrichs-number constraint; exact only n=3; lower bound uses equally spaced planar lines. Global constraint and different error.,yes,technique,theorem_comparisons/L3_feshchenko2019_first_step_cyclic_projections.md,"DISPUTED: L3 reader 1 (full text), L2 reader 3; conservative value recorded; author adjudication requested"
bargetz2017convergence,10.1007/s11075-017-0310-4,10.1007/s11075-017-0310-4,,https://openalex.org/W2598135565,Convergence properties of dynamic string-averaging projection methods in the presence of perturbations,2017,Christian Bargetz; Simeon Reich; Rafał Zalas,Numerical Algorithms,I,harvest+snowball,L2,2,3,2,FULL_TEXT,Theorem 1 (recalled); Theorem 11 (perturbation resilience: ||x_{k+1}-x|| <= ||T_k...T_i x_i - x_i*|| + 2 sum e_k); Theorem 17; Theorem 19 (dynamic string-averaging linear rate under perturbations) (read via arXiv:1703.07803),R1a;R12,Thm 11: perturbation errors accumulate at most linearly (crude first-order analogue of R1a).,yes,numerical_context,level2_B1.csv,
tomamichel2010duality,adjudicated:tomamichel2010duality,10.1109/TIT.2010.2054130,0907.5238,,Duality between smooth min- and max-entropies,2010,,,,adjudicated_only,L3,2,,,FULL_TEXT,,R6,Generalized fidelity / purified distance; lift rho -> rho (+) (1 - tr rho) is our lift; Lemma A known; Lemma C known in absolute-value form.,yes,technique,theorem_comparisons/L3_tomamichel2010_generalized_fidelity.md,
lubich2013dynamical,10.1137/120885723,10.1137/120885723,,https://openalex.org/W2067067855,Dynamical approximation by hierarchical Tucker and tensor-train tensors,2013,Christian Lubich; Thorsten Rohwedder; Reinhold Schneider; Bart Vandereycken,SIAM Journal on Matrix Analysis and Applications,A,snowball,L2,2,3,2,FULL_TEXT,Lemma 4.5 (curvature bounds); Thms 5.1-5.3 (quasi-best DLRA error),R9,Tangent-space projector analysis and quasi-best approximation in HT/TT; application context.,yes,application_context,level2_A.csv,
farouki2002exact,adjudicated:farouki2002exact,10.1023/A:1014737602641,,,Exact Minkowski products of N complex disks,2002,,,,adjudicated_only,L3,2,,,FULL_TEXT,,R7,"Sec. 5: boundary of the N-fold Minkowski power of |z-1/2|<=1/2 lies on t -> w(t)^N (heuristic argument). Covers R7 only for alpha=pi/2 (threat 3 for that sub-case); nothing on |1-z|, arcs, or angle caps. Cite for the geometric picture, not for rigor.",yes,technique,theorem_comparisons/L3_farouki2002_minkowski_products_N_disks.md,sub-case alpha=pi/2: threat 3
dohotaru2009exact,adjudicated:dohotaru2009exact,10.26421/QIC9.5-6-12,,,Exact quantum lower bound for Grover's problem,2009,,,,adjudicated_only,L3,2,,,FULL_TEXT,,R6,"Lemma 4: angle-version hybrid argument (replace one step, add angles).",yes,technique,theorem_comparisons/L3_bennett1997_hybrid_argument_angles.md,
verstraete2006matrix,10.1103/physrevb.73.094423,10.1103/PhysRevB.73.094423,,https://openalex.org/W2066972040,Matrix product states represent ground states faithfully,2006,Frank Verstraete; J. I. Cirac,Physical Review B,A;L,harvest+snowball,L2,2,3,2,FULL_TEXT,arXiv:cond-mat/0505140 Lemma 1 (squared MPS error at most twice the sum of discarded weights),R9,MPS truncation error bounds (sum of discarded weights); application context.,yes,application_context,level2_A.csv,
jeong2023cyclic,adjudicated:jeong2023cyclic,10.52202/075280-2982,,,Nearly optimal bounds for cyclic forgetting,2023,,,,adjudicated_only,L3,2,,,FULL_TEXT_MAIN_NO_SUPPLEMENT,,R5;R7,"Exact numerical-range spiral for products of projections; reduction to C^2 and equal-factor extremality (Lemma 5); different quantity, no defect constraint. Supplement unread.",yes,technique,theorem_comparisons/L3_jeong2023_cyclic_forgetting.md,
