citation_key,key,doi,arxiv,openalex,title,year,authors,venue,families,origin,level_reached,threat_final,threat_L1,threat_L2,access,theorem_location,claims,verdict,cite_in_paper,bib_class,evidence_file,adjudication_note
bachmayr2021approximation,adjudicated:bachmayr2021approximation,,2112.01474,,Approximation by tree tensor networks in high dimensions: Sobolev and compositional functions,2021,"Bachmayr, M.; Nouy, A.; Schneider, R.",,,adjudicated_only,L3,3,,,FULL_TEXT,,H1;H2,"Lemma 4.9 / Prop. 4.7: additive node-wise accumulation along trees of compositions with level-dependent weights C(B,s,level); heterogeneous, non-sharp, placement-dependent (contrast H2). Title verified on arXiv PDF.",yes,closest_prior_art,theorem_comparisons/L3_HET_bachmayr2021_nodewise_composition_accumulation.md,
combettes2015compositions,10.1016/j.jmaa.2014.11.044,10.1016/j.jmaa.2014.11.044,1407.5100,https://openalex.org/W1998428773,Compositions and convex combinations of averaged nonexpansive operators,2015,"Combettes, P. L.; Yamada, I.",Journal of Mathematical Analysis and Applications,O4,harvest+snowball,L3,3,3,3,FULL_TEXT,"arXiv:1407.5100v2: Prop. 2.4 (m=2, alpha=(a1+a2-2a1a2)/(1-a1a2), from Ogura-Yamada 2002 Thm 3(b)); Prop. 2.5 with phi in (2.8) (m factors, heterogeneous alpha_i, symmetric); Remark 2.7 (comparison with max-based constant (2.22))",H1;H2;H4,"Prop. 2.5 (eq. 2.8): heterogeneous composition constant phi(alpha_1..alpha_m), symmetric in the alpha_i, better than max-based constant (Remark 2.7); tight for m=2 only (via HRY20 Cor. 1); different functional and model. Closest analogue of H1-vs-fallback and of H2.",yes,closest_prior_art,theorem_comparisons/L3_HET_combettes2015_heterogeneous_compositions.md,
zniyed2026error,errortransportationinsvdbasedtensortrainapproximations,,,https://openalex.org/W7139529380,Error transportation in SVD-based tensor-train approximations,2026,"Zniyed, Y.; Boyer, R.",HAL (Le Centre pour la Communication Scientifique Directe),O1;O2,harvest,L3,3,3,3,ABSTRACT_ONLY,"HAL hal-05554951 abstract/metadata only (full text behind HAL bot challenge; not bypassed): global error decomposition, a priori bounds, chain-case Pythagorean identity",H1;H2,Transport of local truncation errors through dimension trees; tree/data-dependent conditioning factors; sharp identity only for chains. PROVISIONAL (abstract only); MANUAL full text (HAL bot check not bypassed).,yes,closest_prior_art,theorem_comparisons/L3_HET_zniyed2026_error_transport.md,
grasedyck2010hierarchical,10.1137/090764189,10.1137/090764189,,https://openalex.org/W2038198231,Hierarchical singular value decomposition of tensors,2010,"Grasedyck, L.",SIAM Journal on Matrix Analysis and Applications,O1,snowball,L3,3,3,3,FULL_TEXT,"MPI MiS preprint 27/2009 rev. 2010 (round-1 reading): Lemma 3.8, Lemma 3.10, Theorem 3.11, Remark 3.12, Theorem 3.18 (published numbering may differ)",H1;H2,"Lemma 3.10/Thm 3.11: root-sum-square of heterogeneous node-wise errors in any order (non-sharp, multiset-only dependence); Thm 3.18 uniform allocation eps/sqrt(2d-3). Single-tensor projections, no multilinear maps.",yes,closest_prior_art,theorem_comparisons/L3_HET_grasedyck2010_oseledets2011_nodewise_budgets.md,round-1 threat 1 for R-claims; 3 for heterogeneous claims H1/H2
,10.48550/arxiv.1407.5100,10.48550/arxiv.1407.5100,,https://openalex.org/W2950378366,Compositions and Convex Combinations of Averaged Nonexpansive Operators,2014,Patrick L. Combettes; Isao Yamada,arXiv (Cornell University),O4,harvest,L2,3,3,3,FULL_TEXT,Duplicate (arXiv) of 10.1016/j.jmaa.2014.11.044,H1;H2;H4,Duplicate of Combettes-Yamada 2015; same verdict.,no,,screening/het_level2.csv,
,furmathematikindennaturwissenschaftenleipzighierarchicalsingularvaluedecompositionoftensors,,,,f¨ur Mathematik in den Naturwissenschaften Leipzig Hierarchical Singular Value Decomposition of Tensors,,L. Grasedyck,,O1,harvest,L2,3,3,3,FULL_TEXT,Duplicate record (MPI MiS preprint) of 10.1137/090764189; see that row,H1;H2,Duplicate of Grasedyck 2010; same verdict.,no,,screening/het_level2.csv,
vannieuwenhoven2012new,adjudicated:vannieuwenhoven2012new,10.1137/110836067,,,A new truncation strategy for the higher-order singular value decomposition,2012,"Vannieuwenhoven, N.; Vandebril, R.; Meerbergen, K.",,,adjudicated_only,L2,2,,,FULL_TEXT,,H2,Thm 5.1 (preprint numbering): exact error expression of truncated orthogonal Tucker approximation valid for any permutation of the modes; order-independence of an exact identity (not a worst-case constant). POST_HOC inclusion from round-1 pool reading; not in het pool.,yes,technique,,
ehrlacher2021adaptive,10.1137/19m128689x,10.1137/19M128689X,,https://openalex.org/W2973121594,Adaptive hierarchical subtensor partitioning for tensor compression,2021,"Ehrlacher, V.; Grigori, L.; Lombardi, D.; Song, H.",SIAM Journal on Scientific Computing,O1,snowball,L2,2,2,2,ABSTRACT_ONLY,Abstract only,H2;H3,Global accuracy budget split over subtensors; additive allocation.,no,background,,
ghadiri2023approximately,10.48550/arxiv.2302.03886,10.48550/arxiv.2302.03886,2302.03886,https://openalex.org/W4319792572,Approximately optimal core shapes for tensor decompositions,2023,"Ghadiri, M.; Fahrbach, M.; Fu, G.; Mirrokni, V.",arXiv (Cornell University),O2,harvest,L2,2,2,2,ABSTRACT_ONLY,"Abstract: Tucker packing problem, PTAS; extension to tree tensor networks",H2;H3,"Rank allocation under size budget with additive tail guarantees, extended to tree tensor networks; allocation, not sharp constant.",no,background,,
bunger2019complex,10.1007/s00022-019-0502-2,10.1007/s00022-019-0502-2,,https://openalex.org/W2969601075,Complex disk products and Cartesian ovals,2019,"Bunger, F.; Rump, S. M.",Journal of Geometry,O5,snowball,L1,2,2,,TITLE_ONLY,,H1;H4,Exact complex disk products via Cartesian ovals (title/metadata only). READ before submission.,no,technique,theorem_comparisons/L3_HET_huang2020_two_disk_heterogeneous.md,
