timestamp,database,family,query,request,status,results_total,records_saved,notes
2026-09-14T13:17:06,openalex,A,"""hierarchical Tucker"" truncation error bound",https://api.openalex.org/works?search=%22hierarchical+Tucker%22+truncation+error+bound&per-page=25,OK,356,25,
2026-09-14T13:17:36,openalex-citations,A,round1_seed backward of 10.1137/090764189,W2038198231,OK,25,23,
2026-09-14T13:17:36,openalex-citations,A,round1_seed forward of 10.1137/090764189,W2038198231,OK,531,50,
2026-09-14T13:17:39,openalex-citations,A,round1_seed backward of 10.1007/s40324-018-00184-5,W2797985097,OK,14,14,
2026-09-14T13:17:39,openalex-citations,A,round1_seed forward of 10.1007/s40324-018-00184-5,W2797985097,OK,2,2,
2026-09-14T13:17:43,openalex-citations,A,round1_seed backward of 10.1137/22M1473790,W4321481275,OK,33,25,
2026-09-14T13:17:43,openalex-citations,A,round1_seed forward of 10.1137/22M1473790,W4321481275,OK,23,23,
2026-09-14T13:17:47,openalex-citations,B,round1_seed backward of 10.48550/arXiv.2001.01191,W2996850940,OK,36,34,
2026-09-14T13:17:47,openalex-citations,B,round1_seed forward of 10.48550/arXiv.2001.01191,W2996850940,OK,5,5,
2026-09-14T13:17:50,openalex-citations,I,round1_seed backward of 10.1007/BF02551235,W2041871718,OK,20,20,
2026-09-14T13:17:50,openalex-citations,I,round1_seed forward of 10.1007/BF02551235,W2041871718,OK,99,50,
2026-09-14T13:17:54,openalex-citations,I,round1_seed backward of 10.1006/jmaa.1997.5216,W1972318367,OK,0,0,
2026-09-14T13:17:54,openalex-citations,I,round1_seed forward of 10.1006/jmaa.1997.5216,W1972318367,OK,9,9,
2026-09-14T13:17:56,openalex-citations,I,round1_seed backward of 10.48550/arXiv.1704.00308,W2951843740,OK,14,13,
2026-09-14T13:17:56,openalex-citations,I,round1_seed forward of 10.48550/arXiv.1704.00308,W2951843740,OK,0,0,
2026-09-14T13:17:59,openalex-citations,D,round1_seed backward of 10.48550/arXiv.1902.09788,W6948001508,OK,0,0,
2026-09-14T13:17:59,openalex-citations,D,round1_seed forward of 10.48550/arXiv.1902.09788,W6948001508,OK,0,0,
2026-09-14T13:18:01,openalex-citations,E,round1_seed backward of 10.1109/TIT.2010.2054130,W2166302514,OK,20,17,
2026-09-14T13:18:01,openalex-citations,E,round1_seed forward of 10.1109/TIT.2010.2054130,W2166302514,OK,250,50,
2026-09-14T13:18:05,openalex-citations,K,round1_seed backward of 10.1137/S0097539796300933,W2006290558,OK,18,18,
2026-09-14T13:18:05,openalex-citations,K,round1_seed forward of 10.1137/S0097539796300933,W2006290558,OK,1505,50,
2026-09-14T13:18:09,openalex-citations,K,round1_seed backward of 10.1109/18.796385,W2114473497,OK,20,19,
2026-09-14T13:18:09,openalex-citations,K,round1_seed forward of 10.1109/18.796385,W2114473497,OK,486,50,
2026-09-14T13:18:12,openalex-citations,J,round1_seed backward of 10.1063/1.523304,W2013879218,OK,6,6,
2026-09-14T13:18:12,openalex-citations,J,round1_seed forward of 10.1063/1.523304,W2013879218,OK,2311,50,
2026-09-14T13:18:16,openalex-citations,M,round1_seed backward of 10.1103/PhysRevB.73.094423,W2066972040,OK,38,36,
2026-09-14T13:18:16,openalex-citations,M,round1_seed forward of 10.1103/PhysRevB.73.094423,W2066972040,OK,772,50,
2026-09-14T13:18:23,arxiv,A,"""hierarchical Tucker"" truncation error bound",,ERROR,,0,HTTPError: HTTP Error 429: Too Many Requests
2026-09-14T13:18:25,zbmath,A,"""hierarchical Tucker"" truncation error bound",https://api.zbmath.org/v1/document/_search?search_string=%22hierarchical+Tucker%22+truncation+error+bound&page=0&results_per_page=25,OK,0,0,no results (HTTP 404 from zbMATH)
2026-09-14T13:18:20,openalex-citations,H,round1_seed backward of 10.1145/3372885.3373824,W2981188613,OK,67,64,
2026-09-14T13:18:20,openalex-citations,H,round1_seed forward of 10.1145/3372885.3373824,W2981188613,OK,153,50,
2026-09-14T13:18:40,semanticscholar,A,"""hierarchical Tucker"" truncation error bound",,ERROR,,0,HTTPError: HTTP Error 429: 
2026-09-14T13:18:42,openalex,A,"""tree tensor network"" truncation error",https://api.openalex.org/works?search=%22tree+tensor+network%22+truncation+error&per-page=25,OK,751,25,
2026-09-14T13:18:42,arxiv,A,"""tree tensor network"" truncation error",,SKIPPED,,0,arXiv API rate limited (HTTP 429) earlier in this run; preprints covered via OpenAlex
2026-09-14T13:18:44,zbmath,A,"""tree tensor network"" truncation error",https://api.zbmath.org/v1/document/_search?search_string=%22tree+tensor+network%22+truncation+error&page=0&results_per_page=25,OK,1,1,
2026-09-14T13:18:44,semanticscholar,A,"""tree tensor network"" truncation error",,SKIPPED,,0,rate limited earlier in this run
2026-09-14T13:18:46,openalex,A,hierarchical tensor format orthogonal projection error estimate,https://api.openalex.org/works?search=hierarchical+tensor+format+orthogonal+projection+error+estimate&per-page=25,OK,3300,25,
2026-09-14T13:18:46,arxiv,A,hierarchical tensor format orthogonal projection error estimate,,SKIPPED,,0,arXiv API rate limited (HTTP 429) earlier in this run; preprints covered via OpenAlex
2026-09-14T13:18:47,zbmath,A,hierarchical tensor format orthogonal projection error estimate,https://api.zbmath.org/v1/document/_search?search_string=hierarchical+tensor+format+orthogonal+projection+error+estimate&page=0&results_per_page=25,OK,0,0,no results (HTTP 404 from zbMATH)
2026-09-14T13:18:47,semanticscholar,A,hierarchical tensor format orthogonal projection error estimate,,SKIPPED,,0,rate limited earlier in this run
2026-09-14T13:18:49,openalex,A,"""tensor train"" rounding quasi-optimal error bound",https://api.openalex.org/works?search=%22tensor+train%22+rounding+quasi-optimal+error+bound&per-page=25,OK,134,25,
2026-09-14T13:18:49,arxiv,A,"""tensor train"" rounding quasi-optimal error bound",,SKIPPED,,0,arXiv API rate limited (HTTP 429) earlier in this run; preprints covered via OpenAlex
2026-09-14T13:18:51,zbmath,A,"""tensor train"" rounding quasi-optimal error bound",https://api.zbmath.org/v1/document/_search?search_string=%22tensor+train%22+rounding+quasi-optimal+error+bound&page=0&results_per_page=25,OK,1,1,
2026-09-14T13:18:51,semanticscholar,A,"""tensor train"" rounding quasi-optimal error bound",,SKIPPED,,0,rate limited earlier in this run
2026-09-14T13:18:53,openalex,A,"""dimension tree"" hierarchical SVD approximation error",https://api.openalex.org/works?search=%22dimension+tree%22+hierarchical+SVD+approximation+error&per-page=25,OK,112,25,
2026-09-14T13:18:53,arxiv,A,"""dimension tree"" hierarchical SVD approximation error",,SKIPPED,,0,arXiv API rate limited (HTTP 429) earlier in this run; preprints covered via OpenAlex
2026-09-14T13:18:55,zbmath,A,"""dimension tree"" hierarchical SVD approximation error",https://api.zbmath.org/v1/document/_search?search_string=%22dimension+tree%22+hierarchical+SVD+approximation+error&page=0&results_per_page=25,OK,0,0,no results (HTTP 404 from zbMATH)
2026-09-14T13:18:55,semanticscholar,A,"""dimension tree"" hierarchical SVD approximation error",,SKIPPED,,0,rate limited earlier in this run
