key,score,red_flag,n_families,families,sources,title,year,authors,venue,doi,arxiv,openalex,zbmath,msc,cited_by,abstract
10.1006/jmaa.1997.5202,9,True,1,I,openalex;zbmath,"The Rate of Convergence for the Method of Alternating Projections, II",1997,Frank Deutsch; Hein Hundal,Journal of Mathematical Analysis and Applications,10.1006/jmaa.1997.5202,,https://openalex.org/W2052610157,1005662,65J10,85,"[For Part I see \textit{F. Deutsch}, Parametric optimization and approximation, Conf. Oberwolfach 1983, ISNM 72, 96-107 (1985; Zbl 0575.65049).] The authors give a very useful, easily computable error bound for the method of alternating projections. They also show that any error bound, which only depends on the angles between the various subspaces involved, can never be sharp. A counter-example to a conjecture of \textit{S. Kayalar} and \textit{H. L. Weinert} [Math. Control Signals Syst. 1, No. 1, 43-59 (1988; Zbl 0673.65036)] is also given."
errortransportationinsvdbasedtensortrainapproximations,10,False,1,A,openalex,ERROR TRANSPORTATION IN SVD-BASED TENSOR-TRAIN APPROXIMATIONS,2026,Yassine Zniyed; Remy Boyer,HAL (Le Centre pour la Communication Scientifique Directe),,,https://openalex.org/W7139529380,,,0,"Tensor Train (TT) decompositions provide an efficient framework for representing and approximating high-dimensional tensors while mitigating the curse of dimensionality. Among the most widely used construction methods are SVD-based algorithms, in particular, the standard TT-SVD and its hierarchical generalization, TT-HSVD, which allows for flexible dimension trees and parallel computation. Despite their practical success, a unified algorithm-level understanding of the approximation error of SVD-like schemes for TT, especially for TT-HSVD on general dimension trees, has been lacking. In this work, we develop a comprehensive error analysis for SVD-like algorithms for TT approximation algorithms by explicitly tracking algorithmic matrices and the transport operators that propagate local truncations to the ambient tensor. We derive exact global error decompositions, establish a priori error bounds, and study quasi-optimality guarantees with respect to the best TT approximation of prescribed ranks. Our analysis shows that non-isometric transport operators on general trees induce data-dependent conditioning factors, while in the standard chain case these factors vanish, yielding sharp Pythagorean error identities. Finally, we introduce a transport-normalized variant of the TT-HSVD algorithm that achieves the best possible worstcase quasi-optimality bound within our framework, and we validate the theory through numerical experiments."
10.1016/j.jat.2014.06.002,8,False,2,C;I,openalex;zbmath,The rate of linear convergence of the Douglas–Rachford algorithm for subspaces is the cosine of the Friedrichs angle,2014,Heinz H. Bauschke; Yunier Bello-Cruz; T. T. A. Nghia; Hung M. Phan; Xianfu Wang,Journal of Approximation Theory,10.1016/j.jat.2014.06.002,1309.4709,https://openalex.org/W2963899645,6320360,49M27;90C25;49M37;47H05;47H09;65K05;65K10,111,"The paper deals with a convex feasibility problem, namely to find a point in the intersection of two subspaces. The authors completely analyze the Douglas-Rachford splitting algorithm proposed in [\textit{J. Douglas jun.} and \textit{H. H. Rachford jun.}, Trans. Am. Math. Soc. 82, 421--439 (1956; Zbl 0070.35401)] and prove that the method converges strongly to the projection of the starting point onto the intersection. The paper complements a basic convergence result proposed in [\textit{R. Hesse} and \textit{D. R. Luke}, SIAM J. Optim. 23, No. 4, 2397--2419 (2013; Zbl 1288.65094)] in three ways. First, the authors identify the location of the shadow sequence limit and reveal the Douglas-Rachford method as a best approximation algorithm. Further, they quantify the sharp rate of linear convergence being the cosine of the Friedrichs angle between the subspaces. Finally, they carry out the analysis in a general (possibly infinite-dimensional) Hilbert space. The reader will find here various properties of the Friedrichs angle, the Douglas-Rachford splitting operator, and the reflector. The authors also present some geometric results concerning the lines in the plane (to illustrate the main results), construct an example to illustrate the case when the Friedrichs angle is zero (then one cannot expect linear convergence of the projected iterates of the Douglas-Rachford splitting operator (lack of convergence)), and compare their method to the method of alternating projections."
10.48550/arxiv.2608.16994,8,False,1,A,openalex,Basis-update and Galerkin time integration in canonical matrix-product-state form,2026,Maximilian Fröhlich; Richard M. Milbradt; Martin Eigel; Aaron Sander; Robert Wille; Christian B. Mendl,arXiv (Cornell University),10.48550/arxiv.2608.16994,,https://openalex.org/W7203755620,,,0,"Matrix product state algorithms must enlarge their bond spaces as entanglement grows and compress them to control cost. We formulate basis-update and Galerkin (BUG) time integration as a sequence of canonical MPS sweeps for Hamiltonians represented as matrix product operators. We show when two natural basis updates produce the same trial space and when transporting coefficients between successive bases preserves the represented state. Under these conditions, the existing first-order error bound for uncompressed tree-tensor-network BUG also applies to the alternating-endpoint MPS schedule. We verify the uncompressed implementation against an independent six-site calculation. We then compare BUG with two-site TDVP for 16-site transverse-field Ising and Haldane-Shastry dynamics. At matched timestep and truncation settings, BUG performs fewer local exponential actions and has lower runtime. These settings do not produce equal accuracy. The runtime versus accuracy curves cross for the Ising model and are close for the Haldane-Shastry model. The comparison therefore identifies model-dependent trade-offs rather than a general advantage for either method."
10.1214/aop/1048516531,8,False,1,D,openalex,On extremal distributions and sharp $\bolds{L_p}$-bounds\\ for sums of multilinear forms,2003,Rustam Ibragimov; Шатургун Шарахметов; Víctor Peña,The Annals of Probability,10.1214/aop/1048516531,,https://openalex.org/W2004205467,,,23,"In this paper we present a study of the problem of approximating the expectations of functions of statistics in independent and dependent random variables in terms of the expectations of functions of the component random variables. We present results providing sharp analogues of the Burkholder--Rosenthal inequalities and related estimates for the expectations of functions of sums of dependent nonnegative r.v.'s and conditionally symmetric martingale differences with bounded conditional moments as well as for sums of multilinear forms. Among others, we obtain the following sharp inequalities: $E(\sum_{k=1}^n X_k)^t\le 2 \max (\sum_{k=1}^n EX_k^t, (\sum_{k=1}^n a_k)^t)$ for all nonnegative r.v.'s $X_1, \ldots, X_n$ with $E(X_k\mid X_1, \ldots, X_{k-1})\le a_k$, $EX_k^t<\infty$, $k=1, \ldots, n$, $1#x003C;t#x003C;2$; $E(\sum_{k=1}^n X_k)^t\le E\theta^t(1) \max (\sum_{k=1}^n b_k, (\sum_{k=1}^n a_k^s)^{t/s})$ for all nonnegative r.v.'s $X_1, \ldots, X_n$ with $E(X_k^s\mid X_1, \ldots, X_{k-1})\le a_k^s$, $E(X_k^t\mid X_1, \ldots, X_{k-1})\le b_k$, $k=1, \ldots, n$, $1#x003C;t#x003C;2$, $0#x003C;s\le t-1$ or $t\ge 2$, $0#x003C;s\le 1$, where $\theta(1)$ is a Poisson random variable with parameter 1. As applications, new decoupling inequalities for sums of multilinear forms are presented and sharp Khintchine--Marcinkiewicz--Zygmund inequalities for generalized moving averages are obtained. The results can also be used in the study of a wide class of nonlinear statistics connected to problems of long-range dependence and in an econometric setup, in particular, in stabilization policy problems and in the study of properties of moving average and autocorrelation processes. The results are based on the iteration of a series of key lemmas that capture the essential extremal properties of the moments of the statistics involved."
10.1002/mrm.22365,7,False,2,C;D,openalex,Reconstruction of the orientation distribution function in single‐ and multiple‐shell q‐ball imaging within constant solid angle,2010,Iman Aganj; Christophe Lenglet; Guillermo Sapiro; Essa Yacoub; Kǎmil Uǧurbil; Noam Harel,Magnetic Resonance in Medicine,10.1002/mrm.22365,,https://openalex.org/W2019737946,,,381,"q-Ball imaging is a high-angular-resolution diffusion imaging technique that has been proven very successful in resolving multiple intravoxel fiber orientations in MR images. The standard computation of the orientation distribution function (the probability of diffusion in a given direction) from q-ball data uses linear radial projection, neglecting the change in the volume element along each direction. This results in spherical distributions that are different from the true orientation distribution functions. For instance, they are neither normalized nor as sharp as expected and generally require postprocessing, such as artificial sharpening. In this paper, a new technique is proposed that, by considering the solid angle factor, uses the mathematically correct definition of the orientation distribution function and results in a dimensionless and normalized orientation distribution function expression. Our model is flexible enough so that orientation distribution functions can be estimated either from single q-shell datasets or by exploiting the greater information available from multiple q-shell acquisitions. We show that the latter can be achieved by using a more accurate multiexponential model for the diffusion signal. The improved performance of the proposed method is demonstrated on artificial examples and high-angular-resolution diffusion imaging data acquired on a 7-T magnet."
onthetruncatedmultilinearsingularvaluedecomposition,7,False,1,A,openalex,On the truncated multilinear singular value decomposition,2011,Nick Vannieuwenhoven; Raf Vandebril; Karl Meerbergen,Lirias,,,https://openalex.org/W2522330017,,,8,"In this report, we investigate the truncated multilinear singular value decomposition (MLSVD), as presented in [L. De Lathauwer, B. De Moor and J. Vandewalle, a multilinear singular value decomposition, 2000]. The T-MLSVD comprises a Tucker decomposition [L.R. Tucker, some mathematical notes on three-mode factor analysis, 1966] with orthogonal factor matrices. Truncating the MLSVD results in an approximation, with a prescribed multilinear rank, to a tensor. We present a new error expression for an approximate Tucker decomposition with orthogonal factor matrices. From this expression, new insights are obtained which lead us to propose a novel non-iterative algorithm, the sequentially truncated multilinear singular value decomposition (ST-MLSVD). It has several characteristics which make it a suitable replacement for the standard T-MLSVD. In absence of truncation, the ST-MLSVD computes the MLSVD. The approximation error can be characterized exactly in terms of some discarded singular values. Furthermore, the error bound of the T-MLSVD, proposed by De Lathauwer et al., also holds for the ST-MLSVD. The approximation error of the ST-MLSVD is provably better than the T-MLSVD for some tensors. Unfortunately, it is not always better than the T-MLSVD. Therefore, we demonstrate numerically that the ST-MLSVD approximation often outperforms the T-MLSVD. A convincing example from image denoising is presented. The ST-MLSVD algorithm is much more efficient in computation time than the T-MLSVD algorithm by De Lathauwer et al. It can attain speedups over the latter algorithm, proportional to the order of the tensor, in the case of a rank-1 approximation."
10.1137/21m1415911,7,False,1,A,openalex,Active Learning of Tree Tensor Networks using Optimal Least Squares,2023,Cécile Haberstich; Anthony Nouy; Guillaume Perrin,SIAM/ASA Journal on Uncertainty Quantification,10.1137/21m1415911,,https://openalex.org/W3157892620,,,3,"Abstract. In this paper, we propose new learning algorithms for approximating high-dimensional functions using tree tensor networks in a least-squares setting. Given a dimension tree or architecture of the tensor network, we provide an algorithm that generates a sequence of nested tensor subspaces based on a generalization of principal component analysis for multivariate functions. An optimal least-squares method is used for computing projections onto the generated tensor subspaces, using samples generated from a distribution depending on the previously generated subspaces. We provide an error bound in expectation for the obtained approximation. Practical strategies are proposed for adapting the feature spaces and ranks to achieve a prescribed error. Also, we propose an algorithm that progressively constructs the dimension tree by suitable pairings of variables, that allows further reduction of the number of samples necessary to reach that error. Numerical examples illustrate the performance of the proposed algorithms and show that stable approximations are obtained with a number of samples close to the number of free parameters of the estimated tensor networks."
10.1016/j.jat.2021.105648,7,False,1,C,zbmath,Error bounds for the method of simultaneous projections with infinitely many subspaces,2021,"Reich, Simeon; Zalas, RafaÅ",Journal of Approximation Theory,10.1016/j.jat.2021.105648,2007.10664,,7436514,41A28;41A65,,"Here authors investigate the properties of the simultaneous projection method as applied to countably infinitely many closed and linear subspaces of a real Hilbert space. They establish the optimal error bound for linear convergence of this method, which is expressed in terms of the cosine of the Friedrichs angle computed in an infinite product space. In addition, authors provide estimates and alternative expressions for the above-mentioned number. They also relate this number to the dichotomy theorem and to super-polynomially fast convergence. Polynomial convergence of the simultaneous projection method which takes place for particularly chosen starting points is also discussed."
10.1007/s00025-017-0721-5,7,False,1,I,openalex,Non-optimality of the Greedy Algorithm for Subspace Orderings in the Method of Alternating Projections,2017,O. Darwin; A. Jha; S. Roy; D. Seifert; R. Steele; L. Stigant,Results in Mathematics,10.1007/s00025-017-0721-5,,https://openalex.org/W2694188973,,,1,"The method of alternating projections involves projecting an element of a Hilbert space cyclically onto a collection of closed subspaces. It is known that the resulting sequence always converges in norm and that one can obtain estimates for the rate of convergence in terms of quantities describing the geometric relationship between the subspaces in question, namely their pairwise Friedrichs numbers. We consider the question of how best to order a given collection of subspaces so as to obtain the best estimate on the rate of convergence. We prove, by relating the ordering problem to a variant of the famous Travelling Salesman Problem, that correctness of a natural form of the Greedy Algorithm would imply that $$\mathrm {P}=\mathrm {NP}$$ , before presenting a simple example which shows that, contrary to a claim made in the influential paper (Kayalar and Weinert in Math Control Signals Syst 1(1):43–59, 1988), the result of the Greedy Algorithm is not in general optimal. We go on to establish sharp estimates on the degree to which the result of the Greedy Algorithm can differ from the optimal result. Underlying all of these results is a construction which shows that for any matrix whose entries satisfy certain natural assumptions it is possible to construct a Hilbert space and a collection of closed subspaces such that the pairwise Friedrichs numbers between the subspaces are given precisely by the entries of that matrix."
