key,score,red_flag,n_families,families,sources,title,year,authors,venue,doi,arxiv,openalex,zbmath,msc,cited_by,abstract
errortransportationinsvdbasedtensortrainapproximations,10,False,2,O1;O2,openalex,ERROR TRANSPORTATION IN SVD-BASED TENSOR-TRAIN APPROXIMATIONS,2026,Yassine Zniyed; Remy Boyer,HAL (Le Centre pour la Communication Scientifique Directe),,,https://openalex.org/W7139529380,,,0,"Tensor Train (TT) decompositions provide an efficient framework for representing and approximating high-dimensional tensors while mitigating the curse of dimensionality. Among the most widely used construction methods are SVD-based algorithms, in particular, the standard TT-SVD and its hierarchical generalization, TT-HSVD, which allows for flexible dimension trees and parallel computation. Despite their practical success, a unified algorithm-level understanding of the approximation error of SVD-like schemes for TT, especially for TT-HSVD on general dimension trees, has been lacking. In this work, we develop a comprehensive error analysis for SVD-like algorithms for TT approximation algorithms by explicitly tracking algorithmic matrices and the transport operators that propagate local truncations to the ambient tensor. We derive exact global error decompositions, establish a priori error bounds, and study quasi-optimality guarantees with respect to the best TT approximation of prescribed ranks. Our analysis shows that non-isometric transport operators on general trees induce data-dependent conditioning factors, while in the standard chain case these factors vanish, yielding sharp Pythagorean error identities. Finally, we introduce a transport-normalized variant of the TT-HSVD algorithm that achieves the best possible worstcase quasi-optimality bound within our framework, and we validate the theory through numerical experiments."
certifiedquantumschrdingercontrolviahierarchicaltuckermodels,7,False,1,O1,openalex,Certified Quantum Schrödinger Control via Hierarchical Tucker Models,2026,Nahid Binandeh Dehaghani; Rafal Wisniewski; A. Pedro Aguiar,arXiv (Cornell University),,,https://openalex.org/W7140238261,,,0,"High-dimensional Schrödinger systems arising from tensor-product discretizations suffer from exponential state growth, making direct controller synthesis and real-time closed-loop simulation computationally challenging. Hierarchical Tucker (HT) tensor representations offer scalable low-rank surrogates, but the impact of fixed-rank truncation on closed-loop stability is not well understood. This paper develops a local robustness framework for sampled-data feedback control implemented with fixed-rank HT projections. By viewing each truncation as a bounded, rank-dependent perturbation of the nominal closed loop, and assuming a local phase-invariant contraction certificate together with trajectory-level hierarchical spectral decay, we show that the HT-projected dynamics are practically exponentially stable: trajectories converge to a dimension-independent tube whose radius decreases with the prescribed rank. We further obtain an explicit logarithmic rank-accuracy relation and establish conditions under which controllers designed on the HT-truncated surrogate model retain practical exponential tracking guarantees when deployed on the full system, together with an explicit bound quantifying the resulting surrogate-to-plant mismatch. A compact lattice example demonstrates the applicability of the framework."
10.1137/21m1415911,7,False,1,O1,openalex,Active Learning of Tree Tensor Networks using Optimal Least Squares,2023,Cécile Haberstich; Anthony Nouy; Guillaume Perrin,SIAM/ASA Journal on Uncertainty Quantification,10.1137/21m1415911,,https://openalex.org/W3157892620,,,3,"Abstract. In this paper, we propose new learning algorithms for approximating high-dimensional functions using tree tensor networks in a least-squares setting. Given a dimension tree or architecture of the tensor network, we provide an algorithm that generates a sequence of nested tensor subspaces based on a generalization of principal component analysis for multivariate functions. An optimal least-squares method is used for computing projections onto the generated tensor subspaces, using samples generated from a distribution depending on the previously generated subspaces. We provide an error bound in expectation for the obtained approximation. Practical strategies are proposed for adapting the feature spaces and ranks to achieve a prescribed error. Also, we propose an algorithm that progressively constructs the dimension tree by suitable pairings of variables, that allows further reduction of the number of samples necessary to reach that error. Numerical examples illustrate the performance of the proposed algorithms and show that stable approximations are obtained with a number of samples close to the number of free parameters of the estimated tensor networks."
10.48550/arxiv.2309.15761,6,False,1,O1,openalex,Density matrix representation of hybrid tensor networks for noisy quantum devices,2023,Hiroyuki Harada; Yasunari Suzuki; Bo Yang; Yuuki Tokunaga; Suguru Endo,arXiv (Cornell University),10.48550/arxiv.2309.15761,,https://openalex.org/W4387162531,,,1,"The hybrid tensor network (HTN) method is a general framework allowing for the construction of an effective wavefunction with the combination of classical tensors and quantum tensors, i.e., amplitudes of quantum states. In particular, hybrid tree tensor networks (HTTNs) are very useful for simulating larger systems beyond the available size of the quantum hardware. However, while the realistic quantum states in NISQ hardware are highly likely to be noisy, this framework is formulated for pure states. In this work, as well as discussing the relevant methods, i.e., Deep VQE and entanglement forging under the framework of HTTNs, we investigate the noisy HTN states by introducing the expansion operator for providing the description of the expansion of the size of simulated quantum systems and the noise propagation. This framework enables the general tree HTN states to be explicitly represented and their physicality to be discussed. We also show that the expectation value of a measured observable exponentially vanishes with the number of contracted quantum tensors. Our work will lead to providing the noise-resilient construction of HTN states."
10.3150/21-bej1371,6,False,1,O1,openalex,Learning with tree tensor networks: Complexity estimates and model selection,2022,Bertrand Michel; Anthony Nouy,Bernoulli,10.3150/21-bej1371,,https://openalex.org/W3039249709,,,16,"In this paper, we propose and analyze a model selection method for tree tensor networks in an empirical risk minimization framework and analyze its performance over a wide range of smoothness classes. Tree tensor networks, or tree-based tensor formats, are prominent model classes for the approximation of high-dimensional functions in numerical analysis and data science. They correspond to sum-product neural networks with a sparse connectivity associated with a dimension partition tree T, widths given by a tuple r of tensor ranks, and multilinear activation functions (or units). The approximation power of these model classes has been proved to be optimal (or near to optimal) for classical smoothness classes. However, in an empirical risk minimization framework with a limited number of observations, the dimension tree T and ranks r should be selected carefully to balance estimation and approximation errors. In this paper, we propose a complexity-based model selection strategy à la Barron, Birgé, Massart. Given a family of model classes associated with different trees, ranks, tensor product feature spaces and sparsity patterns for sparse tensor networks, a model is selected by minimizing a penalized empirical risk, with a penalty depending on the complexity of the model class. After deriving bounds of the metric entropy of tree tensor networks with bounded parameters, we deduce a form of the penalty from bounds on suprema of empirical processes. This choice of penalty yields a risk bound for the predictor associated with the selected model. In a least-squares setting, after deriving fast rates of convergence of the risk, we show that the proposed strategy is (near to) minimax adaptive to a wide range of smoothness classes including Sobolev or Besov spaces (with isotropic, anisotropic or mixed dominating smoothness) and analytic functions. We discuss the role of sparsity of the tensor network for obtaining optimal performance in several regimes. In practice, the amplitu"
10.48550/arxiv.1811.04455,6,False,1,O1,openalex,Learning with tree-based tensor formats,2018,Erwan Grelier; Anthony Nouy; Mathilde Chevreuil,arXiv (Cornell University),10.48550/arxiv.1811.04455,,https://openalex.org/W2900176663,,,13,"This paper is concerned with the approximation of high-dimensional functions in a statistical learning setting, by empirical risk minimization over model classes of functions in tree-based tensor format. These are particular classes of rank-structured functions that can be seen as deep neural networks with a sparse architecture related to the tree and multilinear activation functions. For learning in a given model class, we exploit the fact that tree-based tensor formats are multilinear models and recast the problem of risk minimization over a nonlinear set into a succession of learning problems with linear models. Suitable changes of representation yield numerically stable learning problems and allow to exploit sparsity. For high-dimensional problems or when only a small data set is available, the selection of a good model class is a critical issue. For a given tree, the selection of the tuple of tree-based ranks that minimize the risk is a combinatorial problem. Here, we propose a rank adaptation strategy which provides in practice a good convergence of the risk as a function of the model class complexity. Finding a good tree is also a combinatorial problem, which can be related to the choice of a particular sparse architecture for deep neural networks. Here, we propose a stochastic algorithm for minimizing the complexity of the representation of a given function over a class of trees with a given arity, allowing changes in the topology of the tree. This tree optimization algorithm is then included in a learning scheme that successively adapts the tree and the corresponding tree-based ranks. Contrary to classical learning algorithms for nonlinear model classes, the proposed algorithms are numerically stable, reliable, and require only a low level expertise of the user."
10.48550/arxiv.2302.03886,6,False,1,O2,openalex,Approximately Optimal Core Shapes for Tensor Decompositions,2023,Mehrdad Ghadiri; Matthew Fahrbach; Gang Fu; Vahab Mirrokni,arXiv (Cornell University),10.48550/arxiv.2302.03886,,https://openalex.org/W4319792572,,,2,"This work studies the combinatorial optimization problem of finding an optimal core tensor shape, also called multilinear rank, for a size-constrained Tucker decomposition. We give an algorithm with provable approximation guarantees for its reconstruction error via connections to higher-order singular values. Specifically, we introduce a novel Tucker packing problem, which we prove is NP-hard, and give a polynomial-time approximation scheme based on a reduction to the 2-dimensional knapsack problem with a matroid constraint. We also generalize our techniques to tree tensor network decompositions. We implement our algorithm using an integer programming solver, and show that its solution quality is competitive with (and sometimes better than) the greedy algorithm that uses the true Tucker decomposition loss at each step, while also running up to 1000x faster."
10.1103/physrevx.10.041038,6,False,1,O3,openalex,What Limits the Simulation of Quantum Computers?,2020,Yiqing Zhou; E. Miles Stoudenmire; Xavier Waintal,Physical Review X,10.1103/physrevx.10.041038,,https://openalex.org/W3006255022,,,194,"An ultimate goal of quantum computing is to perform calculations beyond the reach of any classical computer.It is therefore imperative that useful quantum computers be very difficult to simulate classically, otherwise classical computers could be used for the applications envisioned for the quantum ones.Perfect quantum computers are unarguably exponentially difficult to simulate: the classical resources required grow exponentially with the number of qubits N or the depth D of the circuit.This difficulty has triggered recent experiments on deep, random circuits that aim to demonstrate that quantum devices may already perform tasks beyond the reach of classical computing.These real quantum computing devices, however, suffer from many sources of decoherence and imprecision which limit the degree of entanglement that can actually be reached to a fraction of its theoretical maximum.They are characterized by an exponentially decaying fidelity F ∼ ð1 -ϵÞ ND with an error rate ϵ per operation as small as ≈1% for current devices with several dozen qubits or even smaller for smaller devices.In this work, we provide new insight on the computing capabilities of real quantum computers by demonstrating that they can be simulated at a tiny fraction of the cost that would be needed for a perfect quantum computer.Our algorithms compress the representations of quantum wave functions using matrix product states, which are able to capture states with low to moderate entanglement very accurately.This compression introduces a finite error rate ϵ so that the algorithms closely mimic the behavior of real quantum computing devices.The computing time of our algorithm increases only linearly with N and D in sharp contrast with exact simulation algorithms.We illustrate our algorithms with simulations of random circuits for qubits connected in both one-and twodimensional lattices.We find that ϵ can be decreased at a polynomial cost in computing power down to a minimum error ϵ ∞ .Getting below ϵ"
10.48550/arxiv.2512.11967,6,False,1,O3,openalex,Holographic Representation of One-Dimensional Many-Body Quantum States via Isometric Tensor Networks,2025,Kaito Kobayashi; Benjamin Sappler; Frank Pollmann,arXiv (Cornell University),10.48550/arxiv.2512.11967,,https://openalex.org/W4417447044,,,0,"Tensor network methods, most prominently matrix product states (MPS), have become fundamental tools in modern quantum many-body physics. While MPS and extensions like the multiscale entanglement renormalization ansatz (MERA) and tree tensor networks (TTN) efficiently capture area-law entanglement and its logarithmic violations, they inherently struggle to represent highly entangled wavefunctions. Specifically, reaching the volume-law regime typically demands exponential resources within these conventional frameworks. Motivated by this challenge, we propose holographic isometric tensor network states (holographic isoTNS) that simulate quantum lattice models in $D$ spatial dimensions via $(D+1)$-dimensional networks of tensors. The additional dimension substantially enlarges the representational manifold, while isometric constraints on each tensor ensure efficient contractibility. Using one-dimensional systems as testbeds, we analyze the properties of holographic isoTNS. First, we show that randomly initialized holographic isoTNS typically display volume-law entanglement at fixed bond dimension. Second, through analytic constructions and variational optimization, we demonstrate that holographic isoTNS can faithfully describe a broad class of highly entangled yet low-complexity states. In particular, the ansatz can represent arbitrary fermionic Gaussian states, Clifford states, extensions of rainbow states, and certain short-time-evolved states under local evolution. Third, to exploit this expressivity in broader contexts, we implement a time-evolving block decimation (TEBD) algorithm on holographic isoTNS. While the method remains efficient and scalable, error accumulation over TEBD sweeps suggests the need for further algorithmic improvement. Overall, holographic isoTNS broaden the scope of tensor-network methods, opening new avenues to study physics in the volume-law regime."
10.1103/ycty-d5f9,5,False,2,O1;O3,openalex,Tree tensor network impurity solver based on Cayley-tree mapping,2026,Bo Zhan; Chen Jia-lin; Zhen Fan; Tao Xiang,Physical review. B./Physical review. B,10.1103/ycty-d5f9,,https://openalex.org/W7155418686,,,0,"We introduce a tree tensor network (TTN) impurity solver that enables highly efficient and accurate real-time simulations of quantum impurity models. By decomposing a noninteracting bath Hamiltonian into a Cayley tree, the method provides a tensor network representation that naturally captures the multiscale entanglement structure intrinsic to impurity-bath systems. This geometry differs from conventional chain-based mappings and yields a substantial reduction of entanglement, allowing accurate ground-state properties and long-time dynamics to be captured at significantly lower bond dimensions. Benchmark calculations for the single-impurity Anderson model demonstrate that the TTN solver achieves markedly enhanced resolution of real-frequency spectral functions, without invoking analytic continuation. This impurity solver provides a balanced, scale-uniform description of impurity physics and offers a versatile approach for real-time dynamical mean-field theory and related applications involving quantum impurity models."
