set,openalex,cites_all,year,title,authors,venue,doi,arxiv,oa_url,abstract
S1_CY15_and_HRY20,W4213422212,CY15;HRY20,2021,Notation and Mathematical Foundations,Qiao‐Li Dong; Yeol Je Cho; Songnian He; Pãnos M. Pardalos; Themistocles M. Rassias,SpringerBriefs in optimization,10.1007/978-3-030-91654-1_2,,,
S1_CY15_and_HRY20,W2916081703,CY15;HRY20;OY02,2021,Scaled relative graphs: nonexpansive operators via 2D Euclidean geometry,Ernest K. Ryu; Robert Hannah; Wotao Yin,Mathematical Programming,10.1007/s10107-021-01639-w,1902.09788,https://arxiv.org/pdf/1902.09788,
S1_CY15_and_HRY20,W3047002475,CY15;HRY20,2021,Fixed Point Strategies in Data Science,Patrick L. Combettes; Jean‐Christophe Pesquet,IEEE Transactions on Signal Processing,10.1109/tsp.2021.3069677,2008.02260,https://arxiv.org/pdf/2008.02260,"The goal of this article is to promote the use of fixed point strategies in data science by showing that they provide a simplifying and unifying framework to model, analyze, and solve a great variety of problems. They are seen to constitute a natural environment to explain the behavior of advanced convex optimization methods as well as of recent nonlinear methods in data science which are formulated in terms of paradigms that go beyond minimization concepts and involve constructs such as Nash equilibria or monotone inclusions. We review the pertinent tools of fixed point theory and describe the main state-of-the-art algorithms for provenly convergent fixed point construction. We also incorporate additional ingredients such as stochasticity, block-implementations, and non-Euclidean metrics, which provide further enhancements. Applications to signal and image processing, machine learning, statistics, neural networks, and inverse problems are discussed."
S2_HRY20_and_RHY22,W3136646910,HRY20;RHY22,2021,Scaled relative graphs for system analysis,Thomas Chaffey; Fulvio Forni; Rodolphe Sepulchre,2021 60th IEEE Conference on Decision and Control (CDC),10.1109/cdc45484.2021.9683092,2103.13971,https://arxiv.org/pdf/2103.13971,"Scaled relative graphs were recently introduced to analyze the convergence of optimization algorithms using two dimensional Euclidean geometry. In this paper, we connect scaled relative graphs to the classical theory of input/output systems. It is shown that the Nyquist diagram of an LTI system on L2is the convex hull of its scaled relative graph under a particular change of coordinates. The SRG may be used to visualize approximations of static nonlinearities such as the describing function and quadratic constraints, allowing system properties to be verified or disproved. Interconnections of systems correspond to graphical manipulations of their SRGs. This is used to provide a simple, graphical proof of the classical incremental passivity theorem."
S2_HRY20_and_RHY22,W4315489145,HRY20;RHY22,2022,Circuit Model Reduction with Scaled Relative Graphs,Thomas Chaffey; Alberto Padoan,2022 IEEE 61st Conference on Decision and Control (CDC),10.1109/cdc51059.2022.9993357,,,"Continued fractions are classical representations of complex objects (for example, real numbers) as sums and inverses of simpler objects (for example, integers). The analogy in linear circuit theory is a chain of series/parallel one-ports: the port behavior is a continued fraction containing the port behaviors of its elements. Truncating a continued fraction is a classical method of approximation, which corresponds to deleting the circuit elements furthest from the port. We apply this idea to chains of series/parallel one-ports composed of arbitrary nonlinear relations. This gives a model reduction method which automatically preserves properties such as incremental positivity. The Scaled Relative Graph (SRG) gives a graphical representation of the original and truncated port behaviors. The difference of these SRGs gives a bound on the approximation error, which is shown to be competitive with existing methods."
S2_HRY20_and_RHY22,W3194304051,HRY20;PAT21;RHY22,2022,A rolled-off passivity theorem,Thomas Chaffey,Systems & Control Letters,10.1016/j.sysconle.2022.105198,2108.07634,https://www.sciencedirect.com/science/article/pii/S0167691122000421/pdf,"Given two nonlinear systems which only violate incremental passivity when their incremental gains are sufficiently small, we give a condition for their negative feedback interconnection to have finite incremental gain, which generalizes the incremental small gain and incremental passivity theorems. The property may be determined graphically by plotting the Scaled Relative Graphs (SRGs) of the systems, which provides engineering significance to the mathematical result."
S2_HRY20_and_RHY22,W3184506730,HRY20;PAT21;RHY22,2023,Graphical Nonlinear System Analysis,Thomas Chaffey; Fulvio Forni; Rodolphe Sepulchre,IEEE Transactions on Automatic Control,10.1109/tac.2023.3234016,2107.11272,https://arxiv.org/pdf/2107.11272,"We use the recently introduced concept of a scaled relative graph (SRG) to develop a graphical analysis of input–output properties of feedback systems. The SRG of a nonlinear operator generalizes the Nyquist diagram of an LTI system. In the spirit of classical control theory, important robustness indicators of nonlinear feedback systems are measured as distances between SRGs."
S2_HRY20_and_RHY22,W4399715761,HRY20;RHY22,2024,Scaled graphs for reset control system analysis,Sebastiaan van den Eijnden; Thomas Chaffey; Tom Oomen; W.P.M.H. Heemels,European Journal of Control,10.1016/j.ejcon.2024.101050,,https://doi.org/10.1016/j.ejcon.2024.101050,"Scaled graphs allow for graphical analysis of nonlinear systems, but are generally difficult to compute. The aim of this paper is to develop a method for approximating the scaled graph of reset controllers. A key ingredient in our approach is the generalized Kalman-Yakubovich-Popov lemma to determine input specific input–output properties of a reset controller in the time domain. By combining the obtained time domain properties to cover the full input space, an over-approximation of the scaled graph is constructed. Using this approximation, we establish a feedback interconnection result and provide connections to classical input–output analysis frameworks. Several examples show the relevance of the results for the analysis and design of reset control systems."
S2_HRY20_and_RHY22,W4406666663,HRY20;OY02;RHY22,2025,Convergence Analyses of Davis–Yin Splitting via Scaled Relative Graphs,Jong Min Lee; Soheun Yi; Ernest K. Ryu,SIAM Journal on Optimization,10.1137/23m1621320,,,"Abstract. Davis–Yin splitting (DYS) has found a wide range of applications in optimization, but its linear rates of convergence have not been studied extensively. The scaled relative graph (SRG) simplifies the convergence analysis of operator splitting methods by mapping the action of the operator to the complex plane, but the prior SRG theory did not fully apply to the DYS operator. In this work, we formalize an SRG theory for the DYS operator and use it to obtain tighter contraction factors."
info_HRY20_and_OY02,W2916081703,CY15;HRY20;OY02,2021,Scaled relative graphs: nonexpansive operators via 2D Euclidean geometry,Ernest K. Ryu; Robert Hannah; Wotao Yin,Mathematical Programming,10.1007/s10107-021-01639-w,1902.09788,https://arxiv.org/pdf/1902.09788,
