set,year,title,authors,venue,doi,arxiv,abstract
S1_CY15_and_HRY20,2020,Fixed Point Strategies in Data Science,P. L. Combettes; J. Pesquet,IEEE Transactions on Signal Processing,10.1109/TSP.2021.3069677,2008.02260,"The goal of this article is to promote the use of fixed point strategies in data science by showing that they provide a simplifying and unifying framework to model, analyze, and solve a great variety of problems. They are seen to constitute a natural environment to explain the behavior of advanced convex optimization methods as well as of recent nonlinear methods in data science which are formulated in terms of paradigms that go beyond minimization concepts and involve constructs such as Nash equilibria or monotone inclusions. We review the pertinent tools of fixed point theory and describe the main state-of-the-art algorithms for provenly convergent fixed point construction. We also incorporate additional ingredients such as stochasticity, block-implementations, and non-Euclidean metrics, which provide further enhancements. Applications to signal and image processing, machine learning, statistics, neural networks, and inverse problems are discussed."
S1_CY15_and_HRY20,2019,Scaled relative graphs: nonexpansive operators via 2D Euclidean geometry,Ernest K. Ryu; Robert Hannah; Wotao Yin,Mathematical programming,10.1007/s10107-021-01639-w,1902.09788,"Many iterative methods in applied mathematics can be thought of as fixed-point iterations, and such algorithms are usually analyzed analytically, with inequalities. In this paper, we present a geometric approach to analyzing contractive and nonexpansive fixed point iterations with a new tool called the scaled relative graph. The SRG provides a correspondence between nonlinear operators and subsets of the 2D plane. Under this framework, a geometric argument in the 2D plane becomes a rigorous proof of convergence."
S2_HRY20_and_RHY22,2021,A Geometric Structure of Acceleration and Its Role in Making Gradients Small Fast,Jongmin Lee; Chanwoo Park; Ernest K. Ryu,Neural Information Processing Systems,,2106.10439,"Since Nesterov's seminal 1983 work, many accelerated first-order optimization methods have been proposed, but their analyses lacks a common unifying structure. In this work, we identify a geometric structure satisfied by a wide range of first-order accelerated methods. Using this geometric insight, we present several novel generalizations of accelerated methods. Most interesting among them is a method that reduces the squared gradient norm with $\mathcal{O}(1/K^4)$ rate in the prox-grad setup, faster than the $\mathcal{O}(1/K^3)$ rates of Nesterov's FGM or Kim and Fessler's FPGM-m."
S2_HRY20_and_RHY22,2021,A rolled-off passivity theorem,Thomas Chaffey,Systems & control letters (Print),10.1016/j.sysconle.2022.105198,2108.07634,"Given two nonlinear systems which only violate incremental passivity when their incremental gains are sufficiently small, we give a condition for their negative feedback interconnection to have finite incremental gain, which generalizes the incremental small gain and incremental passivity theorems. The property may be determined graphically by plotting the Scaled Relative Graphs (SRGs) of the systems, which provides engineering significance to the mathematical result."
S2_HRY20_and_RHY22,2022,Circuit Model Reduction with Scaled Relative Graphs,Thomas Chaffey; Alberto Padoan,IEEE Conference on Decision and Control,10.1109/CDC51059.2022.9993357,2204.01434,"Continued fractions are classical representations of complex objects (for example, real numbers) as sums and inverses of simpler objects (for example, integers). The analogy in linear circuit theory is a chain of series/parallel one-ports: the port behavior is a continued fraction containing the port behaviors of its elements. Truncating a continued fraction is a classical method of approximation, which corresponds to deleting the circuit elements furthest from the port. We apply this idea to chains of series/parallel one-ports composed of arbitrary nonlinear relations. This gives a model reduction method which automatically preserves properties such as incremental positivity. The Scaled Relative Graph (SRG) gives a graphical representation of the original and truncated port behaviors. The difference of these SRGs gives a bound on the approximation error, which is shown to be competitive with existing methods."
S2_HRY20_and_RHY22,2022,Convergence Analyses of Davis-Yin Splitting via Scaled Relative Graphs,Jongmin Lee; Soheun Yi; Ernest K. Ryu,SIAM Journal on Optimization,10.1137/23m1621320,2207.04015,"Davis-Yin splitting (DYS) has found a wide range of applications in optimization, but its linear rates of convergence have not been studied extensively. The scaled relative graph (SRG) simplifies the convergence analysis of operator splitting methods by mapping the action of the operator onto the complex plane, but the prior SRG theory did not fully apply to the DYS operator. In this work, we formalize an SRG theory for the DYS operator and use it to obtain tighter contraction factors."
S2_HRY20_and_RHY22,2022,Convergence analyses of Davis–Yin splitting via scaled relative graphs II: convex optimization problems,Soheun Yi; Ernest K. Ryu,Optimization,10.1080/02331934.2025.2544700,2211.15604,"The prior work of [SIAM J. Optim., 2025] used scaled relative graphs (SRG) to analyze the convergence of Davis–Yin splitting (DYS) iterations on monotone inclusion problems. In this work, we use this machinery to analyze DYS iterations on convex optimization problems and obtain state-of-the-art linear convergence rates."
S2_HRY20_and_RHY22,2021,Graphical Nonlinear System Analysis,Thomas Chaffey; Fulvio Forni; R. Sepulchre,IEEE Transactions on Automatic Control,10.1109/TAC.2023.3234016,2107.11272,"We use the recently introduced concept of a scaled relative graph (SRG) to develop a graphical analysis of input–output properties of feedback systems. The SRG of a nonlinear operator generalizes the Nyquist diagram of an LTI system. In the spirit of classical control theory, important robustness indicators of nonlinear feedback systems are measured as distances between SRGs."
S2_HRY20_and_RHY22,2021,Improved Analysis and Rates for Variance Reduction under Without-replacement Sampling Orders,Xinmeng Huang; K. Yuan; Xianghui Mao; Wotao Yin,,,2104.12112,"When applying a stochastic algorithm, one must choose an order to draw samples. The practical choices are without-replacement sampling orders, which are empirically faster and more cache-friendly than uniform-iid-sampling but often have inferior theoretical guarantees. Without-replacement sampling is well understood only for SGD without variance reduction. In this paper, we will improve the convergence analysis and rates of variance reduction under without-replacement sampling orders for composite finite-sum minimization. Our results are in two-folds. First, we develop a damped variant of Finito called Prox-DFinito and establish its convergence rates with random reshuffling, cyclic sampling, and shuffling-once, under both convex and strongly convex scenarios. These rates match full-batch gradient descent and are state-of-the-art compared to the existing results for without-replacement sampling with variance-reduction. Second, our analysis can gauge how the cyclic order will influence the rate of cyclic sampling and, thus, allows us to derive the optimal fixed ordering. In the highly data-heterogeneous scenario, Prox-DFinito with optimal cyclic sampling can attain a sample-size-independent convergence rate, which, to our knowledge, is the first result that can match with uniform-iid-sampling with variance reduction. We also propose a practical method to discover the optimal cyclic ordering numerically."
S2_HRY20_and_RHY22,2021,On the Comparison between Cyclic Sampling and Random Reshuffling,Xinmeng Huang; K. Yuan; Xianghui Mao; Wotao Yin,arXiv.org,,,
