openalex,cites,year,title,authors,venue,doi,arxiv,type,cited_by,oa_url,abstract
W2916081703,CY15;HRY20;OY02,2021,Scaled relative graphs: nonexpansive operators via 2D Euclidean geometry,Ernest K. Ryu; Robert Hannah; Wotao Yin,Mathematical Programming,10.1007/s10107-021-01639-w,1902.09788,article,19,https://arxiv.org/pdf/1902.09788,
W3194304051,HRY20;PAT21;RHY22,2022,A rolled-off passivity theorem,Thomas Chaffey,Systems & Control Letters,10.1016/j.sysconle.2022.105198,2108.07634,article,1,https://www.sciencedirect.com/science/article/pii/S0167691122000421/pdf,"Given two nonlinear systems which only violate incremental passivity when their incremental gains are sufficiently small, we give a condition for their negative feedback interconnection to have finite incremental gain, which generalizes the incremental small gain and incremental passivity theorems. The property may be determined graphically by plotting the Scaled Relative Graphs (SRGs) of the systems, which provides engineering significance to the mathematical result."
W3184506730,HRY20;PAT21;RHY22,2023,Graphical Nonlinear System Analysis,Thomas Chaffey; Fulvio Forni; Rodolphe Sepulchre,IEEE Transactions on Automatic Control,10.1109/tac.2023.3234016,2107.11272,article,36,https://arxiv.org/pdf/2107.11272,"We use the recently introduced concept of a scaled relative graph (SRG) to develop a graphical analysis of input–output properties of feedback systems. The SRG of a nonlinear operator generalizes the Nyquist diagram of an LTI system. In the spirit of classical control theory, important robustness indicators of nonlinear feedback systems are measured as distances between SRGs."
W4406666663,HRY20;OY02;RHY22,2025,Convergence Analyses of Davis–Yin Splitting via Scaled Relative Graphs,Jong Min Lee; Soheun Yi; Ernest K. Ryu,SIAM Journal on Optimization,10.1137/23m1621320,,article,5,,"Abstract. Davis–Yin splitting (DYS) has found a wide range of applications in optimization, but its linear rates of convergence have not been studied extensively. The scaled relative graph (SRG) simplifies the convergence analysis of operator splitting methods by mapping the action of the operator to the complex plane, but the prior SRG theory did not fully apply to the DYS operator. In this work, we formalize an SRG theory for the DYS operator and use it to obtain tighter contraction factors."
W2175165459,CY15;OY02,2015,Preconditioning of a Generalized Forward-Backward Splitting and Application to Optimization on Graphs,Hugo Raguet; Loïc Landrieu,SIAM Journal on Imaging Sciences,10.1137/15m1018253,,article,40,https://hal.science/hal-01144566v3/file/PGFB-preprint.pdf,"We present a preconditioning of a generalized forward-backward splitting algorithm for finding a zero of a sum of maximally monotone operators $\sum_{i=1}^{n} A_i + B$ with $B$ cocoercive, involving only the computation of $B$ and of the resolvent of each $A_i$ separately. This allows us in particular to minimize functionals of the form $\sum_{i=1}^n g_i + f$ with $f$ smooth, using only the gradient of $f$ and the proximity operator of each $g_i$ separately. By adapting the underlying metric, such preconditioning can serve two practical purposes: first, it might accelerate the convergence or, second, it might simplify the computation of the resolvent of $A_i$ for some $i$. In addition, in many cases of interest, our preconditioning strategy allows the economy of storage and computation concerning some auxiliary variables. In particular, we show how this approach can handle large-scale, nonsmooth, convex optimization problems structured on graphs, which arise in many image processing or learning applications, and that it compares favorably to alternatives in the literature."
W2594914074,CY15;OY02,2017,Nonexpansiveness of a linearized augmented Lagrangian operator for hierarchical convex optimization,Masao Yamagishi; Isao Yamada,Inverse Problems,10.1088/1361-6420/33/4/044003,,article,18,https://iopscience.iop.org/article/10.1088/1361-6420/33/4/044003/pdf,"Abstract Hierarchical convex optimization concerns two-stage optimization problems: the first stage problem is a convex optimization; the second stage problem is the minimization of a convex function over the solution set of the first stage problem. For the hierarchical convex optimization, the hybrid steepest descent method (HSDM) can be applied, where the solution set of the first stage problem must be expressed as the fixed point set of a certain nonexpansive operator. In this paper, we propose a nonexpansive operator that yields a computationally efficient update when it is plugged into the HSDM. The proposed operator is inspired by the update of the linearized augmented Lagrangian method. It is applicable to characterize the solution set of recent sophisticated convex optimization problems found in the context of inverse problems, where the sum of multiple proximable convex functions involving linear operators must be minimized to incorporate preferable properties into the minimizers. For such a problem formulation, there has not yet been reported any nonexpansive operator that yields an update free from the inversions of linear operators in cases where it is utilized in the HSDM. Unlike previously known nonexpansive operators, the proposed operator yields an inversion-free update in such cases. As an application of the proposed operator plugged into the HSDM, we also present, in the context of the so-called superiorization, an algorithmic solution to a convex optimization problem over the generalized convex feasible set where the intersection of the hard constraints is not necessarily simple."
W2704581149,CY15;OY02,2017,Accelerating the hybrid steepest descent method for affinely constrained convex composite minimization tasks,Konstantinos Slavakis; Isao Yamada; Shunsuke Ono,,10.1109/icassp.2017.7953050,,conference-paper,0,,"The hybrid steepest descent method (HSDM) [Yamada, '01] was introduced as a low-computational complexity tool for solving convex variational-inequality problems over the fixed-point set of non-expansive mappings in Hilbert spaces. Motivated by results on decentralized optimization, this study introduces an HSDM variant that extends, for the first time, the applicability of HSDM to affinely constrained composite convex minimization tasks over Euclidean spaces; the same class of problems solved by the popular alternating direction method of multipliers and primal-dual methods. The proposed scheme shows desirable attributes for large-scale optimization tasks that have not been met, partly or all-together, in any other member of the HSDM family of algorithms: tunable computational complexity, a step-size parameter which stays constant over recursions, promoting thus acceleration of convergence, no boundedness constraints on iterates and/or gradients, and the ability to deal with convex losses which comprise a smooth and a non-smooth part, where the smooth part is only required to have a Lipschitz-continuous derivative. Convergence guarantees and rates are established. Numerical tests on synthetic data and on colored-image inpainting underline the rich potential of the proposed scheme for large-scale optimization tasks."
W2964137109,CY15;OY02,2018,Local linear convergence analysis of Primal–Dual splitting methods,Jingwei Liang; Jalal Fadili; Gabriel Peyré,Optimization,10.1080/02331934.2018.1426584,,article,20,,"In this paper, we study the local linear convergence properties of a versatile class of Primal–Dual splitting methods for minimizing composite non-smooth convex optimization problems. Under the assumption that the non-smooth components of the problem are partly smooth relative to smooth manifolds, we present a unified local convergence analysis framework for these methods. More precisely, in our framework, we first show that (i) the sequences generated by Primal–Dual splitting methods identify a pair of primal and dual smooth manifolds in a finite number of iterations, and then (ii) enter a local linear convergence regime, which is characterized based on the structure of the underlying active smooth manifolds. We also show how our results for Primal–Dual splitting can be specialized to cover existing ones on Forward–Backward splitting and Douglas–Rachford splitting/ADMM (alternating direction methods of multipliers). Moreover, based on these obtained local convergence analysis result, several practical acceleration techniques are discussed. To exemplify the usefulness of the obtained result, we consider several concrete numerical experiments arising from fields including signal/image processing, inverse problems and machine learning. The demonstration not only verifies the local linear convergence behaviour of Primal–Dual splitting methods, but also the insights on how to accelerate them in practice."
W2963289483,CY15;OY02,2018,Fejér-monotone hybrid steepest descent method for affinely constrained and composite convex minimization tasks,Konstantinos Slavakis; Isao Yamada,Optimization,10.1080/02331934.2018.1505885,,article,17,,"This paper introduces the Fejér-monotone hybrid steepest descent method (FM-HSDM), a new member to the HSDM family of algorithms, for solving affinely constrained minimization tasks in real Hilbert spaces, where convex smooth and non-smooth losses compose the objective function. FM-HSDM offers sequences of estimates which converge weakly and, under certain hypotheses, strongly to solutions of the task at hand. In contrast to its HSDM's precursors, FM-HSDM enjoys Fejér monotonicity, the step-size parameter stays constant across iterations to promote convergence speed-ups of the sequence of estimates to a minimizer, while only Lipschitzian continuity, and not strong monotonicity, of the derivative of the smooth-loss function is needed to ensure convergence. FM-HSDM utilizes fixed-point theory, variational inequalities and affine-nonexpansive mappings to accommodate affine constraints in a more versatile way than state-of-the-art primal–dual techniques and the alternating direction method of multipliers do. Recursions can be tuned to score low computational footprints, well-suited for large-scale optimization tasks, without compromising convergence guarantees. Results on the rate of convergence to an optimal point are also presented. Finally, numerical tests on synthetic data are used to validate the theoretical findings."
W2509744852,CY15;OY02,2018,Inducing strong convergence into the asymptotic behaviour of proximal splitting algorithms in Hilbert spaces,Radu Ioan Boţ; Ernö Robert Csetnek; Dennis Meier,Optimization methods & software,10.1080/10556788.2018.1457151,1609.01627,article,0,https://www.tandfonline.com/doi/pdf/10.1080/10556788.2018.1457151?needAccess=true,"Proximal splitting algorithms for monotone inclusions (and convex optimization problems) in Hilbert spaces share the common feature to guarantee for the generated sequences in general weak convergence to a solution. In order to achieve strong convergence, one usually needs to impose more restrictive properties for the involved operators, like strong monotonicity (respectively, strong convexity for optimization problems). In this paper, we propose a modified Krasnosel'skiĭ-Mann algorithm in connection with the determination of a fixed point of a nonexpansive mapping and show strong convergence of the iteratively generated sequence to the minimal norm solution of the problem. Relying on this, we derive a forward-backward and a Douglas-Rachford algorithm, both endowed with Tikhonov regularization terms, which generate iterates that strongly converge to the minimal norm solution of the set of zeros of the sum of two maximally monotone operators. Furthermore, we formulate strong convergent primal-dual algorithms of forward-backward and Douglas-Rachford-type for highly structured monotone inclusion problems involving parallel-sums and compositions with linear operators. The resulting iterative schemes are particularized to the solving of convex minimization problems. The theoretical results are illustrated by numerical experiments on the split feasibility problem in infinite dimensional spaces."
