key,cy_score,top10,origins,year,title,authors,venue,doi,arxiv,openalex,abstract
10.1080/01630563.2023.2270308,4,False,fwd:OY02,2023,How Averaged is the Composition of Two Linear Projections?,Heinz H. Bauschke; Theo Bendit; Walaa M. Moursi,Numerical Functional Analysis and Optimization,10.1080/01630563.2023.2270308,,W4388008257,"Projection operators are fundamental algorithmic operators in Analysis and Optimization. It is well known that these operators are firmly nonexpansive; however, their composition is generally only averaged and no longer firmly nonexpansive. In this note, we introduce the modulus of averagedness and provide an exact result for the composition of two linear projection operators. As a consequence, we deduce that the Ogura–Yamada bound for the modulus of the composition is sharp."
10.1016/j.jmaa.2020.124211,4,True,fwd:CY15;fwd:OY02;kw:openalex:CY1;kw:openalex:CY2;kw:openalex:CY3,2020,Tight coefficients of averaged operators via scaled relative graph,Xinmeng Huang; Ernest K. Ryu; Wotao Yin,Journal of Mathematical Analysis and Applications,10.1016/j.jmaa.2020.124211,1912.01593,W3024233472,"Many iterative methods in optimization are fixed-point iterations with averaged operators. As such methods converge at an $\mathcal{O}(1/k)$ rate with the constant determined by the averagedness coefficient, establishing small averagedness coefficients for operators is of broad interest. In this paper, we show that the averagedness coefficients of the composition of averaged operators by Ogura and Yamada (Numer Func Anal Opt 32(1--2):113--137, 2002) and the three-operator splitting by Davis and Yin (Set-Valued Var Anal 25(4):829--858, 2017) are tight. The analysis relies on the scaled relative graph, a geometric tool recently proposed by Ryu, Hannah, and Yin (arXiv:1902.09788, 2019)."
10.1007/s11075-017-0310-4,3,False,fwd:CY15,2017,Convergence properties of dynamic string-averaging projection methods in the presence of perturbations,Christian Bargetz; Simeon Reich; Rafał Zalas,Numerical Algorithms,10.1007/s11075-017-0310-4,1703.07803,W2598135565,"Assuming that the absence of perturbations guarantees weak or strong convergence to a common fixed point, we study the behavior of perturbed products of an infinite family of nonexpansive operators. Our main result indicates that the convergence rate of unperturbed products is essentially preserved in the presence of perturbations. This, in particular, applies to the linear convergence rate of dynamic string-averaging projection methods, which we establish here as well. Moreover, we show how this result can be applied to the superiorization methodology."
10.1023/a:1014737602641,3,True,kw:openalex:CY3,2002,Exact Minkowski Products of N Complex Disks,Rida T. Farouki; Helmut Pottmann,Reliable Computing,10.1023/a:1014737602641,,https://openalex.org/W422477,
10.1186/s13663-021-00706-3,3,False,kw:openalex:CY1,2021,Feasibility-based fixed point networks,Howard Heaton; Samy Wu Fung; Aviv Gibali; Wotao Yin,Fixed Point Theory and Algorithms for Sciences and Engineering,10.1186/s13663-021-00706-3,,https://openalex.org/W3214861648,"Abstract Inverse problems consist of recovering a signal from a collection of noisy measurements. These problems can often be cast as feasibility problems; however, additional regularization is typically necessary to ensure accurate and stable recovery with respect to data perturbations. Hand-chosen analytic regularization can yield desirable theoretical guarantees, but such approaches have limited effectiveness recovering signals due to their inability to leverage large amounts of available data. To this end, this work fuses data-driven regularization and convex feasibility in a theoretically sound manner. This is accomplished using feasibility-based fixed point networks (F-FPNs). Each F-FPN defines a collection of nonexpansive operators, each of which is the composition of a projection-based operator and a data-driven regularization operator. Fixed point iteration is used to compute fixed points of these operators, and weights of the operators are tuned so that the fixed points closely represent available data. Numerical examples demonstrate performance increases by F-FPNs when compared to standard TV-based recovery methods for CT reconstruction and a comparable neural network based on algorithm unrolling. Codes are available on Github: github.com/howardheaton/feasibility_fixed_point_networks ."
10.1007/s00025-021-01481-8,3,False,fwd:CY15,2021,On $\alpha$-Firmly Nonexpansive Operators in $r$-Uniformly Convex Spaces,"B\""erd\""ellima, Arian; Gabriele Steidl",arXiv (Cornell University),10.1007/s00025-021-01481-8,2104.05304,W3188077458,"We introduce the class of $\alpha$-firmly nonexpansive and quasi $\alpha$-firmly nonexpansive operators on $r$-uniformly convex Banach spaces. This extends the existing notion from Hilbert spaces, where $\alpha$-firmly nonexpansive operators coincide with so-called $\alpha$-averaged operators. For our more general setting, we show that $\alpha$-averaged operators form a subset of $\alpha$-firmly nonexpansive operators. We develop some basic calculus rules for (quasi) $\alpha$-firmly nonexpansive operators. In particular, we show that their compositions and convex combinations are again (quasi) $\alpha$-firmly nonexpansive. Moreover, we will see that quasi $\alpha$-firmly nonexpansive operators enjoy the asymptotic regularity property. Then, based on Browder's demiclosedness principle, we prove for $r$-uniformly convex Banach spaces that the weak cluster points of the iterates $x_{n+1}:=Tx_{n}$ belong to the fixed point set $\text{Fix} T$ whenever the operator $T$ is nonexpansive and quasi $\alpha$-firmly. If additionally the space has a Fr\'echet differentiable norm or satisfies Opial's property then these iterates converge weakly to some element in $\text{Fix} T$. Further, the projections $P_{\text{Fix} T}x_n$ converge strongly to this weak limit point. Finally, we give three illustrative examples, where our theory can be applied, namely from infinite dimensional neural networks, semigroup theory, and contractive projections in $L_p$, $p \in (1,\infty) \backslash \{2\}$ spaces on probability measure spaces."
10.48550/arxiv.2010.05726,3,False,fwd:CY15,2020,On a notion of averaged operators in CAT(0) spaces,Arian Bërdëllima,arXiv (Cornell University),10.48550/arxiv.2010.05726,2010.05726,W3092269740,Averaged operators have played an important role in fixed point theory in Hilbert spaces. They emerged as a necessity to obtain solutions to fixed point problems where the underlying operator is not contractive and thus renders Banach fixed point theorem inaccessible. We introduce a notion of averaged operator in the broader class of $\text{CAT}(0)$ spaces. We call these operators $α$-firmly nonexpansive and develop basic calculus rules for the quasi $α$-firmly nonexpansive operators. In particular compositions of quasi $α$-firmly nonexpansive operators is quasi $α$-firmly nonexpansive and convex combination of a finite family of quasi $α$-firmly nonexpansive operators is again quasi $α$-firmly nonexpansive. For a nonexpansive operator $T:X\to X$ acting on a $\text{CAT}(0)$ space $X$ we show that the iterates $x_n:=Tx_{n-1}$ converge weakly to some element in the fixed point set $\text{Fix} T$ whenever $T$ is quasi $α$-firmly nonexpansive. Moreover under a certain regularity condition the projections $P_{\text{Fix} T}x_n$ converge strongly to this weak limit. Our theory is illustrated with two classical examples of cyclic and averaged projections.
10.1186/s13663-021-00709-0,3,True,fwd:CY15;fwd:OY02;kw:openalex:CY1;kw:openalex:CY4,2021,On compositions of special cases of Lipschitz continuous operators,Pontus Giselsson; Walaa M. Moursi,Fixed Point Theory and Algorithms for Sciences and Engineering,10.1186/s13663-021-00709-0,,W2998099872,"Many iterative optimization algorithms involve compositions of special cases of Lipschitz continuous operators, namely firmly nonexpansive, averaged, and nonexpansive operators. The structure and properties of the compositions are of particular importance in the proofs of convergence of such algorithms. In this paper, we systematically study the compositions of further special cases of Lipschitz continuous operators. Applications of our results include compositions of scaled conically nonexpansive mappings, as well as the Douglas-Rachford and forward-backward operators, when applied to solve certain structured monotone inclusion and optimization problems. Several examples illustrate and tighten our conclusions."
10.2140/apde.2013.6.893,3,True,kw:openalex:CY1,2013,Restriction and spectral multiplier theorems on asymptotically conic manifolds,Colin Guillarmou; Andrew Hassell; Adam Sikora,Analysis & PDE,10.2140/apde.2013.6.893,,https://openalex.org/W1986824172,"The classical Stein-Tomas restriction theorem is equivalent to the fact that the spectral measure dE(λ) of the square root of the Laplacian on ‫ޒ‬ n is bounded fromwhere p is the conjugate exponent to p, with operator norm scaling as λ n(1/ p-1/ p )-1 .We prove a geometric, or variable coefficient, generalization in which the Laplacian on ‫ޒ‬ n is replaced by the Laplacian, plus a suitable potential, on a nontrapping asymptotically conic manifold.It is closely related to Sogge's discrete L 2 restriction theorem, which is an O(λ n(1/ p-1/ p )-1 ) estimate on the L p → L p operator norm of the spectral projection for a spectral window of fixed length.From this, we deduce spectral multiplier estimates for these operators, including Bochner-Riesz summability results, which are sharp for p in the range above.The paper divides naturally into two parts.In the first part, we show at an abstract level that restriction estimates imply spectral multiplier estimates, and are implied by certain pointwise bounds on the Schwartz kernel of λ-derivatives of the spectral measure.In the second part, we prove such pointwise estimates for the spectral measure of the square root of Laplace-type operators on asymptotically conic manifolds.These are valid for all λ > 0 if the asymptotically conic manifold is nontrapping, and for small λ in general.We also observe that Sogge's estimate on spectral projections is valid for any complete manifold with C ∞ bounded geometry, and in particular for asymptotically conic manifolds (trapping or not), while by contrast, the operator norm on dE(λ) may blow up exponentially as λ → ∞ when trapping is present."
10.13001/1081-3810.3910,3,True,kw:openalex:CY3,2019,The determinant of a complex matrix and Gershgorin circles,Florian Bünger; Siegfried M. Rump,Electronic Journal of Linear Algebra,10.13001/1081-3810.3910,,https://openalex.org/W2945447097,"Each connected component of the Gershgorin circles of a matrix contains exactly as many eigenvalues as circles are involved. Thus, the Minkowski (set) product of all circles contains the determinant if all circles are disjoint. In [S.M. Rump. Bounds for the determinant by Gershgorin circles. Linear Algebra and its Applications, 563:215--219, 2019.], it was proved that statement to be true for real matrices whose circles need not to be disjoint. Moreover, it was asked whether the statement remains true for complex matrices. This note answers that in the affirmative. As a by-product, a parameterization of the outer loop of a Cartesian oval without case distinction is derived."
