key,screen_tier,score,red_flag,origin,families,sources,via,title,year,authors,venue,doi,arxiv,openalex,zbmath,msc,cited_by,abstract,seen_in_round1,het_score
errortransportationinsvdbasedtensortrainapproximations,T1,10,False,harvest,O1;O2,openalex,,ERROR TRANSPORTATION IN SVD-BASED TENSOR-TRAIN APPROXIMATIONS,2026,Yassine Zniyed; Remy Boyer,HAL (Le Centre pour la Communication Scientifique Directe),,,https://openalex.org/W7139529380,,,0,"Tensor Train (TT) decompositions provide an efficient framework for representing and approximating high-dimensional tensors while mitigating the curse of dimensionality. Among the most widely used construction methods are SVD-based algorithms, in particular, the standard TT-SVD and its hierarchical generalization, TT-HSVD, which allows for flexible dimension trees and parallel computation. Despite their practical success, a unified algorithm-level understanding of the approximation error of SVD-like schemes for TT, especially for TT-HSVD on general dimension trees, has been lacking. In this work, we develop a comprehensive error analysis for SVD-like algorithms for TT approximation algorithms by explicitly tracking algorithmic matrices and the transport operators that propagate local truncations to the ambient tensor. We derive exact global error decompositions, establish a priori error bounds, and study quasi-optimality guarantees with respect to the best TT approximation of prescribed ranks. Our analysis shows that non-isometric transport operators on general trees induce data-dependent conditioning factors, while in the standard chain case these factors vanish, yielding sharp Py",True,1
certifiedquantumschrdingercontrolviahierarchicaltuckermodels,T1,7,False,harvest,O1,openalex,,Certified Quantum Schrödinger Control via Hierarchical Tucker Models,2026,Nahid Binandeh Dehaghani; Rafal Wisniewski; A. Pedro Aguiar,arXiv (Cornell University),,,https://openalex.org/W7140238261,,,0,"High-dimensional Schrödinger systems arising from tensor-product discretizations suffer from exponential state growth, making direct controller synthesis and real-time closed-loop simulation computationally challenging. Hierarchical Tucker (HT) tensor representations offer scalable low-rank surrogates, but the impact of fixed-rank truncation on closed-loop stability is not well understood. This paper develops a local robustness framework for sampled-data feedback control implemented with fixed-rank HT projections. By viewing each truncation as a bounded, rank-dependent perturbation of the nominal closed loop, and assuming a local phase-invariant contraction certificate together with trajectory-level hierarchical spectral decay, we show that the HT-projected dynamics are practically exponentially stable: trajectories converge to a dimension-independent tube whose radius decreases with the prescribed rank. We further obtain an explicit logarithmic rank-accuracy relation and establish conditions under which controllers designed on the HT-truncated surrogate model retain practical exponential tracking guarantees when deployed on the full system, together with an explicit bound quantify",False,0
10.1137/21m1415911,T1,7,False,harvest,O1,openalex,,Active Learning of Tree Tensor Networks using Optimal Least Squares,2023,Cécile Haberstich; Anthony Nouy; Guillaume Perrin,SIAM/ASA Journal on Uncertainty Quantification,10.1137/21m1415911,,https://openalex.org/W3157892620,,,3,"Abstract. In this paper, we propose new learning algorithms for approximating high-dimensional functions using tree tensor networks in a least-squares setting. Given a dimension tree or architecture of the tensor network, we provide an algorithm that generates a sequence of nested tensor subspaces based on a generalization of principal component analysis for multivariate functions. An optimal least-squares method is used for computing projections onto the generated tensor subspaces, using samples generated from a distribution depending on the previously generated subspaces. We provide an error bound in expectation for the obtained approximation. Practical strategies are proposed for adapting the feature spaces and ranks to achieve a prescribed error. Also, we propose an algorithm that progressively constructs the dimension tree by suitable pairings of variables, that allows further reduction of the number of samples necessary to reach that error. Numerical examples illustrate the performance of the proposed algorithms and show that stable approximations are obtained with a number of samples close to the number of free parameters of the estimated tensor networks.",True,0
10.1103/physrevb.107.214203,T1,7,False,snowball,O3,openalex-citations,forward:10.1103/PhysRevX.10.041038,Evolution of many-body systems under ancilla quantum measurements,2023,Elmer V. H. Doggen; Yuval Gefen; I. V. Gornyi; A. D. Mirlin; D. G. Polyakov,Physical review. B./Physical review. B,10.1103/physrevb.107.214203,,https://openalex.org/W4381489751,,,24,"Measurement-induced phase transitions are the subject of intense current research, both from an experimental and a theoretical perspective. We explore the concept of implementing quantum measurements by coupling a many-body lattice system to an ancillary degree of freedom (implemented using two additional sites), on which projective measurements are performed. We analyze the effect of repeated (``stroboscopic'') measurements on the dynamical correlations of interacting hard-core bosons in a one-dimensional chain. An important distinctive ingredient of the protocol is the fact that the detector ancillae are not reinitialized after each measurement step. The detector thus maintains memory of the accumulated influence by the measured correlated system. Initially, we consider a model in which the ancilla is coupled to a single lattice site. This setup allows obtaining information about the system through Rabi oscillations in the ancillary degrees of freedom, modulated by the ancilla-system interaction. The statistics of quantum trajectories exhibits a ``quantum-Zeno-valve effect'' that occurs when the measurement becomes strong, with sharp branching between low and high entanglement. W",False,0
10.1103/prxquantum.3.040339,T2,6,False,snowball,O6,openalex-citations,backward:10.1103/PRXQuantum.4.020304,Calibrating the Classical Hardness of the Quantum Approximate Optimization Algorithm,2022,Maxime Dupont; Nicolas Didier; Mark J. Hodson; Joel E. Moore; Matthew J. Reagor,PRX Quantum,10.1103/prxquantum.3.040339,,https://openalex.org/W4313304032,,,15,"The trading of fidelity for scale enables approximate classical simulators such as matrix product states (MPSs) to run quantum circuits beyond exact methods.A control parameter, the so-called bond dimension χ for MPSs, governs the allocated computational resources and the output fidelity.Here, we characterize the fidelity for the quantum approximate optimization algorithm by the expectation value of the cost function that it seeks to minimize and find that it follows a scaling law F ln χ N , where N is the number of qubits.With ln χ amounting to the entanglement that a MPS can encode, we show that the relevant variable for investigating the fidelity is the entanglement per qubit.Importantly, our results calibrate the classical computational power required to achieve the desired fidelity and benchmark the performance of quantum hardware in a realistic setup.For instance, we quantify the hardness of performing better classically than a noisy superconducting quantum processor by readily matching its output to the scaling function.Moreover, we relate the global fidelity to that of individual operations and establish its relationship with χ and N .We sharpen the requirements for noisy q",False,2
10.1103/physrevx.10.041038,T2,6,False,harvest+snowball,O3;O6,openalex,backward:10.1103/PRXQuantum.4.020304,What Limits the Simulation of Quantum Computers?,2020,Yiqing Zhou; E. Miles Stoudenmire; Xavier Waintal,Physical Review X,10.1103/physrevx.10.041038,,https://openalex.org/W3006255022,,,194,"An ultimate goal of quantum computing is to perform calculations beyond the reach of any classical computer.It is therefore imperative that useful quantum computers be very difficult to simulate classically, otherwise classical computers could be used for the applications envisioned for the quantum ones.Perfect quantum computers are unarguably exponentially difficult to simulate: the classical resources required grow exponentially with the number of qubits N or the depth D of the circuit.This difficulty has triggered recent experiments on deep, random circuits that aim to demonstrate that quantum devices may already perform tasks beyond the reach of classical computing.These real quantum computing devices, however, suffer from many sources of decoherence and imprecision which limit the degree of entanglement that can actually be reached to a fraction of its theoretical maximum.They are characterized by an exponentially decaying fidelity F ∼ ð1 -ϵÞ ND with an error rate ϵ per operation as small as ≈1% for current devices with several dozen qubits or even smaller for smaller devices.In this work, we provide new insight on the computing capabilities of real quantum computers by demons",False,1
10.48550/arxiv.2309.15761,T2,6,False,harvest,O1,openalex,,Density matrix representation of hybrid tensor networks for noisy quantum devices,2023,Hiroyuki Harada; Yasunari Suzuki; Bo Yang; Yuuki Tokunaga; Suguru Endo,arXiv (Cornell University),10.48550/arxiv.2309.15761,,https://openalex.org/W4387162531,,,1,"The hybrid tensor network (HTN) method is a general framework allowing for the construction of an effective wavefunction with the combination of classical tensors and quantum tensors, i.e., amplitudes of quantum states. In particular, hybrid tree tensor networks (HTTNs) are very useful for simulating larger systems beyond the available size of the quantum hardware. However, while the realistic quantum states in NISQ hardware are highly likely to be noisy, this framework is formulated for pure states. In this work, as well as discussing the relevant methods, i.e., Deep VQE and entanglement forging under the framework of HTTNs, we investigate the noisy HTN states by introducing the expansion operator for providing the description of the expansion of the size of simulated quantum systems and the noise propagation. This framework enables the general tree HTN states to be explicitly represented and their physicality to be discussed. We also show that the expectation value of a measured observable exponentially vanishes with the number of contracted quantum tensors. Our work will lead to providing the noise-resilient construction of HTN states.",False,0
10.3150/21-bej1371,T2,6,False,harvest+snowball,O1,openalex,forward:10.1007/s10208-016-9317-9,Learning with tree tensor networks: Complexity estimates and model selection,2022,Bertrand Michel; Anthony Nouy,Bernoulli,10.3150/21-bej1371,,https://openalex.org/W3039249709,,,16,"In this paper, we propose and analyze a model selection method for tree tensor networks in an empirical risk minimization framework and analyze its performance over a wide range of smoothness classes. Tree tensor networks, or tree-based tensor formats, are prominent model classes for the approximation of high-dimensional functions in numerical analysis and data science. They correspond to sum-product neural networks with a sparse connectivity associated with a dimension partition tree T, widths given by a tuple r of tensor ranks, and multilinear activation functions (or units). The approximation power of these model classes has been proved to be optimal (or near to optimal) for classical smoothness classes. However, in an empirical risk minimization framework with a limited number of observations, the dimension tree T and ranks r should be selected carefully to balance estimation and approximation errors. In this paper, we propose a complexity-based model selection strategy à la Barron, Birgé, Massart. Given a family of model classes associated with different trees, ranks, tensor product feature spaces and sparsity patterns for sparse tensor networks, a model is selected by minimiz",True,0
10.48550/arxiv.1811.04455,T2,6,False,harvest+snowball,O1,openalex,forward:10.1007/s10208-016-9317-9,Learning with tree-based tensor formats,2018,Erwan Grelier; Anthony Nouy; Mathilde Chevreuil,arXiv (Cornell University),10.48550/arxiv.1811.04455,,https://openalex.org/W2900176663,,,13,"This paper is concerned with the approximation of high-dimensional functions in a statistical learning setting, by empirical risk minimization over model classes of functions in tree-based tensor format. These are particular classes of rank-structured functions that can be seen as deep neural networks with a sparse architecture related to the tree and multilinear activation functions. For learning in a given model class, we exploit the fact that tree-based tensor formats are multilinear models and recast the problem of risk minimization over a nonlinear set into a succession of learning problems with linear models. Suitable changes of representation yield numerically stable learning problems and allow to exploit sparsity. For high-dimensional problems or when only a small data set is available, the selection of a good model class is a critical issue. For a given tree, the selection of the tuple of tree-based ranks that minimize the risk is a combinatorial problem. Here, we propose a rank adaptation strategy which provides in practice a good convergence of the risk as a function of the model class complexity. Finding a good tree is also a combinatorial problem, which can be related ",True,0
10.48550/arxiv.2302.03886,T2,6,False,harvest,O2,openalex,,Approximately Optimal Core Shapes for Tensor Decompositions,2023,Mehrdad Ghadiri; Matthew Fahrbach; Gang Fu; Vahab Mirrokni,arXiv (Cornell University),10.48550/arxiv.2302.03886,,https://openalex.org/W4319792572,,,2,"This work studies the combinatorial optimization problem of finding an optimal core tensor shape, also called multilinear rank, for a size-constrained Tucker decomposition. We give an algorithm with provable approximation guarantees for its reconstruction error via connections to higher-order singular values. Specifically, we introduce a novel Tucker packing problem, which we prove is NP-hard, and give a polynomial-time approximation scheme based on a reduction to the 2-dimensional knapsack problem with a matroid constraint. We also generalize our techniques to tree tensor network decompositions. We implement our algorithm using an integer programming solver, and show that its solution quality is competitive with (and sometimes better than) the greedy algorithm that uses the true Tucker decomposition loss at each step, while also running up to 1000x faster.",False,0
