key,new_vs_harvest,score,red_flag,families,via,title,year,authors,venue,doi,openalex,cited_by,abstract
10.1088/1367-2630/ab31ef,True,6,False,A,forward:10.1137/090764189,Machine learning by unitary tensor network of hierarchical tree structure,2019,Ding Liu; Shi-Ju Ran; Peter Wittek; Cheng Peng; Raul Blázquez García; Gang Su,New Journal of Physics,10.1088/1367-2630/ab31ef,https://openalex.org/W2922105745,104,"Abstract The resemblance between the methods used in quantum-many body physics and in machine learning has drawn considerable attention. In particular, tensor networks (TNs) and deep learning architectures bear striking similarities to the extent that TNs can be used for machine learning. Previous results used one-dimensional TNs in image recognition, showing limited scalability and flexibilities. In this work, we train two-dimensional hierarchical TNs to solve image recognition problems, using a training algorithm derived from the multi-scale entanglement renormalization ansatz. This approach introduces mathematical connections among quantum many-body physics, quantum information theory, and machine learning. While keeping the TN unitary in the training phase, TN states are defined, which encode classes of images into quantum many-body states. We study the quantum features of the TN states, including quantum entanglement and fidelity. We find these quantities could be properties that characterize the image classes, as well as the machine learning tasks."
10.1007/s00211-016-0819-9,True,6,False,A,backward:10.1007/s40324-018-00184-5,On the interconnection between the higher-order singular values of real tensors,2016,Wolfgang Hackbusch; André Uschmajew,Numerische Mathematik,10.1007/s00211-016-0819-9,https://openalex.org/W2165782098,15,"A higher-order tensor allows several possible matricizations (reshapes into matrices). The simultaneous decay of singular values of such matricizations has crucial implications on the low-rank approximability of the tensor via higher-order singular value decomposition. It is therefore an interesting question which simultaneous properties the singular values of different tensor matricizations actually can have, but it has not received the deserved attention so far. In this paper, preliminary investigations in this direction are conducted. While it is clear that the singular values in different matricizations cannot be prescribed completely independent from each other, numerical experiments suggest that sufficiently small, but otherwise arbitrary perturbations preserve feasibility. An alternating projection heuristic is proposed for constructing tensors with prescribed singular values (assuming their feasibility). Regarding the related problem of characterising sets of tensors having the same singular values in specified matricizations, it is noted that orthogonal equivalence under multilinear matrix multiplication is a sufficient condition for two tensors to have the same singular values in all principal, Tucker-type matricizations, but, in contrast to the matrix case, not necessary. An explicit example of this phenomenon is given."
10.1103/revmodphys.82.277,True,6,False,M,forward:10.1103/PhysRevB.73.094423,Colloquium : Area laws for the entanglement entropy,2010,Jens Eisert; M. Cramer; Martin B. Plenio,Reviews of Modern Physics,10.1103/revmodphys.82.277,https://openalex.org/W1922629554,2923,"Physical interactions in quantum many-body systems are typically local: Individual constituents interact mainly with their few nearest neighbors. This locality of interactions is inherited by a decay of correlation functions, but also reflected by scaling laws of a quite profound quantity: the entanglement entropy of ground states. This entropy of the reduced state of a subregion often merely grows like the boundary area of the subregion, and not like its volume, in sharp contrast with an expected extensive behavior. Such ``area laws'' for the entanglement entropy and related quantities have received considerable attention in recent years. They emerge in several seemingly unrelated fields, in the context of black hole physics, quantum information science, and quantum many-body physics where they have important implications on the numerical simulation of lattice models. In this Colloquium the current status of area laws in these fields is reviewed. Center stage is taken by rigorous results on lattice models in one and higher spatial dimensions. The differences and similarities between bosonic and fermionic models are stressed, area laws are related to the velocity of information propagation in quantum lattice models, and disordered systems, nonequilibrium situations, and topological entanglement entropies are discussed. These questions are considered in classical and quantum systems, in their ground and thermal states, for a variety of correlation measures. A significant proportion is devoted to the clear and quantitative connection between the entanglement content of states and the possibility of their efficient numerical simulation. Matrix-product states, higher-dimensional analogs, and variational sets from entanglement renormalization are also discussed and the paper is concluded by highlighting the implications of area laws on quantifying the effective degrees of freedom that need to be considered in simulations of quantum states."
10.1002/nla.1818,True,5,False,A,forward:10.1137/090764189,A projection method to solve linear systems in tensor format,2012,Jonas Ballani; Lars Grasedyck,Numerical Linear Algebra with Applications,10.1002/nla.1818,https://openalex.org/W1504748373,208,"SUMMARY In this paper, we propose a method for the numerical solution of linear systems of equations in low rank tensor format. Such systems may arise from the discretisation of PDEs in high dimensions, but our method is not limited to this type of application. We present an iterative scheme, which is based on the projection of the residual to a low dimensional subspace. The subspace is spanned by vectors in low rank tensor format which—similarly to Krylov subspace methods—stem from the subsequent (approximate) application of the given matrix to the residual. All calculations are performed in hierarchical Tucker format, which allows for applications in high dimensions. The mode size dependency is treated by a multilevel method. We present numerical examples that include high‐dimensional convection–diffusion equations.Copyright © 2012 John Wiley & Sons, Ltd."
10.1137/120885723,True,5,False,A,forward:10.1137/090764189,Dynamical Approximation by Hierarchical Tucker and Tensor-Train Tensors,2013,Christian Lubich; Thorsten Rohwedder; Reinhold Schneider; Bart Vandereycken,SIAM Journal on Matrix Analysis and Applications,10.1137/120885723,https://openalex.org/W2067067855,171,"We extend results on the dynamical low-rank approximation for the treatment of time-dependent matrices and tensors (Koch and Lubich; see [SIAM J. Matrix Anal. Appl., 29 (2007), pp. 434--454], [SIAM J. Matrix Anal. Appl., 31 (2010), pp. 2360--2375]) to the recently proposed hierarchical Tucker (HT) tensor format (Hackbusch and Kühn; see [J. Fourier Anal. Appl., 15 (2009), pp. 706--722]) and the tensor train (TT) format (Oseledets; see [SIAM J. Sci. Comput., 33 (2011), pp. 2295--2317]), which are closely related to tensor decomposition methods used in quantum physics and chemistry. In this dynamical approximation approach, the time derivative of the tensor to be approximated is projected onto the time-dependent tangent space of the approximation manifold along the solution trajectory. This approach can be used to approximate the solutions to tensor differential equations in the HT or TT format and to compute updates in optimization algorithms within these reduced tensor formats. By deriving and analyzing the tangent space projector for the manifold of HT/TT tensors of fixed rank, we obtain curvature estimates, which allow us to obtain quasi-best approximation properties for the dynamical approximation, showing that the prospects and limitations of the ansatz are similar to those of the dynamical low rank approximation for matrices. Our results are exemplified by numerical experiments."
10.1103/physreva.74.022320,True,5,False,A;M,backward:10.1137/22M1473790;forward:10.1103/PhysRevB.73.094423,Classical simulation of quantum many-body systems with a tree tensor network,2006,Yaoyun Shi; Luming Duan; Guifré Vidal,Physical Review A,10.1103/physreva.74.022320,https://openalex.org/W2036463035,592,"We show how to efficiently simulate a quantum many-body system with tree structure when its entanglement (Schmidt number) is small for any bipartite split along an edge of the tree. As an application, we show that any one-way quantum computation on a tree graph can be efficiently simulated with a classical computer."
10.1137/15m1026791,True,5,False,A,backward:10.1137/22M1473790,Discretized Dynamical Low-Rank Approximation in the Presence of Small Singular Values,2016,Emil Kieri; Christian Lubich; Hanna Walach,SIAM Journal on Numerical Analysis,10.1137/15m1026791,https://openalex.org/W2102688209,98,"Low-rank approximations to large time-dependent matrices and tensors are the subject of this paper. These matrices and tensors either are given explicitly or are the unknown solutions of matrix and tensor differential equations. Based on splitting the orthogonal projection onto the tangent space of the low-rank manifold, novel time integrators for obtaining approximations by low-rank matrices and low-rank tensor trains were recently proposed. By standard theory, the Lie--Trotter and Strang projector-splitting methods are first and second order accurate, respectively, but the usual error bounds break down when the low-rank approximation has small singular values. This happens when the singular values of the solution decay without a distinct gap or when the effective rank of the solution is overestimated. On the other hand, the integrators are exact when given time-dependent matrices or tensors are already of the prescribed rank. We provide an error analysis which unifies these properties. We show that in cases where the exact solution is an $\varepsilon$-perturbation of a low-rank matrix or tensor train, the error of the projector-splitting integrator is favorably bounded in terms of $\varepsilon$ and the stepsize, independently of the smallness of the singular values. Such a result does not hold for any standard integrator. Numerical experiments illustrate the theory."
10.1137/24m1714502,True,5,False,A,forward:10.1137/22M1473790,A Parallel Basis Update and Galerkin Integrator for Tree Tensor Networks,2026,Gianluca Ceruti; Jonas Kusch; Christian Lubich; Dominik Sulz,SIAM Journal on Scientific Computing,10.1137/24m1714502,https://openalex.org/W7118000766,0,"Abstract. Computing the numerical solution to high-dimensional tensor differential equations can lead to prohibitive computational costs and memory requirements. To reduce the memory and computational footprint, dynamical low-rank approximation (DLRA) has proven to be a promising approach. DLRA represents the solution as a low-rank tensor factorization and evolves the resulting low-rank factors in time. A central challenge in DLRA is to find time integration schemes that are robust to the arising small singular values. A robust parallel basis update and Galerkin integrator, which simultaneously evolves all low-rank factors, has recently been derived for matrix differential equations. This work extends the parallel low-rank matrix integrator to Tucker tensors and general tree tensor networks, yielding an algorithm in which all bases and connecting tensors are evolved in parallel over a time step. We formulate the algorithm, provide a robust error bound, and demonstrate the efficiency of the new integrators for problems in quantum many-body physics, uncertainty quantification, and radiative transfer. Reproducibility of computational results. This paper has been awarded the “SIAM Reproducibility Badge: Code and data available” as a recognition that the authors have followed reproducibility principles valued by SISC and the scientific computing community. Code and data that allow readers to reproduce the results in this paper are available at https://github.com/JonasKu/Publication-Parallel-BUG-for-TTNs and in the supplementary materials ( Publication-Parallel-BUG-for-TTNs-main.zip [112 KB]). [Formula: see text]"
10.1090/s0894-0347-02-00398-3,True,5,False,I,forward:10.1007/BF02551235,The method of alternating projections and the method of subspace corrections in Hilbert space,2002,Jinchao Xu; Ludmil Zikatanov,Journal of the American Mathematical Society,10.1090/s0894-0347-02-00398-3,https://openalex.org/W1530115438,278,A new identity is given in this paper for estimating the norm of the product of nonexpansive operators in Hilbert space. This identity can be applied for the design and analysis of the method of alternating projections and the method of subspace corrections. The method of alternating projections is an iterative algorithm for determining the best approximation to any given point in a Hilbert space from the intersection of a finite number of subspaces by alternatively computing the best approximations from the individual subspaces which make up the intersection. The method of subspace corrections is an iterative algorithm for finding the solution of a linear equation in a Hilbert space by approximately solving equations restricted on a number of closed subspaces which make up the entire space. The new identity given in the paper provides a sharpest possible estimate for the rate of convergence of these algorithms. It is also proved in the paper that the method of alternating projections is essentially equivalent to the method of subspace corrections. Some simple examples of multigrid and domain decomposition methods are given to illustrate the application of the new identity.
10.1080/01630569408816580,True,5,False,I,forward:10.1007/BF02551235,The rate of convergence of dykstra's cyclic projections algorithm: The polyhedral case,1994,Frank Deutsch; Hein Hundal,Numerical Functional Analysis and Optimization,10.1080/01630569408816580,https://openalex.org/W2047043241,96,"Suppose K is the intersection of a finite number of closed half-spaces in a Hilbert space X. Starting with any point xεX, it is shown that the sequence of iterates {x n } generated by Dykstra's cyclic projections algorithm satisfies the inequality for all n, where P K (x) is the nearest point in K to x;, ρ is a constant, and 0 ≤c<1. In the case when K is the intersection of just two closed half-spaces, a stronger result is established: the sequence of iterates is either finite or satisfies for all n, where c is the cosine of the angle between the two functionals which define the half-spaces. Moreover, the constant c is the best possible. Applications are made to isotone and convex regression, and linear and quadratic programming."
