key,threat,claims,reason,level2
errortransportationinsvdbasedtensortrainapproximations,3,H1;H2,[abs] Local SVD truncations transported through general dimension trees with node-wise (heterogeneous) local errors; tree-dependent conditioning factors (contrast H2); exact Pythagorean identity only for chains; abstract only [seen_in_round1],yes
certifiedquantumschrdingercontrolviahierarchicaltuckermodels,1,H1,[abs] Fixed-rank HT truncation as bounded perturbation in closed-loop control; background,no
10.1137/21m1415911,2,H1;H2,[abs] Tree-based PCA with rank adaptation to a prescribed error; error bound in expectation built from node-wise contributions; non-sharp [seen_in_round1],no
10.1103/physrevb.107.214203,0,,[abs] unrelated to H1-H4,no
10.1103/prxquantum.3.040339,1,H1,"[abs] MPS fidelity vs bond dimension for QAOA; per-gate fidelity model, background",no
10.1103/physrevx.10.041038,2,H1;H2,"[abs] Eq. (17): multi-qubit fidelity approx. product of heterogeneous per-gate truncation fidelities (heuristic, verified numerically); no bound",no
10.48550/arxiv.2309.15761,1,,"[abs] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no
10.3150/21-bej1371,1,,"[abs] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated [seen_in_round1]",no
10.48550/arxiv.1811.04455,1,,"[abs] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated [seen_in_round1]",no
10.48550/arxiv.2302.03886,2,H2;H3,[abs] Rank (core shape) allocation under size constraint with reconstruction-error guarantees extended to tree tensor networks; additive tail budgets,no
10.48550/arxiv.2512.11967,1,,"[abs] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated [seen_in_round1]",no
10.1137/090764049,0,,[abs] unrelated to H1-H4,no
10.1142/s0218202512500236,0,,[abs] unrelated to H1-H4,no
10.1103/physrevb.85.165146,1,,"[abs] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no
10.1103/revmodphys.82.277,1,,"[abs] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated [seen_in_round1]",no
10.1103/physrevlett.128.190501,0,,[abs] unrelated to H1-H4,no
10.1103/ycty-d5f9,1,,"[abs] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated [seen_in_round1]",no
10.48550/arxiv.2412.00858,1,,"[abs] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated [seen_in_round1]",no
10.1137/120863927,0,,[abs] unrelated to H1-H4,no
10.48550/arxiv.2412.14460,1,,"[abs] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no
10.1088/1361-6420/aaa998,1,,"[abs] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no
10.1103/vqks-cr6x,1,,"[abs] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no
10.1090/s0894-0347-02-00398-3,2,H1;H4,[abs] Xu-Zikatanov identity for norm of product of heterogeneous (I-P_j); exact but different quantity [seen_in_round1],no
onthedesignandanalysisofoperatorsplittingschemes,1,,"[abs] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no
10.48550/arxiv.1606.01327,0,,[abs] unrelated to H1-H4,no
10.1137/140992291,1,,"[abs] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no
10.1002/nla.1818,1,,"[abs] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated [seen_in_round1]",no
10.1016/j.matpur.2015.05.002,1,,"[abs] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no
10.48550/arxiv.1403.0981,1,,"[abs] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no
10.1137/120885723,1,,"[abs] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated [seen_in_round1]",no
10.5555/2230976.2230988,1,,"[abs] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no
10.22331/q-2023-03-30-964,2,H1,[abs] Truncated TTN circuit simulation with per-truncation fidelity estimates [seen_in_round1],no
10.3390/dynamics3030033,1,,"[abs] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no
10.1007/s10444-020-09797-9,1,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated [seen_in_round1]",no
arxiv:2608.02849,1,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no
10.1103/prxquantum.1.020318,0,,[title] unrelated to H1-H4,no
10.1146/annurev-fluid-010816-060042,0,,[title] unrelated to H1-H4,no
10.4230/lipics.tqc.2024.2,0,,[title] unrelated to H1-H4,no
10.1137/22m1473790,2,H1;H2,[abs] Thm A.1 tree-shape-independent (d-1) truncation bound with uniform node tolerance (root tolerance may differ); telescoping; non-sharp [seen_in_round1],no
10.1088/2058-9565/acae3e,0,,[title] unrelated to H1-H4,no
10.1103/physrevx.15.021052,1,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no
minkowskiproductsofunitquaternionsets,1,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no
10.1103/physrevresearch.6.033325,1,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no
10.1103/rzgm-cywf,1,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no
10.21468/scipostphyslectnotes.86,0,,[title] unrelated to H1-H4 [seen_in_round1],no
10.1103/prxquantum.5.010308,1,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no
10.1016/j.jcp.2026.115360,1,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no
10.1140/epjqt/s40507-025-00368-9,1,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no
10.1126/sciadv.adl4895,0,,[title] unrelated to H1-H4,no
10.22331/q-2024-12-27-1580,1,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated [seen_in_round1]",no
