key,families,title,year,venue,doi
10.1007/s10543-010-0265-5,I,Randomized Kaczmarz solver for noisy linear systems,2010,BIT Numerical Mathematics,10.1007/s10543-010-0265-5
10.1109/tsg.2016.2580584,I,Dynamic State Estimation for Multi-Machine Power System by Unscented Kalman Filter With Enhanced Numerical Stability,2016,IEEE Transactions on Smart Grid,10.1109/tsg.2016.2580584
10.1007/s11075-011-9451-z,I,Acceleration of randomized Kaczmarz method via the Johnson–Lindenstrauss Lemma,2011,Numerical Algorithms,10.1007/s11075-011-9451-z
10.1016/j.csda.2013.03.024,I,OLS with multiple high dimensional category variables,2013,Computational Statistics & Data Analysis,10.1016/j.csda.2013.03.024
10.1088/0266-5611/31/12/125008,I,Solving systems of phaseless equations via Kaczmarz methods: a proof of concept study,2015,Inverse Problems,10.1088/0266-5611/31/12/125008
10.1007/s10107-017-1229-1,I,Linear convergence of the randomized sparse Kaczmarz method,2018,Mathematical Programming,10.1007/s10107-017-1229-1
10.1016/j.laa.2006.07.014,I,The combination technique and some generalisations,2006,Linear Algebra and its Applications,10.1016/j.laa.2006.07.014
efficientrankreductionofcorrelationmatrices1,I,Efficient Rank Reduction of Correlation Matrices 1,2003,,
10.48550/arxiv.0905.4482,I,Topics in Compressed Sensing,2009,arXiv (Cornell University),10.48550/arxiv.0905.4482
10.1007/11830924_45,I,A Randomized Solver for Linear Systems with Exponential Convergence,2006,Lecture notes in computer science,10.1007/11830924_45
10.1007/s00211-012-0512-6,I,On the Meany inequality with applications to convergence analysis of several row-action iteration methods,2012,Numerische Mathematik,10.1007/s00211-012-0512-6
10.1007/s10851-014-0539-7,I,Block Kaczmarz Method with Inequalities,2014,Journal of Mathematical Imaging and Vision,10.1007/s10851-014-0539-7
10.1016/j.jfranklin.2022.09.028,I,Developing Kaczmarz method for solving Sylvester matrix equations,2022,Journal of the Franklin Institute,10.1016/j.jfranklin.2022.09.028
10.1137/21m1450537,I,Linear Convergence of Randomized Kaczmarz Method for Solving Complex-Valued Phaseless Equations,2022,SIAM Journal on Imaging Sciences,10.1137/21m1450537
10.1109/tac.2016.2605741,I,Variable Selection and Identification of High-Dimensional Nonparametric Additive Nonlinear Systems,2016,IEEE Transactions on Automatic Control,10.1109/tac.2016.2605741
10.48550/arxiv.1612.07838,I,"Convergence Rates for Greedy Kaczmarz Algorithms, and Faster Randomized Kaczmarz Rules Using the Orthogonality Graph",2016,arXiv (Cornell University),10.48550/arxiv.1612.07838
10.3929/ethz-a-010377352,I,Convex Optimization with Random Pursuit,2014,Repository for Publications and Research Data (ETH Zurich),10.3929/ethz-a-010377352
10.1007/s00211-021-01207-6,I,On the method of reflections,2021,Numerische Mathematik,10.1007/s00211-021-01207-6
10.14288/1.0367781,I,Greed is good : greedy optimization methods for large-scale structured problems,2018,cIRcle (University of British Columbia),10.14288/1.0367781
10.1109/lcsys.2017.2698179,I,Eigenvalue Invariance of Inhomogeneous Matrix Products in Distributed Algorithms,2017,IEEE Control Systems Letters,10.1109/lcsys.2017.2698179
10.1017/cbo9780511840371,D,Topics in Matrix Analysis,1991,Cambridge University Press eBooks,10.1017/cbo9780511840371
10.4064/fm-3-1-133-181,D,Sur les opérations dans les ensembles abstraits et leur application aux équations intégrales,1922,Fundamenta Mathematicae,10.4064/fm-3-1-133-181
10.1137/0314056,D,Monotone Operators and the Proximal Point Algorithm,1976,SIAM Journal on Control and Optimization,10.1137/0314056
