key,threat,claims,reason,level2
10.4310/jdg/1214456482,0,,unrelated field,no
anopenstringanalogueofviterbofunctoriality,0,,unrelated field,no
10.1017/fmp.2015.5,0,,unrelated field,no
10.1090/s0894-0347-03-00445-4,0,,unrelated field,no
10.1016/s0022-0396(02)00037-2,0,,unrelated field,no
10.4310/jdg/1090349447,0,,unrelated field,no
10.1063/5.0007045,0,,unrelated field,no
10.1088/1126-6708/2008/05/012,0,,unrelated field,no
10.1038/ncomms6757,0,,unrelated field,no
10.1103/revmodphys.86.419,1,,same broad field only,no
10.4007/annals.2008.167.867,0,,unrelated field,no
10.1201/9780203755082,0,,unrelated field,no
10.1103/revmodphys.94.015004,1,,same broad field only,no
10.1090/s0002-9947-1969-0251664-4,0,,unrelated field,no
10.1007/bf02392711,0,,unrelated field,no
10.1016/0024-3795(94)90341-7,2,,majorization inequalities in matrix theory,no
10.1017/s1446181112000077,1,,same broad field only,no
10.1016/j.laa.2011.06.047,2,,idempotents/projections in Hilbert space; structural,no
10.1016/0024-3795(95)00199-2,1,,same broad field only,no
10.1090/memo/1270,1,,same broad field only,no
10.1016/j.jmaa.2016.04.020,1,,same broad field only,no
10.3150/07-bej5151,1,,same broad field only,no
10.1007/s00220-014-2213-8,2,,area law via decay of correlations; MPS approximation,no
10.3929/ethz-b-000038997,1,,same broad field only,no
10.1109/tit.2023.3272904,1,,same broad field only,no
10.1103/physrevresearch.3.023096,1,,same broad field only,no
10.1088/1367-2630/15/5/053022,1,,same broad field only,no
10.1109/isit.2010.5513652,1,,same broad field only,no
10.1109/tit.2013.2295314,1,,same broad field only,no
10.1007/s00220-021-04136-5,1,,same broad field only,no
10.1103/prxquantum.2.020325,1,,same broad field only,no
10.1103/physreva.86.042315,1,,same broad field only,no
10.1371/journal.pgen.1003527,0,,unrelated field,no
10.1073/pnas.96.7.3670,0,,unrelated field,no
10.1101/gr.3577405,0,,unrelated field,no
10.3386/w22367,0,,unrelated field,no
10.1111/j.1574-6941.2006.00104.x,0,,unrelated field,no
10.14288/1.0343418,0,,unrelated field,no
10.1088/1361-6463/aac816,0,,unrelated field,no
10.1074/jbc.m200827200,0,,unrelated field,no
