key,new_vs_harvest,score,red_flag,families,via,title,year,authors,venue,doi,openalex,cited_by,abstract
10.1016/j.crma.2009.11.018,True,5,False,I,forward:10.1006/jmaa.1997.5202,A generalization of the Friedrichs angle and the method of alternating projections,2009,Cătălin Badea; Sophie Grivaux; Vladimir Müller,Comptes Rendus Mathématique,10.1016/j.crma.2009.11.018,https://openalex.org/W2037072100,18,We present a generalization to an arbitrary number of subspaces of the cosine of the Friedrichs angle between two subspaces of a Hilbert space. This parameter is used to analyze the rate of convergence in the von Neumann–Halperin method of alternating projections.
10.1090/s1061-0022-2012-01202-1,True,5,False,I,forward:10.1006/jmaa.1997.5202,The rate of convergence in the method of alternating projections,2012,Cătălin Badea; Sophie Grivaux; Veronika Müller,St Petersburg Mathematical Journal,10.1090/s1061-0022-2012-01202-1,https://openalex.org/W2029059536,6,"The cosine of the Friedrichs angle between two subspaces is generalized to a parameter associated with several closed subspaces of a Hilbert space. This parameter is employed to analyze the rate of convergence in the von Neumann–Halperin method of cyclic alternating projections. General dichotomy theorems are proved, in the Hilbert or Banach space situation, providing conditions under which the alternative QUC/ASC (quick uniform convergence versus arbitrarily slow convergence) holds. Several meanings for ASC are proposed."
10.1109/tcs.1978.1084541,True,4,False,I,backward:10.1006/jmaa.1997.5202,Generalized Image Restoration by the Method of Alternating Orthogonal Projections,1978,Dante C. Youla,IEEE Transactions on Circuits and Systems,10.1109/tcs.1978.1084541,https://openalex.org/W1969469319,392,"We adopt a view that suggests that many problems of image restoration are probably geometric in character and admit the following initial linear formulation: The originalfis a vector known a priori to belong to a linear subspace{\cal P}_bof a parent Hilbert space{\cal H}(, but all that is available to the observer is its imageP_{a} f, the projection offonto a known linear subspace{\cal P}_a(also in\cal H). 1) Find necessary and sufficient conditions under whichfis uniquely determined byP_{a} fand 2) find necessary and sufficient conditions for the stable linear reconstruction offfromP_{a} fin the face of noise. (In the later case, the reconstruction problem is said to be completely posed.) The answers torn out to be remarkably simple. a)fis uniquely determined by{\cal P}_{a}iff{\cal P}_{b}and the orthogonal complement of{ \cal P}_{a}have only the zero vector in common. b) The reconstruction problem is completely posed iff the angle between{\cal P}_{b}and the orthogonal complement of{\cal P}_{a}, is greater than zero. (All angles lie in the first quadrant.) c) In the absence of noise, there exists in both cases a) and b) an effective recursive algorithm for the recovery offemploying only the operations of projection onto{\cal P}_{b}and projection onto the orthogonal complement of{\cal P}_{a}These operations define the necessary instrumentation."
10.1007/bf02551235,True,4,False,I,backward:10.1006/jmaa.1997.5202,Error bounds for the method of alternating projections,1988,S. Kayalar; Howard L. Weinert,Mathematics of Control Signals and Systems,10.1007/bf02551235,https://openalex.org/W2041871718,99,
10.1016/j.jat.2006.02.005,True,4,False,I,forward:10.1006/jmaa.1997.5202,The rate of convergence for the cyclic projections algorithm I: Angles between convex sets,2006,Frank Deutsch; Hein Hundal,Journal of Approximation Theory,10.1016/j.jat.2006.02.005,https://openalex.org/W2100885264,66,
10.48550/arxiv.1604.07130,True,4,False,I,forward:10.1006/jmaa.1997.5202,Worst-case Complexity of Cyclic Coordinate Descent: $O(n^2)$ Gap with Randomized Version,2016,Ruoyu Sun; Yinyu Ye,arXiv (Cornell University),10.48550/arxiv.1604.07130,https://openalex.org/W2343345052,18,"This paper concerns the worst-case complexity of cyclic coordinate descent (C-CD) for minimizing a convex quadratic function, which is equivalent to Gauss-Seidel method and can be transformed to Kaczmarz method and projection onto convex sets (POCS). We observe that the known provable complexity of C-CD can be $O(n^2)$ times slower than randomized coordinate descent (R-CD), but no example was rigorously proven to exhibit such a large gap. In this paper we show that the gap indeed exists. We prove that there exists an example for which C-CD takes at least $O(n^4 κ_{\text{CD}} \log\frac{1}ε)$ operations, where $κ_{\text{CD}}$ is related to Demmel's condition number and it determines the convergence rate of R-CD. It implies that in the worst case C-CD can indeed be $O(n^2)$ times slower than R-CD, which has complexity $O( n^2 κ_{\text{CD}} \log\frac{1}ε)$. Note that for this example, the gap exists for any fixed update order, not just a particular order. Based on the example, we establish several almost tight complexity bounds of C-CD for quadratic problems. One difficulty with the analysis is that the spectral radius of a non-symmetric iteration matrix does not necessarily constitute a \textit{lower bound} for the convergence rate. An immediate consequence is that for Gauss-Seidel method, Kaczmarz method and POCS, there is also an $O(n^2) $ gap between the cyclic versions and randomized versions (for solving linear systems). We also show that the classical convergence rate of POCS by Smith, Solmon and Wager [1] is always worse and sometimes can be infinitely times worse than our bound."
10.1137/21m1463306,True,4,False,I,forward:10.1006/jmaa.1997.5202,A Deterministic Kaczmarz Algorithm for Solving Linear Systems,2023,Changpeng Shao,SIAM Journal on Matrix Analysis and Applications,10.1137/21m1463306,https://openalex.org/W4323656858,13,"Abstract. We propose a new deterministic Kaczmarz algorithm for solving consistent linear systems [Formula: see text]. Basically, the algorithm replaces orthogonal projections with reflections in the original scheme of Stefan Kaczmarz. Building on this, we give a geometric description of solutions of linear systems. Suppose [Formula: see text] is [Formula: see text], we show that the algorithm generates a series of points distributed with patterns on an [Formula: see text]-sphere centered on a solution. These points lie evenly on [Formula: see text] lower-dimensional spheres [Formula: see text], with the property that for any [Formula: see text], the midpoint of the centers of [Formula: see text] is exactly a solution of [Formula: see text]. With this discovery, we prove that taking the average of [Formula: see text] points on any [Formula: see text] effectively approximates a solution up to relative error [Formula: see text], where [Formula: see text] characterizes the eigengap of the orthogonal matrix produced by the product of [Formula: see text] reflections generated by the rows of [Formula: see text]. We also analyze the connection between [Formula: see text] and [Formula: see text], the condition number of [Formula: see text]. In the worst case [Formula: see text], while for random matrices [Formula: see text] on average. Finally, we prove that the algorithm indeed solves the linear system [Formula: see text], where [Formula: see text] is the lower-triangular matrix such that [Formula: see text]. The connection between this linear system and the original one is studied. The numerical tests indicate that this new Kaczmarz algorithm has comparable performance to randomized (block) Kaczmarz algorithms."
10.1137/20m1358669,True,4,False,I,forward:10.1006/jmaa.1997.5202,Infeasibility and error bound imply finite convergence of alternating projections,2020,Roger Behling; Yunier Bello-Cruz; Luiz-Rafael Santos,arXiv (Cornell University),10.1137/20m1358669,https://openalex.org/W3214658801,11,"This paper combines two ingredients in order to get a rather surprising result on one of the most studied, elegant and powerful tools for solving convex feasibility problems, the method of alternating projections (MAP). Going back to names such as Kaczmarz and von Neumann, MAP has the ability to track a pair of points realizing minimum distance between two given closed convex sets. Unfortunately, MAP may suffer from arbitrarily slow convergence, and sublinear rates are essentially only surpassed in the presence of some Lipschitzian error bound, which is our first ingredient. The second one is a seemingly unfavorable and unexpected condition, namely, infeasibility. For two non-intersecting closed convex sets satisfying an error bound, we establish finite convergence of MAP. In particular, MAP converges in finitely many steps when applied to a polyhedron and a hyperplane in the case in which they have empty intersection. Moreover, the farther the target sets lie from each other, the fewer are the iterations needed by MAP for finding a best approximation pair. Insightful examples and further theoretical and algorithmic discussions accompany our results, including the investigation of finite termination of other projection methods."
randomizedkaczmarzsolverfornoisylinearsystems,True,3,False,I,forward:10.1006/jmaa.1997.5202,RANDOMIZED KACZMARZ SOLVER FOR NOISY LINEAR SYSTEMS,2009,Deanna Needell,,,https://openalex.org/W3126008680,178,"Abstract. The Kaczmarz method is an iterative algorithm for solving systems of linear equations Ax = b. Theoretical convergence rates for this algorithm were largely unknown until recently when work was done on a randomized version of the algorithm. It was proved that for overdetermined systems, the randomized Kaczmarz method converges with expected exponential rate, independent of the number of equations in the system. Here we analyze the case where the system Ax = b is corrupted by noise, so we consider the system Ax ≈ b + r where r is an arbitrary error vector. We prove that in this noisy version, the randomized method reaches an error threshold dependent on the matrix A with the same rate as in the error-free case. We provide examples showing our results are sharp in the general context. 1."
10.1090/s0002-9947-1950-0051437-7,True,2,False,I,backward:10.1006/jmaa.1997.5202,Theory of reproducing kernels,1950,N. Aronszajn,Transactions of the American Mathematical Society,10.1090/s0002-9947-1950-0051437-7,https://openalex.org/W1986280275,5463,"May 7. Difference of reproducing kernels.354 8. Product of reproducing kernels.357 9. Limits of reproducing kernels.362 10.Construction of a r.k. by resolution of identity.368 11.Operators in spaces with reproducing kernels.371 12.The reproducing kernel of a sum of two closed subspaces.375 13.Final remarks in the general theory.380 Part II.Examples.384 1.I ntroductory remarks.384 (1) Bergman's kernels.384 (2) Harmonic kernels.386 2. Comparison domains.387 3. The difference of kernels.388 4. The square of a kernel introduced by Szegö.391 5.The kernel H{z, zi) for an ellipse.393 6. Construction of H(z, z¡) for a strip.394 7. Limits of increasing sequences of kernels.396 8. Construction of reproducing kernels by the projection-formula of §12, I."
